moment,node,buffer_cache,free,map,used
1,5,11912048,92825512,60260,2745852
1,3,11547724,93226320,60396,2709368
1,2,11607052,93239556,59744,2636804
1,4,11347768,93456452,60508,2679192
1,7,11879600,92838536,60088,2765276
1,1,11277020,93873972,60216,2332420
1,6,12012012,92733092,60212,2738308
2,5,12044152,92707296,60220,2731964
2,2,11825144,92756776,72348,2901492
2,3,11547736,93226024,59928,2709652
2,4,11347768,93459880,60496,2675764
2,7,11922860,92794996,60076,2765556
2,1,11409196,93745264,60220,2328952
2,6,12012016,92733912,60204,2737484
3,3,11722420,92513920,72732,3247072
3,7,12097476,92091500,72680,3294436
3,5,12218744,91970316,73024,3294352
3,2,11825328,92134732,72636,3523352
3,1,11583780,92996076,72812,2903556
3,4,11522344,92727260,72804,3233808
3,6,12186756,91571532,72828,3725124
4,3,11855284,92110956,72732,3517172
4,5,12350736,91620868,72916,3511808
4,1,11715360,92643884,72820,3124168
4,7,12228980,91662212,72724,3592220
4,2,11958232,91461092,74948,4064088
4,4,11654264,92347764,72880,3481384
4,6,12386108,91132752,72800,3964552
5,3,11681184,88903760,77236,6898468
5,7,12056128,88659216,77248,6768068
5,5,12177564,90308712,77464,4997136
5,1,11542480,91396428,77360,4544504
5,4,11481024,91098780,77412,4903608
5,2,11784072,89368420,77216,6330920
5,6,12386448,88942728,79556,6154236
6,3,11681316,87597116,77236,8204980
6,7,12056152,87735292,77248,7691968
6,5,12177700,89150684,77464,6155028
6,4,11481036,89933692,77412,6068684
6,1,11542500,89157264,77360,6783648
6,2,11784080,87952064,77216,7747268
6,6,12386460,87267068,79556,7829884
7,7,12056160,87068816,77248,8358436
7,1,11542512,88118388,77360,7822512
7,3,11681524,86434704,77236,9367184
7,4,11481040,88423816,77412,7578556
7,5,12177904,87465816,77464,7839692
7,2,11784096,86811728,77216,8887588
7,6,12386472,85157616,79556,9939324
8,7,12056168,85164260,77092,10262984
8,1,11542520,86946140,77360,8994752
8,3,11681592,84848652,77236,10953168
8,5,12177984,86598196,77464,8707232
8,4,11481044,87002368,77412,9000000
8,2,11784096,86067660,77216,9631656
8,6,12386472,83772852,79556,11324088
9,7,12056168,84575028,77248,10852216
9,1,11542536,86213456,77360,9727420
9,4,11481044,86456424,77412,9545944
9,3,11681788,83794676,77236,12006948
9,5,12178176,86380924,77464,8924312
9,6,12211976,82953720,79556,12317716
9,2,11784096,85294204,77216,10405112
10,7,12056196,84257400,77248,11169816
10,1,11542568,85809484,77360,10131360
10,3,11681984,83771612,77236,12029816
10,4,11481052,86022040,77412,9980320
10,5,12178376,86371500,77464,8933536
10,2,11784112,85170192,77216,10529108
10,6,12212000,82887112,79556,12384300
11,7,12056212,81913780,77248,13513420
11,1,11542576,83852772,77360,12088064
11,3,11682024,80811680,77236,14989708
11,5,12178388,82899208,77464,12405816
11,4,11481060,84842456,77412,11159896
11,2,11784144,82188256,77216,13511012
11,6,12212020,80820184,79556,14451208
12,7,12056220,80573240,77248,14853952
12,3,11682032,80063776,77060,15737604
12,1,11542592,82351840,77360,13588980
12,5,12178404,77891540,77464,17413468
12,4,11494384,82642384,77412,13346644
12,2,11784160,79027040,77216,16672212
12,6,12212036,79445628,79556,15825748
13,7,12101860,76734000,77248,18647552
13,1,11666736,80235248,77360,15581428
13,3,11827356,78424348,77236,17231708
13,5,12178412,77774924,77464,17530076
13,4,11610712,79589988,77412,16282712
13,6,12212356,76336404,79556,18934652
13,2,12004556,75889820,77216,19589036
14,7,12829216,74888296,77424,19765900
14,1,11671080,78138968,77380,17673364
14,5,12178412,77629280,77464,17675720
14,3,11899820,77081468,77236,18502124
14,2,12005852,75287056,77216,20190504
14,6,12456120,74910244,79556,20117048
14,4,11610728,78267208,77412,17605476
15,7,13111108,72651056,77248,21721248
15,1,11671096,77659976,77360,18152340
15,5,12178472,76344940,77464,18960000
15,4,12080492,76609664,77412,18793256
15,6,12502608,69624040,79556,25356764
15,3,12515520,75562512,77236,19405380
15,2,12115592,73336884,77216,22030936
16,7,13111332,71511620,77448,22860460
16,1,11734560,77231040,77360,18517812
16,5,12178620,76031740,77464,19273052
16,2,12554136,71609076,77216,23320200
16,3,12740368,74114652,77236,20628392
16,6,12645208,67839608,79556,26998596
16,4,12402288,75600992,77412,19480132
17,7,13232448,71308316,77248,22942648
17,1,12576588,76170612,77360,18736212
17,5,12708352,75403752,77464,19371308
17,4,12645452,72277408,77412,22560552
17,2,12821472,71291120,77216,23370820
17,3,12883348,72770692,77236,21829372
17,6,13054104,67391956,79556,27037352
18,7,13314240,71209004,77812,22960168
18,1,12590076,72997208,77360,21896128
18,5,13195784,73110612,77464,21177016
18,4,12783296,72092960,77412,22607156
18,3,12909940,71690336,77236,22883136
18,2,12867328,70132896,77216,24483188
18,6,13112564,64328304,79556,30042544
19,7,13560732,70882284,77248,23040396
19,1,12819352,71572212,77360,23091848
19,5,13340188,69478392,77464,24664832
19,4,12983852,71449864,77412,23049696
19,3,12909944,71686804,77236,22886664
19,2,13084880,69261288,77216,25137244
19,6,13281800,64100252,79556,30101360
20,7,13660956,70792412,77552,23030044
20,1,12875460,70083972,77360,24523980
20,5,13340324,68814584,77464,25328504
20,4,13119132,70884340,77412,23479940
20,3,13128764,71404776,77236,22949872
20,2,13430436,68815176,77216,25237800
20,6,13780008,61510040,79556,32193364
21,7,13966840,70379080,77248,23137492
21,1,12875472,70061128,77360,24546812
21,5,13412652,69068356,77464,25002404
21,4,13394592,70460808,77412,23628012
21,3,13509100,70922024,77236,23052288
21,2,13688532,68230492,77216,25564388
