moment,node,buffer_cache,free,map,used
1,3,10431524,94720852,59628,2331036
1,2,10649616,94546976,59968,2286820
1,5,10667988,94464016,60456,2351408
1,4,10485668,94688364,59888,2309380
1,1,10504072,94664000,60096,2315340
1,6,10928392,94214532,60104,2340488
1,7,10722288,94455284,59632,2305840
2,2,10999564,93924532,72480,2559316
2,3,10563628,94581612,59976,2338172
2,5,10667996,94465020,60148,2350396
2,4,10528632,94645996,60048,2308784
2,1,10504072,94664708,60096,2314632
2,6,10928476,94215024,60092,2339912
2,7,10722300,94455008,59940,2306104
3,3,10738340,93804348,72752,2940724
3,2,10999868,93277276,72608,3206268
3,5,10842644,93694684,72804,2946084
3,4,10703584,93882368,72760,2897460
3,1,10678648,93920580,72696,2884184
3,6,11103148,93449800,72652,2930464
3,7,10897044,93258644,72400,3327724
4,3,10871440,92251020,76856,4360952
4,5,10974252,93020828,76824,3488332
4,2,11130792,92708316,76564,3644304
4,1,10811920,93354848,74708,3316644
4,4,10835528,93371648,76744,3276236
4,6,11235552,92966344,72660,3281516
4,7,11096248,92602880,72724,3784284
5,3,10871580,89963432,77124,6648400
5,5,10975808,90413540,77356,6094064
5,2,11133148,89865540,77140,6484724
5,1,10811844,90238236,77244,6433332
5,4,10836720,90355472,77300,6291220
5,6,11236312,89990460,77176,6256640
5,7,11096732,87920580,79416,8466100
6,3,10871784,86973836,77124,9637792
6,5,10975824,88042604,77356,8464984
6,2,11133352,87821296,77140,8528764
6,1,10811856,87895060,77244,8776496
6,4,10836728,88543108,77300,8103576
6,6,11236328,87515208,77176,8731876
6,7,11096748,87072052,79416,9314612
7,3,10871956,86268144,77124,10343312
7,5,10975832,86862812,77356,9644768
7,2,11133496,86787196,77140,9562720
7,4,10836736,86568336,77300,10078340
7,1,10811864,87027004,77244,9644544
7,6,11236328,86079212,77176,10167872
7,7,11096756,84702308,79416,11684348
8,3,10872116,83413844,77124,13197452
8,2,11133704,83609384,77140,12740324
8,5,10975848,85234856,77356,11272708
8,1,10811872,84076928,77244,12594612
8,4,10836744,84961692,77300,11684976
8,6,11236344,82759276,77176,13487792
8,7,11096764,82538912,79416,13847736
9,3,10872120,80776776,77124,15834516
9,5,10975872,81663852,77356,14843688
9,2,11133712,82119812,77140,14229888
9,1,10811880,82327224,77244,14344308
9,4,10836752,81928524,77300,14718136
9,6,11236352,81626076,77176,14620984
9,7,11096780,76682800,79416,19703832
10,3,10872156,80277528,77124,16333728
10,5,11034300,80104768,77356,16344344
10,4,10836768,79924692,77300,16721952
10,2,11133748,81324504,77140,15025160
10,1,10811884,82059856,77244,14611672
10,6,11272540,80508692,77176,15702180
10,7,11096784,75916584,79416,20470044
11,3,10872172,78539580,77124,18071660
11,1,10873124,78600840,77244,18009448
11,5,11034312,79063160,77356,17385940
11,2,11174216,77801464,77140,18507732
11,4,10836800,79507140,77300,17139472
11,6,11710132,76353484,77176,19419796
11,7,11106652,74856372,79416,21520388
12,3,11433556,76898076,77124,19151780
12,1,11787584,75873012,77244,19822816
12,2,11256388,76268640,77140,19958384
12,5,11034324,79061448,77356,17387640
12,4,10836816,79474144,77300,17172452
12,6,11831560,74158528,77176,21493324
12,7,11209568,71558240,79416,24715604
13,3,11762040,75016524,77124,20704848
