moment,node,buffer_cache,free,map,used
1,2,11403328,93692292,60012,2387792
1,4,11236540,93815488,60128,2431384
1,5,11521196,93505140,59844,2457076
1,3,11238084,93776788,60076,2468540
1,1,11124628,93952644,60152,2406140
1,6,11578912,93474984,60140,2429516
1,7,11636044,93420516,60028,2426852
2,2,11403340,93693016,60012,2387056
2,5,11564460,93457712,60152,2461240
2,4,11368724,93682236,60128,2432452
2,3,11238172,93777976,60264,2467264
2,1,11299244,93522464,72704,2661704
2,6,11711020,93336304,60140,2436088
2,7,11679296,93377308,60028,2426808
3,2,11577956,92995912,72592,2909544
3,5,11739104,92750164,72764,2994144
3,4,11543360,92964104,72716,2975948
3,3,11412804,93070420,72788,3000188
3,1,11299636,92703512,72800,3480264
3,6,11885668,92605224,72728,2992520
3,7,11853952,92710812,72592,2918648
4,2,11711524,92467112,72600,3304776
4,5,11871716,92312804,72772,3298892
4,4,11676272,92517452,72796,3289688
4,1,11498084,91929068,72924,4056260
4,3,11543608,92579372,72728,3360432
4,6,12018416,91838752,75004,3626244
4,7,11986768,92171696,72628,3324948
5,2,11711460,89120512,77152,6651440
5,5,11872248,88717144,77320,6894020
5,4,11676508,89486252,77272,6320652
5,1,11499748,88821020,79624,7162644
5,3,11545980,89073716,77252,6863716
5,6,12018820,89280632,77256,6183960
5,7,11987084,89995032,77152,5501296
6,2,12561308,86276064,77152,8646040
6,5,12672608,86161960,77320,8648844
6,4,12730048,85799628,77156,8953736
6,1,12192320,85722360,79624,9568732
6,3,12380560,85891312,77252,9211540
6,6,12971456,85685064,77256,8826892
6,7,12853124,87233616,77152,7396672
7,2,13510996,83565216,76692,10407200
7,5,13566072,84438012,77216,9479328
7,4,13764400,82298784,77272,11420228
7,1,13495096,82230592,80168,11757724
7,3,13156336,84329864,77252,9997212
7,6,13885712,82724516,77256,10873184
7,7,13857552,84074568,77152,9551292
8,2,14471480,81273576,77056,11738356
8,5,13794468,83292376,77572,10396568
8,4,14635468,80577800,77336,12270144
8,1,13857416,81858968,79624,11767028
8,3,13768776,82582568,78852,11132068
8,6,14481892,81950180,77256,11051340
8,7,14587236,82138368,76680,10757808
9,5,13794148,81765340,77320,11923924
9,4,14677404,78703108,77272,14102900
9,2,14507036,79880980,77152,13095396
9,1,13857396,79015048,79624,14610968
9,3,13854384,80972260,77252,12656768
9,6,14547856,80420792,77256,12514764
9,7,14601660,80383404,77152,12498348
10,5,13794184,78678884,77320,15010344
10,4,14677428,75950980,77272,16855004
10,2,14507168,76814832,77152,16161412
10,1,13857420,76303444,79624,17322548
10,3,13854408,77946852,77252,15682152
10,6,14547876,78542484,77256,14393052
10,7,14601704,77705008,77152,15176700
