moment,node,buffer_cache,free,map,used
1,5,8637100,96604752,60148,2241560
1,2,8643352,96685820,59904,2154240
1,3,8447008,96695860,60040,2340544
1,1,8557672,96766524,60088,2159216
1,4,8465428,96773144,59744,2244840
1,6,8615452,96635360,59756,2232600
1,7,8419884,96841412,59940,2222116
2,5,8637184,96606300,60148,2239928
2,2,8818704,96514908,59904,2149800
2,3,8447092,96696864,60040,2339456
2,1,8864304,96196732,72620,2422376
2,4,8508692,96720532,60048,2254188
2,6,8615460,96636012,60056,2231940
2,7,8419884,96842016,59940,2221512
3,5,8812016,95791620,72856,2879776
3,1,8864540,95502056,72748,3116816
3,2,8993440,95766900,72500,2723072
3,3,8621748,95918288,72660,2943376
3,4,8683468,95712384,72812,3087560
3,6,8790216,95843812,72608,2849384
3,7,8594540,96094992,72600,2793880
4,5,8944516,94810684,77136,3728212
4,1,8997568,94414300,77060,4071544
4,2,9126148,94812080,76820,3545184
4,3,8754872,94968908,77164,3759632
4,4,8882768,94164768,78548,4435876
4,6,8922340,94842824,76716,3718248
4,7,8727404,95139232,76652,3616776
5,1,9000476,93792480,77300,4690456
5,5,8950260,94087516,77356,4445636
5,3,8758472,94199184,77180,4525756
5,2,9130692,94036052,77048,4316668
5,4,8886736,93255864,79612,5340812
5,6,8926464,94139248,77156,4417700
5,7,8729872,94509060,77140,4244480
