moment,node,recv_packets,send_bytes,send_packets
1,2,63,36694,67
1,5,41,22020,44
1,7,2285,135525103,2746
1,4,75,31667,75
1,1,1434,83959606,1781
1,6,84,32390,87
1,3,78,21935,80
2,2,46,78086,50
2,5,3075,44495239,2552
2,7,37,7282,40
2,4,5009,206427,3014
2,6,12,4865,19
2,1,4814,486583,5164
2,3,14136,315865046,12871
3,2,5028,379372,3047
3,5,4525,44509460,3110
3,7,5127,272253,3131
3,4,227,106308,261
3,6,4873,196223,2891
3,1,7650,406720369,8937
3,3,4509,268604759,5412
4,2,60,13856,67
4,5,127,44043,131
4,4,1692,102601,1264
4,7,189,69637,197
4,6,105,30677,117
4,1,142,86697,145
4,3,166,79048,164
5,7,6341,426686,3571
5,2,87382,4464860,64287
5,5,6712,330480,3263
5,4,6921,440580,3500
5,6,71950,3785094,55616
5,1,64836,3510665,51074
5,3,70831,3980992,57500
6,2,127512,6138053,91972
6,7,88525,4674730,66996
6,4,143170,7221742,107713
6,5,123872,6510159,97756
6,6,43773,2114883,31442
6,1,67968,3406588,51075
6,3,121158,6224489,93068
7,7,146361,8490063,125089
7,2,144093,7219828,106872
7,4,84428,4584847,68922
7,5,143026,7875897,117727
7,6,56407,2867847,42291
7,1,127964,6905506,103126
7,3,152631,8387464,125689
8,7,177000,10083511,149351
8,2,132200,6557368,98002
8,4,141176,7366405,109793
8,5,107483,6119900,91828
8,6,122968,6397168,95737
8,1,92144,4996108,74684
8,3,139857,8124136,121658
9,7,199394,11770451,173883
9,4,113534,6354438,95656
9,2,142314,7087093,106029
9,6,81600,4027129,60178
9,5,102934,5761549,86085
9,1,73939,3798825,56844
9,3,142924,7972585,119892
10,4,44344,2615426,39325
10,7,80702,4934613,73452
10,2,76551,4262471,64212
10,6,52763,2458820,36739
10,5,71579,3893701,58679
10,1,52077,3037775,45579
10,3,22026,1291727,19248
11,4,4230,188130,1939
11,7,22059,1324094,17064
11,2,14801,729399,9600
11,6,14800,735745,10264
11,5,37284,1986822,29138
11,1,3831,178967,1837
11,3,26092,1354550,19701
12,4,42148,1714813,25614
12,7,29213,1293688,19491
12,2,45157,1781141,26683
12,6,13878,379994,5589
12,1,23755,677835,9982
12,5,15225,396619,5954
12,3,27925,1238600,18515
13,4,55979,3033326,45256
13,7,23031,1105261,16569
13,2,20698,825868,12327
13,5,41774,2089011,31294
13,6,29632,1230798,18407
13,1,53949,2590269,38467
13,3,57585,3213189,48524
14,4,26527,1394128,21062
14,7,30707,1606890,24169
14,2,13882,553481,8321
14,5,30731,1726539,25517
14,6,17547,823534,11626
14,1,37501,2052029,30349
14,3,18229,1003133,15040
15,7,19350,1098088,15486
15,2,51649,2611581,39178
15,4,2276,41389,560
15,5,9484,438238,6452
15,6,25628,1315224,19230
15,1,1610,31587,413
15,3,25,6479,31
16,7,10212,564016,8379
16,2,19279,919487,13662
16,4,8631,467496,6779
16,5,1079,23461,277
16,6,11838,490160,7243
16,1,4874,229253,3424
16,3,15,5512,22
17,2,22011,1187514,17221
17,4,16145,932433,14061
17,7,189,25782,98
17,6,841,18944,232
17,1,51063,2899422,43178
17,5,20021,1199639,18012
17,3,13,4788,20
18,7,28923,1875358,25770
18,2,11239,615158,8075
18,4,8305,463758,6283
18,6,22167,1278827,19105
18,1,15422,891124,12509
18,5,18218,1087743,16021
18,3,41,6879,46
19,7,1030,103610,288
19,2,34558,1778558,26421
19,4,25593,1471484,21692
19,6,45160,2496721,36577
19,1,51514,2783775,41957
19,5,23694,1399114,20101
19,3,1437,111843,986
20,7,22813,1375188,19907
20,2,18841,933834,13939
20,4,32630,1762792,26200
20,6,47661,2569127,38493
20,1,2021,38948,528
20,5,13810,646960,9541
20,3,39739,2304766,33976
21,7,51715,3026485,43056
21,2,21111,1055857,15368
21,4,43010,2502258,37121
21,6,15288,845679,12068
21,5,28818,1722684,25898
21,1,1757,31266,412
21,3,23674,1315860,19238
22,7,25213,1332965,19862
22,2,41852,2179799,32632
22,4,19856,1037484,15315
22,6,19671,995616,14641
22,1,14622,882934,12854
22,5,1538,104910,1427
22,3,43587,2475250,37001
23,7,18191,1006818,13857
23,2,40993,2201373,33000
23,4,24584,1388335,20745
23,6,28622,1531010,22929
23,1,43092,2434597,36065
23,5,32942,1906431,28695
23,3,17484,961889,13734
24,7,21796,1267813,18714
24,2,4474,155826,2258
24,4,34653,2028184,30006
24,6,14043,657369,9613
24,1,29133,1650702,24188
24,5,7856,422057,5403
24,3,21877,1060437,15752
25,7,15706,1053338,13777
25,2,16710,895090,12753
25,4,20565,1144461,17112
25,6,20090,978428,14606
25,1,22416,1174114,17699
25,5,42225,2243213,33171
25,3,9098,444061,6654
26,7,924,19543,246
26,4,24796,1408323,20858
26,2,14156,792884,11743
26,6,27300,1563842,23158
26,1,16776,898991,13319
26,5,49676,2809984,42101
26,3,26582,1594377,23374
27,7,29065,1768219,25047
27,2,50616,2778228,40792
27,4,8371,461901,6828
27,6,1017,22637,280
27,5,28564,1592525,23629
27,1,32132,1772479,26323
27,3,37682,2195428,32716
28,7,20761,1259123,16350
28,2,28673,1515667,22356
28,4,33535,2008679,29466
28,6,12676,731825,10555
28,1,6878,363420,5402
28,5,9970,470770,6985
28,3,31897,1781289,26576
29,7,34388,1847644,27519
29,2,17272,899621,13062
29,4,7887,376201,5289
29,6,25622,1454921,21573
29,1,20275,1242376,18214
29,5,2400,119617,1633
29,3,1031,21199,277
30,7,20492,1201217,16900
30,2,16301,816176,11743
30,4,25008,1419635,21170
30,6,56729,3085758,45802
30,1,27629,1609858,23721
30,5,36275,2078564,30954
30,3,1824,71475,991
31,7,3048,199988,2824
31,2,23575,1152017,17008
31,4,28064,1479439,22291
31,6,29479,1542581,23245
31,5,21094,1277783,18863
31,1,22211,1198467,17881
31,3,41009,2394229,35722
32,7,19996,1336180,17954
32,2,17953,880741,13222
32,4,2768,170498,2370
32,6,1555,30362,396
32,5,16,14313,27
32,1,4406,268056,3765
32,3,1300,97949,1230
33,7,8228,484773,7128
33,2,5375,299590,4208
33,4,18,9019,27
33,6,8300,473669,7126
33,1,15,5041,21
33,5,21,6992,28
33,3,26,19484,35
34,7,34,42951,34
34,2,19622,1066603,15648
34,4,7549,469499,6686
34,6,17285,1101531,16146
34,1,21,9406,28
34,5,12,4918,18
34,3,29,7478,35
35,7,32905,602807191,34070
35,2,42622,883645833,48034
35,4,34431,654579584,35725
35,6,35676,724791337,38967
35,5,28259,522476896,29924
35,1,33651,632284662,35126
35,3,32342,583431887,33587
36,7,2682,83762331,2415
36,2,10376,29556486,10561
36,4,3028,71234019,2879
36,6,3537,89227961,3847
36,5,8918,163593065,8930
36,1,2513,64278280,2440
36,3,1971,64573970,2091
37,7,29373,482889333,27642
37,2,19868,848586374,20414
37,6,23861,615450110,21671
37,4,29212,510615534,26061
37,5,27011,478670593,24269
37,1,28301,469984718,24860
37,3,26880,446574710,24069
38,7,5327,206096709,5180
38,2,27964,67824542,24896
38,6,10681,200827403,9817
38,4,4957,217003193,4906
38,1,5324,228731014,5506
38,5,7032,210230527,7070
38,3,5573,203698681,5603
39,7,28451,474612512,26284
39,2,17511,823383090,16735
39,6,21564,621198053,19578
39,4,29023,506073342,25912
39,1,28475,479949960,25431
39,5,28188,473447072,25668
39,3,26618,451886974,24394
40,7,13746,334057976,13251
40,2,28304,364202765,25419
40,6,15434,356254226,14285
40,4,12844,341062323,11828
40,1,18520,313521426,17234
40,5,15094,338393757,14515
40,3,9261,328881752,9872
41,7,20756,395344057,19494
41,2,18124,611574020,16760
41,6,22593,467337261,20269
41,4,20483,407635021,17661
41,1,15982,427862833,14761
41,5,18626,386002704,16442
41,3,24393,346200517,22180
42,7,23353,383994644,21405
42,2,19138,638259999,18165
42,4,24797,400901311,22517
42,6,19778,556619525,18485
42,1,25534,398464819,23090
42,5,22297,438054315,20470
42,3,16571,418723163,15691
43,7,2711,79237163,2436
43,2,6457,73829020,5503
43,4,3386,94313237,2963
43,6,1445,45957162,1263
43,5,2123,40478614,1888
43,1,2496,60149859,2115
43,3,3488,66327860,3145
44,7,209,2531598,183
44,2,170,1941945,149
44,4,197,2493422,172
44,6,96,626248,86
44,5,109,1297717,104
44,1,147,1947444,130
44,3,163,1534355,143
45,7,13,5351,19
45,2,17,6340,25
45,4,16,6168,25
45,6,13,4913,19
45,5,20,6708,27
45,1,12,4810,18
45,3,22,7046,29
46,7,14,5825,21
46,2,13,5525,19
46,4,20,22013,27
46,6,20,7012,28
46,5,32,75883,35
46,1,21,6900,29
46,3,16,5851,22
47,7,35,46747,40
47,2,18,6838,25
47,4,20,115245,29
47,6,14,5477,21
47,5,19,8197,26
47,1,16,5463,21
47,3,16,5624,23
48,7,14,5368,20
48,2,15,6144,22
48,4,27,20357,35
48,6,20,6897,26
48,5,24,18527,26
48,1,24,252917,31
48,3,32,43172,33
49,7,32,72149,34
49,2,34,7897,37
49,4,29,6432,33
49,6,36,29866,37
49,5,35,391310,41
49,1,36,24074,38
49,3,33,7278,37
50,7,282,47899,287
50,2,85,33019,94
50,4,233,36574,230
50,6,115,29693,123
50,5,485,53395,467
50,1,337,357558,335
50,3,154,33020,156
51,7,7373,119145807,5962
51,2,37596,48231605,29749
51,4,93669,112602940,74448
51,6,8426,63701400,6114
51,5,51332,196003699,46063
51,1,6393,84286168,5125
51,3,6187,63278092,5000
52,7,64931,3488740,51211
52,2,38467,1785275,26386
52,4,44850,2747152,36301
52,6,76660,4028632,60317
52,5,27403,1775357,23245
52,1,71116,3807706,54771
52,3,10395,368405,4526
53,7,41662,2233928,30000
53,2,101912,4990970,73991
53,6,33907,1675621,24397
53,4,61177,3485950,49511
53,5,49896,2567995,38179
53,1,46363,2397393,35107
53,3,79222,4046047,60527
54,7,66826,3799257,54432
54,2,40499,2046755,30033
54,6,39611,2093362,30877
54,5,63301,3537714,52270
54,4,66229,3777530,56051
54,1,59794,3241836,48160
54,3,30366,1764273,25869
55,7,68339,3980323,58335
55,2,65928,3126928,46489
55,6,56074,3017972,45022
55,5,41785,2346322,34900
55,4,72123,4173697,62391
55,1,50975,2875367,42674
