moment,node,recv_packets,send_bytes,send_packets
1,3,76,35553,76
1,2,78,34681,79
1,5,18,5441,25
1,4,58,29439,58
1,1,75,16944,78
1,6,77,17825,75
1,7,77,49840,76
2,2,6329,474859,6634
2,3,9340,135877521,7714
2,5,15,4569,21
2,4,3040,44487538,2468
2,1,15,5317,21
2,6,40,78187,50
2,7,14,4741,20
3,3,3466,135573613,3535
3,2,9399,586774757,12049
3,5,4982,200723,2880
3,4,6660,177611153,5865
3,1,4885,219862,2933
3,6,4963,352389,2887
3,7,5618,211545,2988
4,3,28046,1684686,23521
4,5,1714,141766,1179
4,2,1963,254533,1513
4,1,1831,146242,1503
4,4,1811,148319,1427
4,6,1871,146790,1550
4,7,3698,188818,1827
5,3,213979,12038333,180194
5,5,127802,7186633,106926
5,2,108815,6040788,88305
5,1,128223,6602184,98379
5,4,117504,6754804,100635
5,6,103405,5426990,80489
5,7,196089,10470024,156379
6,3,181537,10173277,152488
6,5,148528,7872301,117654
6,2,121976,6792834,98522
6,1,145121,7352981,109883
6,4,127725,6838787,102057
6,6,159355,8664601,129472
6,7,124979,6113115,91144
7,3,79806,4633720,69689
7,5,81174,4636741,69822
7,2,85201,5128152,75017
7,4,65428,3691102,55487
7,1,52255,2913940,43699
7,6,57140,2970648,44601
7,7,152928,8387031,126431
8,3,54995,3021113,44951
8,2,39604,2379913,32581
8,5,22827,1305155,18766
8,1,53343,3027675,44878
8,4,32354,1836058,26758
8,6,70817,4028789,59901
8,7,39701,2042449,29568
9,3,9305,474552,7142
9,5,45992,2677529,40514
9,2,3026,56228,783
9,1,6221,234468,3487
9,4,39515,2366325,35681
9,6,3058,54719,779
9,7,28005,1263733,19082
10,3,1180,21388,268
10,5,4071,184213,2735
10,4,76,8282,66
10,2,13132,703416,10480
10,1,2843,48354,679
10,6,27801,1586448,23861
10,7,3326,59311,840
11,3,15045,903160,13505
11,1,35064,1984168,29673
11,5,519,12941,152
11,2,34560,2048506,30873
11,4,17,5141,23
11,6,30334,1713394,25619
11,7,21536,1173651,17498
12,3,23661,1467466,21540
12,1,27761,1419069,20977
12,2,8770,423323,6211
12,5,443,11670,120
12,4,284,35179,243
12,6,11763,640283,9577
12,7,48950,2532589,37940
13,3,23684,1234513,18392
13,1,12320,618518,8808
13,2,702,17986,204
13,5,41274,2372410,35235
13,4,43285,2399741,35988
13,6,15,5153,22
13,7,21455,898584,13376
14,3,50627,2843767,42155
14,1,12369,650519,9681
14,5,29705,1689308,24298
14,2,348,63006,118
14,6,15,5488,22
14,4,51863,2898525,42625
14,7,12076,502140,7505
15,3,23199,1232501,18475
15,2,18815,1132282,16478
15,1,20725,1202933,17984
15,5,40906,2186083,32981
15,4,2852,74369,1053
15,6,13,5422,20
15,7,15574,771463,10908
16,3,2112,39622,537
16,2,12576,857991,10265
16,5,1531,30755,404
16,1,8589,474260,7061
16,4,16815,905213,13542
16,6,27888,1666290,24012
16,7,23128,1326920,19195
17,3,715,17734,207
17,2,17340,982054,14812
17,1,42227,2326300,34659
17,4,21797,1305898,19600
17,5,2894,156073,2204
17,6,29079,1649439,24370
17,7,32120,1691545,25321
18,3,21,5447,27
18,2,7550,471669,6740
18,4,524,14666,154
18,5,30473,1873360,27648
18,1,1854,38771,492
18,6,5660,295915,4323
18,7,35477,1819924,26700
19,3,15862,996569,14819
19,2,18450,1080575,14898
19,4,13504,811576,12008
19,1,14875,867879,12571
19,5,12003,692657,10434
19,6,21,5617,28
19,7,21716,949128,14172
20,3,28201,1642460,23932
20,2,18596,1018948,15312
20,4,10272,604562,8990
20,1,20132,1207461,17974
20,5,1498,29837,397
20,7,14909,602745,8942
20,6,5926,351100,5118
21,3,6409,356568,4958
21,2,1029,23692,283
21,4,5033,303900,4463
21,5,30623,1737130,25711
21,1,18964,1002302,14774
