moment,node,recv_packets,send_bytes,send_packets
1,2,1755,97095439,1971
1,4,76,39350,75
1,5,83,33390,81
1,3,57,22329,59
1,1,79,19732,78
1,6,77,31157,78
1,7,2287,135525599,2705
2,2,16,5140,23
2,5,2269,44469720,2466
2,4,10782,271550905,10684
2,3,36,6956,43
2,1,4884,212606,2922
2,6,4567,310616,4252
2,7,3906,44511021,2648
3,2,4993,243718,2850
3,5,5790,133271673,4878
3,4,7437,406772017,8826
3,3,5007,287986,2902
3,1,280,152723,302
3,6,3441,135569590,3485
3,7,4695,44508888,2934
4,2,1860,194888,1307
4,5,1880,149092,1466
4,4,1837,164856,1272
4,1,2625,189888,1894
4,3,1882,150244,1455
4,6,10391,545648,6841
4,7,3239,146195,1339
5,2,128355,6854646,95794
5,5,126336,7135377,93838
5,4,103941,6094637,77524
5,1,90626,5327851,75352
5,3,134551,8562007,102125
5,6,147533,8647096,115283
5,7,84533,3931521,58185
6,2,65995,3625448,54514
6,5,62760,3327501,49508
6,4,76381,4132564,62308
6,1,45057,2207727,32377
6,3,68932,3806673,56898
6,6,67303,3700392,55349
6,7,81546,4108143,61683
7,2,63712,3779858,55152
7,5,49154,2811992,41929
7,4,65826,3693841,54835
7,1,73292,3966078,60019
7,3,51307,2873816,42707
7,6,53121,3103701,46056
7,7,82921,4496725,67274
8,2,51414,3161085,45606
8,5,12618,776224,11546
8,4,44789,2623127,39368
8,1,9247,559875,7756
8,3,23197,1281633,19280
8,6,31759,1803981,27196
8,7,45821,2526655,37856
9,5,37170,758751027,35047
9,4,46605,1075193066,45850
9,2,43094,1056831732,42057
9,1,42013,908115887,41843
9,3,41350,844911819,40482
9,6,41094,1049863985,41641
9,7,47207,1051172965,41811
10,5,17085,386614885,14914
10,4,17949,712326964,17390
10,2,19241,608839540,17984
10,1,32885,389618038,28682
10,3,18705,530472039,16888
10,6,18972,457992099,17530
10,7,19315,507209753,15612
11,5,19,70912,26
11,2,23,149500,29
11,4,18,338602,29
11,1,19,6511,28
11,3,21,356979,33
11,6,24,230452,30
11,7,19,171616,27
12,5,24629,440646681,21073
12,4,28143,576821730,24892
12,2,21568,619689817,19881
12,1,10159,565474633,10366
12,3,27578,497797519,23242
12,6,21737,571936279,19135
12,7,14691,599539939,13916
13,5,8586,78936960,7234
13,4,7086,228488042,6670
13,2,6324,207804698,5672
13,1,4710,243912026,4305
13,3,7320,124018285,6124
13,6,8219,153759740,7002
13,7,6419,245804541,5809
14,5,197,3163434,127
14,4,226,4691368,178
14,2,134,2569611,106
14,1,42,383270,52
14,3,271,4692685,177
14,6,108,1865441,79
14,7,41,949305,46
15,5,205,3528440,151
15,4,169,2569888,124
15,2,115,1990942,113
15,1,46,9105,53
15,3,105,1601017,74
15,6,206,3258292,144
15,7,93,942234,80
16,5,14,5558,21
16,4,15,5874,21
16,2,13,5211,20
16,1,25,72991,34
16,3,13,4558,19
16,6,16,5897,22
16,7,18,6353,26
17,5,23,50899,29
17,4,17,6055,24
17,2,20,6899,29
17,1,15,6699,24
17,3,27,225631,36
17,6,15,33832,24
17,7,25,217260,33
18,5,22,6782,29
18,4,23,20565,30
18,2,18,5122,22
18,1,38,8970,44
18,3,19,6081,26
18,6,15,6017,22
18,7,21,5819,27
19,5,15,5173,22
19,4,15,5454,21
19,2,24,18410,33
19,1,18,6268,26
19,3,19,6050,25
19,6,17,6091,24
19,7,17,6095,24
20,5,4222,59078656,3762
20,4,4097,46380964,3544
20,2,4537,75277707,4093
20,1,5748,121974860,5244
20,3,5011,105568755,4575
20,6,4370,67384947,4047
20,7,5374,54991573,4116
21,5,62572,3577536,50338
21,4,52275,3190611,42590
21,1,48390,2665565,37181
21,2,46193,2991784,36619
21,6,50894,3436965,43410
21,3,99140,5305921,78711
21,7,117211,6011224,89091
22,5,69882,3994790,59563
22,4,94704,5223346,77795
22,1,87831,4643882,68861
22,2,93484,5539332,78596
22,3,61223,3663762,50092
22,6,101095,5603006,83731
22,7,74685,4076020,60693
23,5,22,10971,31
23,4,16,10618,22
23,3,34058,1950939,29090
23,1,47200,2448476,36438
23,2,53,230777,72
23,6,33,6921,40
23,7,275,33525,215
24,5,3546,46553702,3136
24,4,2316,10859744,2103
24,1,3891,47577395,3737
24,3,2784,47106780,2536
24,2,2936,36768161,2757
24,6,3680,82141193,3503
24,7,3837,43922755,2938
25,5,4052,42008735,4066
25,4,4420,48319470,4352
25,1,4436,40957842,4296
25,3,5072,58094816,4823
25,2,4275,42304383,4095
25,6,4341,46930836,4586
25,7,3933,43604380,3516
26,5,2483,21087760,2665
26,4,2129,23917696,2262
26,1,3917,48800521,4181
26,3,2869,28486471,2833
26,2,3127,20172602,3354
26,6,2366,25482132,2515
26,7,2682,24892879,2550
27,5,304,48973,308
27,4,409,1873878,479
27,1,463,298473,469
27,3,308,113262,319
27,2,461,257900,456
27,6,304,225591,313
27,7,304,117905,312
28,5,18,119368,27
28,4,17,47098,26
28,1,27,9248,42
28,3,20,6201,29
28,2,17,6324,27
28,6,22,67915,34
28,7,23,7505,35
29,5,17,31921,24
29,4,16,16249,24
29,1,25,62920,36
29,3,21,6910,29
29,2,20,6670,27
29,6,16,5536,22
29,7,17,6076,24
30,5,22,6665,28
30,4,22,25342,29
30,1,40,124244,46
30,3,22,5829,27
30,2,24,5111,30
30,6,18,6254,26
30,7,25,5980,29
31,5,16,5529,22
31,4,22,5628,25
31,1,14,6171,23
31,3,22,6418,30
31,2,27,14311,32
31,6,17,6616,26
31,7,23,7069,31
32,5,4859,76758677,4606
32,4,5414,93151058,5434
32,1,5188,67544235,4844
32,3,5687,122237535,5402
32,2,4466,71681908,4212
32,6,5404,89178164,5368
32,7,5808,72209689,4784
33,5,24,44000,33
33,4,59,322992,99
33,1,60,45886,84
33,3,60,85152,83
33,2,108,286908,130
33,6,25,136244,42
33,7,31,169101,45
34,5,17,9013,27
34,4,43,45116,56
34,1,49,37314,62
34,3,19,18150,25
34,2,42,194899,49
34,6,22,73706,29
34,7,18,13128,28
35,5,2575,37920199,2551
35,4,2617,33916576,2443
35,1,3030,54583695,2824
35,3,2826,41878827,2627
35,2,2451,21085171,2262
35,6,3464,71285342,3304
35,7,3240,33735863,2519
36,5,5510,55248062,5903
36,4,5558,64265558,5697
36,1,5032,41801809,5220
36,3,5741,79851828,5678
36,2,5284,61782254,5450
36,6,5530,62944171,5787
36,7,2871,30695672,2919
37,5,2463,29108762,2594
37,4,3834,29594836,4024
37,3,3121,36961910,3336
37,1,4679,80617112,4817
37,2,3829,23778743,3702
37,6,4237,27309233,4444
37,7,4203,68717498,4587
38,5,521,4451325,561
38,4,564,5084246,618
38,3,1923,6130685,2102
38,1,779,5927130,847
38,2,1416,8458546,1595
38,6,863,5167062,940
38,7,541,4598462,583
39,5,27,138967,40
39,4,17,28886,27
39,3,21,6876,29
39,1,14,6120,22
39,2,20,6462,28
39,6,16,6077,23
39,7,17,6138,25
40,5,16,5496,22
40,4,16,5255,23
40,3,15,4312,21
40,1,25,8310,35
40,2,15,80001,23
40,6,17,6098,24
40,7,14,5672,22
41,5,18,6280,26
41,4,18,6562,25
41,3,22,7568,29
41,1,14,5688,22
41,2,21,7139,29
41,6,15,5436,21
41,7,17,6126,24
42,5,22,6317,28
42,4,28,40707,33
42,3,21,5124,27
42,1,36,8768,42
42,2,22,5813,27
42,6,17,6128,24
42,7,23,101639,31
43,5,5293,100747594,5152
43,4,4419,46612646,4310
43,1,6172,117894846,6055
43,2,5205,83386530,5893
43,3,5524,100454777,5053
43,6,5171,84385856,5015
43,7,5251,46360504,3895
44,5,100,2253420,130
44,4,19,6406,29
44,1,96,145979,102
44,2,82,120006,89
44,3,79,439343,86
44,6,144,1601945,198
44,7,109,147907,109
45,5,26,159959,41
45,4,77,88358,92
45,1,89,602933,113
45,2,66,347440,76
45,3,54,200456,78
45,6,21,25834,33
45,7,48,61816,69
46,5,14,8265,21
46,4,18,11744,26
46,1,36,22851,49
46,2,37,97844,48
46,3,18,6850,22
46,6,22,69442,28
46,7,16,8057,22
47,5,9773,132175758,9563
47,4,6601,84652453,6697
47,1,8711,131893836,9729
47,3,6417,102490791,6573
47,2,7756,103157091,7878
47,6,7819,84136995,7774
47,7,9620,85802785,8457
48,5,4748,43075695,5435
48,4,5654,70692013,6011
48,1,6912,58474873,7096
48,3,4439,65640508,4500
48,2,4426,51370942,4869
48,6,5815,71840636,6721
48,7,5416,54348959,5632
49,5,1936,12240592,2030
49,4,1292,10060205,1282
49,1,1580,11266630,1589
49,3,1421,20629753,1711
49,2,1024,12609350,1205
49,6,1457,9791944,1465
49,7,1421,8595919,1291
50,5,15,5697,23
50,4,16,6963,24
50,1,24,7934,34
50,3,13,5450,20
50,2,13,5445,20
50,6,20,6247,26
50,7,16,6174,24
51,5,16,6459,23
51,4,17,5968,23
51,1,14,5799,22
51,3,21,7078,30
51,2,19,6275,26
51,6,17,6456,24
51,7,16,5968,22
52,5,14,4899,19
52,4,15,5880,21
52,1,24,8261,32
52,3,12,4886,18
52,2,15,5577,22
52,6,16,6032,23
52,7,21,141640,27
53,5,15,6239,23
53,4,18,6266,26
53,1,19,7224,30
53,3,20,67509,29
53,2,39,15339,44
53,6,15,5058,21
53,7,24,80751,30
54,5,5115,77214121,4942
54,4,4845,67399197,4794
54,1,5073,71421342,4844
54,3,5353,80001227,4935
54,6,5954,102411492,5902
54,2,5296,89586149,5248
54,7,6172,71657765,4874
55,5,53,199397,57
55,4,85,74966,98
55,1,52,8372,60
55,3,56,94504,64
55,6,56,17495,63
55,2,71,58209,81
55,7,134,2194335,131
56,5,49,60482,63
56,4,27,25345,37
56,1,78,148165,96
56,2,83,331107,97
56,3,81,152739,91
56,6,43,56020,58
56,7,68,1174183,88
57,5,22,20513,29
57,4,20,11736,27
57,1,50,43669,68
57,2,51,222102,59
57,3,35,45500,50
57,6,24,22844,37
57,7,22,20304,33
58,5,2871,38017200,2724
58,4,3035,58535170,2970
58,1,4066,75890574,3841
58,2,2847,25717467,2737
58,6,2884,46120485,2703
58,7,3507,29525966,2795
58,3,2673,29473239,2532
59,5,8024,79569973,8652
59,4,7513,103649351,7954
59,1,9156,104703766,9935
59,2,7985,92953662,8491
59,6,8079,93918806,9132
59,7,7690,88866327,7684
59,3,8306,124291051,8674
60,5,3042,56938369,4420
60,4,3719,48618239,4658
60,1,5600,83257993,6240
60,2,5736,45267804,6278
60,6,4517,59037348,5087
60,7,6020,64395721,6840
60,3,5710,56625487,6459
61,5,128713,7012978,100873
61,4,120460,10426614,90629
61,1,104118,6320470,83700
61,2,148606,12580634,114732
61,6,117886,6275500,90543
61,7,177946,9048785,133526
61,3,128903,6569863,96301
