moment,node,recv_packets,send_bytes,send_packets
1,5,29,6403,32
1,2,89,31379,86
1,3,27,5233,31
1,1,67,28654,68
1,4,68,15795,69
1,6,48,9132,49
1,7,68,17995,67
2,5,65,71474,72
2,2,11449,180321469,10088
2,3,46,77975,57
2,1,5921,396168,5505
2,4,2923,44499908,2430
2,6,15,4340,21
2,7,24,19724,30
3,5,5004,374510,2962
3,1,7868,542068146,10211
3,2,4310,268548256,5490
3,3,4994,324539,2646
3,4,4417,44511980,2922
3,6,4963,192170,2768
3,7,5674,190941,2803
4,5,1967,175696,1449
4,1,4732,498648,2264
4,2,2083,527947,1527
4,3,1949,157170,1479
4,4,2725,211486,2086
4,6,1862,200365,1295
4,7,3024,123555,1291
5,1,8997,2264001,7979
5,5,10296,2169617,8609
5,3,11254,2447221,9317
5,2,9911,3414054,8117
5,4,10502,2291847,8836
5,6,11001,2151908,9029
5,7,8154,1943788,7165
