moment,node,load5,load10,load15,procs
1,2,4.9,5.5,5.73,498
1,5,0.13,0.37,2.9,499
1,7,0.34,0.41,1.21,497
1,4,0.13,0.42,1.87,503
1,1,0.68,0.77,1.72,499
1,6,0.05,0.3,1.77,496
1,3,0.14,0.35,1.42,495
2,2,4.51,5.41,5.7,498
2,5,0.12,0.36,2.89,499
2,7,0.32,0.4,1.21,496
2,4,0.12,0.41,1.86,544
2,6,0.05,0.29,1.76,496
2,1,0.62,0.76,1.71,499
2,3,0.13,0.34,1.41,496
3,2,4.15,5.32,5.67,670
3,5,0.11,0.36,2.87,592
3,7,0.29,0.4,1.2,573
3,4,0.51,0.49,1.88,687
3,6,0.21,0.32,1.76,571
3,1,0.57,0.74,1.7,579
3,3,0.12,0.34,1.4,593
4,2,3.82,5.23,5.64,674
4,5,0.26,0.38,2.87,617
4,4,0.79,0.54,1.89,705
4,7,0.51,0.44,1.21,616
4,6,0.19,0.31,1.75,614
4,1,0.53,0.73,1.69,616
4,3,0.11,0.33,1.39,615
5,7,1.03,0.55,1.24,636
5,2,3.91,5.23,5.64,703
5,5,0.24,0.38,2.85,638
5,4,0.73,0.53,1.88,725
5,6,0.65,0.41,1.77,632
5,1,0.88,0.8,1.71,636
5,3,0.74,0.46,1.43,641
6,2,4.64,5.36,5.68,703
6,7,1.91,0.74,1.3,635
6,4,1.31,0.66,1.91,725
6,5,0.62,0.45,2.86,638
6,6,1.4,0.57,1.82,632
6,1,1.61,0.95,1.75,636
6,3,1.48,0.62,1.48,641
7,7,2.48,0.88,1.34,635
7,2,5.47,5.52,5.73,703
7,4,1.93,0.8,1.95,724
7,5,1.21,0.58,2.89,638
7,6,1.93,0.69,1.85,632
7,1,2.05,1.06,1.78,636
7,3,2,0.74,1.51,641
8,7,2.92,1,1.38,635
8,2,6.23,5.68,5.78,703
8,4,2.33,0.9,1.98,724
8,5,1.6,0.67,2.91,637
8,6,2.1,0.75,1.86,632
8,1,2.68,1.2,1.83,636
8,3,2.48,0.86,1.55,641
9,7,3.33,1.11,1.41,635
9,4,2.71,1,2,725
9,2,6.61,5.77,5.81,702
9,6,2.41,0.83,1.89,630
9,5,1.95,0.76,2.92,638
