moment,node,load5,load10,load15,procs
1,3,0.31,0.4,1.79,513
1,2,0.9,0.98,2.02,513
1,5,1.23,1.14,2.34,508
1,4,0.7,0.83,2.23,509
1,1,5.24,5.16,5.21,512
1,6,0.49,0.85,3.66,495
1,7,0.24,1.12,2.05,511
2,2,0.91,0.98,2.02,554
2,3,0.28,0.4,1.78,513
2,5,1.13,1.12,2.33,508
2,4,0.64,0.82,2.22,509
2,1,4.82,5.07,5.18,512
2,6,0.53,0.85,3.64,495
2,7,0.22,1.1,2.04,511
3,3,0.34,0.41,1.78,622
3,2,1.4,1.08,2.04,708
3,5,1.2,1.14,2.33,613
3,4,0.83,0.85,2.23,619
3,1,4.6,5.02,5.17,617
3,6,0.81,0.9,3.65,601
3,7,0.2,1.08,2.02,682
4,3,0.47,0.43,1.78,658
4,5,1.58,1.22,2.35,647
4,2,1.45,1.09,2.04,735
4,1,4.39,4.97,5.15,648
4,4,0.93,0.87,2.22,645
4,6,1.3,1,3.66,629
4,7,0.27,1.08,2.02,714
5,3,0.68,0.48,1.79,658
5,5,2.18,1.35,2.39,649
5,2,2.77,1.37,2.13,737
5,1,4.84,5.05,5.18,650
5,4,1.65,1.02,2.27,647
5,6,1.68,1.09,3.68,631
5,7,0.73,1.17,2.04,718
6,3,1.26,0.6,1.82,657
6,5,2.56,1.44,2.41,649
6,2,3.03,1.45,2.15,737
6,1,5.81,5.25,5.24,650
6,4,2.24,1.16,2.3,647
6,6,2.11,1.18,3.69,631
6,7,1.87,1.4,2.11,718
7,3,1.8,0.72,1.85,658
7,5,2.44,1.43,2.4,649
7,2,2.95,1.46,2.15,737
7,4,2.22,1.17,2.3,647
7,1,6.39,5.38,5.28,650
7,6,2.58,1.3,3.72,631
7,7,2.6,1.56,2.16,718
8,3,1.66,0.71,1.84,658
8,2,3.75,1.65,2.21,738
8,5,3.04,1.58,2.44,650
8,1,7.08,5.54,5.33,650
8,4,3,1.35,2.35,648
8,6,3.49,1.51,3.77,631
8,7,2.47,1.55,2.15,720
9,3,2.89,0.98,1.93,657
9,5,4.24,1.85,2.53,648
9,2,4.57,1.86,2.27,738
9,1,8.59,5.88,5.44,650
9,4,4.53,1.69,2.46,646
9,6,4.34,1.72,3.83,631
9,7,3.72,1.82,2.24,719
10,3,3.78,1.2,1.99,657
