moment,node,load5,load10,load15,procs
1,2,0.09,1.57,4.95,516
1,4,0.27,1.66,5.36,514
1,5,0.25,1.52,5.62,512
1,3,5.99,7.35,9.02,516
1,1,1.11,1.8,5.41,512
1,6,0.97,1.89,5.27,496
1,7,0.92,1.1,3.85,511
2,2,0.08,1.54,4.93,515
2,5,0.31,1.52,5.6,513
2,4,0.25,1.63,5.33,515
2,3,5.51,7.22,8.97,516
2,1,1.18,1.81,5.39,552
2,6,0.89,1.85,5.24,496
2,7,0.93,1.1,3.83,510
3,2,0.08,1.52,4.9,620
3,5,0.37,1.51,5.57,621
3,4,0.31,1.62,5.31,624
3,3,5.31,7.15,8.94,620
3,1,1.17,1.79,5.37,745
3,6,0.9,1.84,5.21,601
3,7,1.02,1.11,3.82,601
4,2,0.07,1.49,4.87,654
4,5,0.82,1.58,5.57,644
4,4,0.29,1.59,5.28,648
4,1,1.08,1.76,5.34,799
4,3,4.88,7.03,8.89,647
4,6,0.99,1.84,5.2,635
4,7,1.18,1.14,3.82,644
5,2,0.15,1.48,4.85,658
5,5,0.76,1.56,5.54,653
5,4,0.34,1.58,5.26,657
5,1,1.47,1.83,5.34,813
5,3,4.49,6.92,8.84,655
5,6,0.99,1.83,5.17,635
5,7,1.24,1.16,3.81,649
6,2,0.78,1.59,4.87,658
6,5,1.1,1.61,5.54,653
6,4,0.64,1.62,5.25,657
6,1,2.39,2.02,5.38,813
6,3,4.53,6.89,8.82,655
6,6,1.71,1.96,5.2,634
6,7,1.62,1.24,3.82,649
7,2,1.75,1.78,4.91,658
7,5,1.81,1.75,5.56,653
7,4,1.15,1.71,5.26,657
7,1,3.32,2.22,5.43,813
7,3,4.73,6.89,8.81,655
7,6,2.14,2.05,5.21,635
7,7,2.45,1.42,3.86,649
8,2,2.25,1.88,4.93,657
8,5,1.9,1.77,5.55,653
8,4,1.45,1.77,5.26,657
8,1,3.06,2.18,5.4,813
8,3,4.83,6.87,8.79,655
8,6,2.37,2.1,5.21,635
8,7,2.42,1.43,3.85,649
9,5,2.71,1.94,5.58,664
9,4,1.98,1.87,5.27,666
9,2,3.28,2.1,4.98,668
9,1,4.01,2.4,5.45,826
9,3,5.33,6.94,8.81,667
9,6,3.62,2.36,5.28,648
9,7,2.78,1.52,3.87,662
10,5,3.54,2.13,5.62,662
10,4,3.74,2.24,5.38,664
10,2,4.13,2.3,5.03,666
10,1,4.89,2.6,5.5,826
10,3,5.7,6.99,8.81,665
10,6,4.21,2.5,5.31,646
