moment,node,load5,load10,load15,procs
1,5,0.85,1.9,2.14,510
1,2,0.15,1.5,1.9,510
1,3,4.03,4.6,3.5,511
1,1,1.44,3.16,3.02,506
1,4,0.55,1.24,1.59,508
1,6,0.59,1.88,2.1,494
1,7,1.16,2.07,2.06,506
2,5,0.79,1.87,2.13,511
2,2,0.14,1.48,1.89,511
2,3,3.71,4.52,3.48,511
2,1,1.65,3.17,3.03,547
2,4,0.58,1.23,1.58,508
2,6,0.54,1.85,2.09,494
2,7,1.15,2.05,2.05,506
3,5,1.04,1.9,2.14,636
3,1,1.68,3.15,3.02,717
3,2,0.29,1.49,1.9,637
3,3,3.41,4.45,3.46,617
3,4,1.5,1.41,1.64,686
3,6,0.58,1.84,2.08,599
3,7,1.06,2.01,2.04,609
4,5,1.12,1.9,2.14,653
4,1,1.86,3.17,3.03,731
4,2,0.58,1.53,1.91,652
4,3,3.3,4.41,3.45,649
4,4,2.02,1.52,1.67,718
4,6,1.01,1.91,2.1,635
4,7,1.21,2.03,2.05,642
5,1,1.71,3.11,3.01,743
5,5,1.03,1.87,2.13,664
5,3,3.03,4.33,3.43,663
5,2,0.62,1.52,1.9,664
5,4,1.86,1.5,1.66,738
5,6,0.93,1.88,2.09,646
5,7,1.28,2.03,2.05,658
