moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,752091136,0,48,0,0.0919999999952239
1,3,0,702054400,0,42,0,0.043999999993602
1,4,0,668266496,0,42,0,0.0760000000073404
1,5,0,546705408,0,35,0,0.0359999999927823
1,7,0,517419008,0,37,0,0.0360000000065099
1,6,0,553771008,0,35,0,0.0320000000065193
1,1,0,689770496,0,41,0,0.0400000000081491
2,2,0,147456,0,14,0,0.0480000000000018
2,3,0,16384,0,2,0,0.00400000000000489
2,4,0,57344,0,5,0,0.0159999999999911
2,7,0,765952,0,7,0,0
2,5,0,44359680,0,8,0,0.0360000000016214
2,6,0,12288,0,2,0,0
2,1,0,12288,0,2,0,0
3,2,0,117059584,0,971,0,88.9000000000087
3,3,0,12288,0,2,0,0.00399999999999068
3,4,0,69632,0,2,0,0.00800000000000978
3,7,0,237568,0,7,0,0.0279999999911524
3,5,0,49152,0,2,0,0
3,6,0,134467584,0,1052,0,111.096000000003
3,1,0,134488064,0,1050,0,113.423999999993
4,7,0,212992,0,5,0,0.0200000000186265
4,3,0,307200,0,8,0,0.0280000000032601
4,2,0,62173184,0,539,0,36.9919999999975
4,4,0,151121920,0,1234,0,101.035999999989
4,5,0,356352,0,11,0,0.0800000000024568
4,6,0,45703168,0,357,0,17.4759999999927
4,1,0,45842432,0,372,0,18.2440000000052
5,7,0,68571136,0,550,0,21.5239999999895
5,2,0,68206592,0,522,0,24.051999999996
5,3,0,70144000,0,573,0,27.5959999999991
5,4,0,132268032,0,1105,0,102.647999999999
5,6,0,68288512,0,537,0,30.2200000000076
5,5,0,68337664,0,526,0,34.0720000000001
5,1,0,69902336,0,537,0,21.2320000000036
6,7,0,3436544,0,36,0,0.160000000005823
6,2,0,3461120,0,34,0,0.132000000005007
6,3,0,1814528,0,18,0,0.0920000000025709
6,4,0,3325952,0,34,0,0.128000000000938
6,6,0,3436544,0,33,0,0.175999999994531
6,5,0,3457024,0,50,0,0.428000000005937
6,1,0,1818624,0,22,0,0.147999999996856
7,7,0,86016,0,17,0,0.328000000000003
7,2,0,8192,0,2,0,0
7,3,0,61440,0,7,0,0.019999999999996
7,4,0,159744,0,4,0,0.0160000000024496
7,5,0,360448,0,34,0,0.00399999999999068
7,6,0,24576,0,3,0,0.0120000000000005
7,1,0,0,0,0,0,0
8,7,0,237568,0,6,0,0.0119999999878928
8,3,0,184320,0,4,0,0.0160000000024496
8,2,0,176128,0,7,0,0.0160000000016396
8,4,0,57344,0,5,0,0.0799999999999983
8,5,0,163840,0,6,0,0.0160000000024496
8,6,0,126976,0,3,0,0.0120000000024447
8,1,0,155648,0,4,0,0.0120000000024447
9,7,0,179331072,0,1505,0,165.512000000002
9,4,0,299008,0,10,0,0.072000000004067
9,3,0,100941824,0,823,0,72.2399999999907
9,2,0,163840,0,23,0,0.143999999999991
9,5,0,106496,0,2,0,0.0119999999878928
9,6,0,98304,0,5,0,0.0120000000000005
9,1,0,180224,0,4,0,0.0360000000024456
10,7,0,307200,0,12,0,0.124000000017006
10,4,0,118784,0,7,0,0.00400000000081491
10,3,0,78151680,0,682,0,87.9160000000045
10,2,0,569344,0,58,0,0.0200000000008203
10,5,0,179462144,0,1520,0,167.448000000011
10,6,0,179220480,0,1534,0,165.016000000004
10,1,0,179380224,0,1534,0,172.147999999995
11,7,0,68415488,0,538,0,39.8719999999739
11,4,0,34590720,0,295,0,10.087999999996
11,3,0,90112,0,8,0,0.108000000000004
11,2,0,77824,0,5,0,0.00800000000162981
11,5,0,68169728,0,525,0,37.8159999999916
11,6,0,118784,0,4,0,0.0119999999870686
11,1,0,53248,0,12,0,0.0319999999999965
12,7,0,73728,0,8,0,0.0560000000016174
12,4,0,68120576,0,524,0,37.0439999999944
12,3,0,68124672,0,524,0,37.6800000000051
12,2,0,68128768,0,522,0,38.2959999999875
12,5,0,40960,0,4,0,0.0120000000008105
12,6,0,68132864,0,531,0,39.1600000000115
12,1,0,68112384,0,522,0,39.6839999999938
13,7,0,146821120,0,1122,0,124.324000000022
13,4,0,980918272,0,7496,0,1139.01200000001
13,3,0,446464,0,33,0,0.0400000000024505
13,2,0,69632,0,5,0,0.00800000000162981
13,5,0,1354838016,0,10346,0,1581.26000000001
13,6,0,36864,0,4,0,0.0120000000008105
13,1,4096,1515167744,1,11571,0.12,1785.66
14,7,0,2136801280,0,16317,0,2623.568
14,4,0,534900736,0,4089,0,554.895999999993
14,3,0,2129530880,0,16263,0,2561.54399999999
14,2,4096,1454940160,1,11109,0.164,1695.28
14,5,0,606908416,0,4644,0,761.839999999996
14,6,4096,1619714048,1,12365,0.148,1877.636
14,1,0,446656512,0,3419,0,564.356
15,7,0,1443729408,0,11043,0,1802.61199999998
15,4,4096,2098262016,1,16018,0.152,2578.728
15,3,0,1793818624,0,13702,0,2241.492
15,2,0,506933248,0,3888,0,639.024000000006
15,5,0,981155840,0,7504,0,1116.632
15,6,0,342138880,0,2625,0,432.467999999991
15,1,4096,1569333248,1,11987,0.112,1830.84
16,7,0,49152,0,2,0,0
16,4,0,309637120,0,2383,0,389.128000000008
16,3,0,151552,0,8,0,0.116000000002444
16,2,0,69632,0,4,0,0
16,5,0,155648,0,12,0,0.104000000001633
16,6,0,81920,0,7,0,0.128
16,1,0,159744,0,10,0,0.00800000000162981
17,7,0,73728,0,5,0,0.00400000000000489
17,4,0,4096,0,1,0,0.00400000000000489
17,3,0,20480,0,2,0,0.00400000000000489
17,2,0,12288,0,2,0,0.00400000000000489
17,5,0,147456,0,8,0,0.00400000000081491
17,6,0,221184,0,18,0,0.00799999999999557
17,1,0,278528,0,15,0,0
18,7,0,303104,0,16,0,0.0840000000153651
18,4,0,110592,0,15,0,0.0879999999999939
18,3,0,36864,0,4,0,0.00400000000000489
18,2,0,122880,0,11,0,0
18,5,0,40960,0,4,0,0.0360000000008114
18,6,0,0,0,0,0,0
18,1,0,32768,0,7,0,0.0360000000000014
19,7,0,12288,0,2,0,0
19,5,0,0,0,0,0,0
19,4,0,212992,0,11,0,0.00799999999999557
19,3,0,184320,0,9,0,0
19,2,0,0,0,0,0,0
19,1,0,12288,0,2,0,0
19,6,0,32768,0,7,0,0.0559999999999974
20,7,0,0,0,0,0,0
20,5,0,0,0,0,0,0
20,4,0,57344,0,5,0,0.0200000000000102
20,2,0,49152,0,6,0,0.0999999999999943
20,3,0,20480,0,4,0,0
20,1,0,16384,0,2,0,0.00400000000000489
20,6,0,0,0,0,0,0
21,7,0,16384,0,2,0,0.0240000000000009
21,5,0,0,0,0,0,0
21,4,0,61440,0,5,0,0.00799999999999557
21,2,0,40960,0,3,0,0.0160000000000053
21,3,0,86016,0,5,0,0.00800000000080558
