moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,53248,0,2,0,0
1,3,0,135372800,0,7,0,0.0120000000024447
1,4,0,654000128,0,44,0,0.0400000000008731
1,1,0,579387392,0,40,0,0.0360000000000582
1,5,0,602918912,0,38,0,0.0360000000000582
1,7,0,57344,0,2,0,0
1,6,0,528904192,0,35,0,0.0400000000008731
2,4,0,40960,0,3,0,0.0120000000000005
2,2,0,179777536,0,13,0,0.0279999999951741
2,3,0,44789760,0,373,0,16.9000000000015
2,1,0,0,0,0,0,0
2,5,0,0,0,0,0,0
2,7,0,0,0,0,0,0
2,6,0,200704,0,20,0,0.116000000001634
3,4,0,319488,0,16,0,0.0119999999951688
3,1,0,135168,0,20,0,0.0960000000000036
3,2,0,77824,0,4,0,0.00800000000162981
3,3,0,81920,0,4,0,0.00800000000162981
3,5,0,44724224,0,383,0,16.9400000000015
3,7,0,111390720,0,936,0,87.2160000000009
3,6,0,307200,0,8,0,0.0159999999951594
4,4,0,184320,0,4,0,0.00800000000162981
4,1,0,111575040,0,928,0,89.7520000000004
4,2,0,454656,0,33,0,0.0199999999959743
4,3,0,327680,0,7,0,0.0119999999943587
4,7,0,102109184,0,852,0,56.984000000004
4,5,0,307200,0,7,0,0.0200000000040745
4,6,0,117166080,0,983,0,90.9639999999999
5,4,0,71516160,0,552,0,38.0560000000041
5,1,0,139075584,0,1143,0,86.4119999999966
5,3,0,71491584,0,550,0,27.5600000000049
5,2,0,71979008,0,556,0,21.8640000000006
5,5,0,71565312,0,554,0,20.1119999999977
5,7,0,70074368,0,540,0,35.3479999999957
5,6,0,133799936,0,1106,0,65.9880000000048
6,4,0,413696,0,38,0,0.0159999999959837
6,3,0,204800,0,10,0,0.0359999999968039
6,2,0,229376,0,16,0,0.124000000002439
6,1,0,204800,0,5,0,0.0120000000024447
6,5,0,196608,0,5,0,0.0199999999967986
6,7,0,3514368,0,33,0,0.224000000001979
6,6,0,167936,0,5,0,0.0119999999951688
7,4,0,151552,0,7,0,0.0400000000032605
7,1,0,147456,0,7,0,0.00800000000162981
7,3,0,221184,0,16,0,0.172000000002441
7,2,0,180224,0,10,0,0.00800000000162981
7,5,0,151552,0,6,0,0.00800000000162981
7,7,0,253952,0,10,0,0.0159999999959837
7,6,0,49152,0,5,0,0.0160000000000053
8,4,0,212992,0,7,0,0.00799999999435386
8,2,0,233472,0,8,0,0.00800000000162981
8,1,0,110592,0,4,0,0.0119999999951688
8,3,0,192512,0,6,0,0.0320000000016307
8,5,0,49152,0,4,0,0.00400000000081491
8,7,0,102400,0,4,0,0.00800000000162981
8,6,0,106496,0,3,0,0.00800000000162981
9,4,0,314138624,0,2528,0,323.080000000007
9,2,0,135331840,0,1036,0,110.507999999994
9,1,0,57344,0,5,0,0.0319999999999965
9,3,0,466944,0,40,0,0.00799999999435386
9,5,0,368640,0,35,0,0
9,7,0,0,0,0,0,0
9,6,0,139264,0,15,0,0.0160000000016254
10,4,0,303104,0,46,0,0
10,1,0,118784,0,9,0,0.0400000000000063
10,2,0,178839552,0,1507,0,161.116000000002
10,3,0,178810880,0,1505,0,160.752
10,5,0,178937856,0,1526,0,163.516000000003
10,7,0,35217408,0,328,0,10.5680000000047
10,6,0,77824,0,5,0,0
11,4,0,106496,0,9,0,0.00399999999353895
11,2,0,68710400,0,564,0,38.0200000000041
11,1,0,503808,0,51,0,0
11,3,0,68239360,0,528,0,36.6960000000036
11,5,0,68304896,0,532,0,37.1680000000002
11,7,0,68280320,0,542,0,38.051999999996
11,6,0,68993024,0,561,0,37.1239999999953
12,4,0,68100096,0,522,0,39.5360000000001
12,2,0,1161109504,0,8868,0,1364.42
12,1,0,68100096,0,522,0,39.2200000000012
12,3,0,1051017216,0,8035,0,1222.264
12,5,4096,921776128,1,7039,0.156,1016.704
12,7,0,813113344,0,6222,0,927.487999999998
12,6,0,53248,0,5,0,0.00400000000081491
13,4,4096,1829310464,1,13993,0.16,2157.696
13,2,0,280305664,0,2164,0,351.040000000001
13,1,0,1441243136,0,11014,0,1724.192
13,3,0,390402048,0,2989,0,486.432000000001
13,5,0,519589888,0,3979,0,652.775999999998
13,7,8192,2069598208,2,15816,0.308,2530.60000000001
13,6,0,1351266304,0,10320,0,1571.068
14,4,0,1053642752,0,8057,0,1327.064
14,2,0,1297154048,0,9914,0,1538.108
14,1,0,94208,0,4,0,0.0360000000024456
14,3,0,1153069056,0,8824,0,1337.912
14,5,0,0,0,0,0,0
14,7,0,57344,0,2,0,0.00799999999435386
14,6,4096,810725376,1,6199,0.156,985.196000000004
15,4,0,98304,0,6,0,0.00800000000162981
15,2,0,102400,0,4,0,0.00799999999435386
15,1,0,49152,0,6,0,0.0240000000000009
15,3,0,319488,0,19,0,0.00800000000162981
15,5,0,12288,0,2,0,0
15,7,0,16384,0,2,0,0.019999999999996
15,6,0,20480,0,3,0,0
16,4,0,114688,0,8,0,0.00400000000000489
16,2,0,45056,0,3,0,0
16,1,0,57344,0,6,0,0
16,3,0,45056,0,3,0,0
16,5,0,110592,0,15,0,0.176000000000002
16,7,0,73728,0,8,0,0
16,6,0,94208,0,16,0,0.168000000000006
17,4,0,36864,0,4,0,0
17,2,0,12288,0,2,0,0
17,1,0,20480,0,2,0,0
17,3,0,16384,0,2,0,0
17,5,0,49152,0,6,0,0
17,7,0,167936,0,11,0,0
17,6,0,61440,0,8,0,0
18,4,0,16384,0,2,0,0
18,2,0,147456,0,9,0,0
18,3,0,28672,0,4,0,0
18,1,0,53248,0,9,0,0
18,7,0,131072,0,18,0,0.0279999999999916
18,5,0,184320,0,13,0,0
18,6,0,20480,0,2,0,0
19,4,0,135168,0,6,0,0
19,2,0,0,0,0,0,0
19,3,0,20480,0,2,0,0
19,1,0,81920,0,6,0,0
19,7,0,24576,0,2,0,0
19,5,0,16384,0,2,0,0
19,6,0,126976,0,9,0,0
20,4,0,32768,0,4,0,0.0120000000000005
20,2,0,49152,0,6,0,0.0360000000000014
20,3,0,40960,0,3,0,0.0160000000000053
20,1,0,45056,0,2,0,0
20,7,0,0,0,0,0,0
20,5,0,0,0,0,0,0
20,6,0,0,0,0,0,0
21,4,0,40960,0,3,0,0
21,2,0,24576,0,2,0,0
21,3,0,20480,0,2,0,0
21,1,0,49152,0,6,0,0.0319999999999965
21,7,0,0,0,0,0,0
21,5,0,12288,0,2,0,0.019999999999996
21,6,0,12288,0,2,0,0.0239999999999867
22,4,0,61440,0,4,0,0
22,1,0,77824,0,4,0,0.0120000000000005
22,2,0,69632,0,5,0,0
22,3,0,65536,0,4,0,0
22,7,0,90112,0,5,0,0.0280000000000058
22,5,0,49152,0,2,0,0
22,6,0,49152,0,2,0,0
23,4,0,98304,0,13,0,0.019999999999996
23,1,0,94208,0,5,0,0.00399999999353895
23,2,0,69632,0,2,0,0
23,3,0,40960,0,2,0,0
23,7,0,12288,0,2,0,0
23,5,0,147456,0,13,0,0.0880000000008181
23,6,0,77824,0,9,0,0
24,4,0,61440,0,5,0,0.00799999999435386
24,1,0,12288,0,2,0,0
24,2,0,61440,0,5,0,0.00800000000162981
24,3,0,61440,0,5,0,0.00400000000081491
24,7,0,155648,0,12,0,0.0320000000016307
24,5,0,57344,0,2,0,0
24,6,0,20480,0,2,0,0
25,4,0,16384,0,2,0,0
25,1,0,69632,0,13,0,0.111999999999995
25,2,4096,16384,1,2,0,0
25,3,0,20480,0,2,0,0
25,7,0,20480,0,2,0,0
25,5,4096,12288,1,2,0,0
25,6,0,16384,0,2,0,0
