moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,4,0,45056,0,2,0,0
1,2,0,3252940800,0,76,0,0.124000000003434
1,3,0,0,0,0,0,0
1,5,0,2295185408,0,112,0,0.207999999988814
1,1,0,2898980864,0,74,0,0.119999999995343
1,7,0,3073802240,0,95,0,0.116000000001804
1,6,0,2982985728,0,108,0,0.111999999993714
2,5,0,69632,0,2,0,0
2,4,0,53248,0,4,0,0.00800000000162981
2,2,0,0,0,0,0,0
2,3,0,81920,0,4,0,0.00399999999353895
2,1,0,24576,0,4,0,0.00400000000081491
2,7,0,53248,0,9,0,0.168000000000006
2,6,0,40960,0,7,0,0
3,5,0,111378432,0,913,0,75.7480000000069
3,2,0,53248,0,11,0,0.147999999999996
3,4,0,49152,0,2,0,0
3,3,0,143360,0,20,0,0.25200000000082
3,7,0,44498944,0,350,0,17.0440000000017
3,1,0,270336,0,7,0,0.0160000000024496
3,6,0,134287360,0,1030,0,106.548000000009
4,5,0,130535424,0,1077,0,55.6520000000019
4,4,0,147931136,0,1214,0,101.580000000002
4,2,0,172236800,0,1400,0,106.512000000002
4,3,0,6066176,0,51,0,0.780000000005288
4,1,0,165986304,0,1293,0,121.652000000002
4,7,0,39596032,0,307,0,13.5760000000009
4,6,0,32858112,0,257,0,9.04799999999523
5,5,0,8933376,0,74,0,2.87600000000384
5,4,0,103100416,0,869,0,63.3079999999973
5,2,0,79638528,0,688,0,46.0759999999937
5,7,0,32399360,0,253,0,22.3399999999965
5,1,0,256790528,0,2122,0,216.232000000004
5,3,0,65896448,0,509,0,34.627999999997
5,6,0,40157184,0,311,0,21.3919999999925
6,5,0,49152,0,6,0,0.00800000000000978
6,7,0,44511232,0,6,0,0.0120000000024447
6,4,0,135630848,0,14,0,0.0240000000048894
6,2,0,274432,0,9,0,0.044000000001688
6,1,0,163840,0,25,0,0.379999999999995
6,3,0,614400,0,35,0,0.0199999999967986
6,6,0,135479296,0,11,0,0.0240000000032552
7,5,0,44568576,0,13,0,0.0359999999878937
7,2,0,86016,0,4,0,0.00800000000162981
7,7,0,65536,0,7,0,0.0479999999999876
7,4,0,151552,0,17,0,0.203999999994352
7,1,0,221184,0,6,0,0.0120000000024447
7,3,0,61440,0,7,0,0.0360000000000014
7,6,0,77824,0,7,0,0
8,5,0,180224,0,19,0,0.0760000000008034
8,2,0,0,0,0,0,0
8,7,0,32768,0,3,0,0.0080000000008198
8,4,0,49152,0,4,0,0
8,1,0,0,0,0,0,0
8,3,0,44318720,0,341,0,16.2920000000013
8,6,0,53248,0,2,0,0.00800000000162981
9,5,0,94208,0,5,0,0
9,2,0,90112,0,7,0,0.0360000000000014
9,7,0,111689728,0,938,0,86.1719999999987
9,4,0,102400,0,7,0,0
9,1,0,131072,0,10,0,0.0840000000000032
9,3,0,179216384,0,1494,0,159.248
9,6,0,188416,0,25,0,0.0440000000000111
10,5,0,540672,0,53,0,0
10,2,0,622592,0,28,0,0.108000000000004
10,7,4096,1111150592,1,8585,0.164,1255.152
10,4,0,168693760,0,1327,0,145.088000000001
10,1,0,0,0,0,0,0
10,3,0,352256,0,37,0,0.304000000001636
10,6,0,179183616,0,1537,0,162.932000000001
11,5,0,68132864,0,523,0,36.9080000000104
11,2,0,68550656,0,555,0,36.3559999999998
11,7,0,1026785280,0,7863,0,1286.38
11,4,4096,1604485120,1,12265,0.112,1869.8
11,1,0,102662144,0,821,0,76.4279999999991
11,3,0,68222976,0,529,0,36.0440000000017
11,6,0,68202496,0,522,0,36.8279999999941
12,5,4096,899588096,1,6870,0.104,1003.496
12,2,4096,1600995328,1,12237,0.156,1865.724
12,7,0,16384,0,2,0,0
12,4,0,297385984,0,2277,0,375.131999999998
12,1,4096,1472688128,1,11245,0.156,1718.81199999999
12,3,0,731844608,0,5590,0,816.203999999998
12,6,4096,1000935424,1,7655,0.0680000000000001,1157.12800000001
13,5,0,601985024,0,4619,0,757.571999999994
13,2,0,401018880,0,3074,0,502.915999999997
13,7,0,0,0,0,0,0
13,4,0,12288,0,2,0,0
13,1,0,28872704,0,248,0,38.616000000009
13,3,0,469569536,0,3608,0,593.116000000002
13,6,0,139264,0,9,0,0.0400000000016263
14,5,0,90112,0,11,0,0
14,2,0,0,0,0,0,0
14,1,0,0,0,0,0,0
14,7,0,12288,0,2,0,0.00800000000000978
14,4,0,69632,0,12,0,0.0880000000000081
14,3,0,12288,0,2,0,0
14,6,0,20480,0,2,0,0.00400000000000489
15,5,0,57344,0,5,0,0
15,2,0,57344,0,5,0,0.0120000000000005
15,1,0,77824,0,7,0,0
15,7,0,49152,0,6,0,0.0319999999999965
15,4,0,57344,0,5,0,0
15,3,0,16384,0,2,0,0
15,6,0,40960,0,4,0,0
16,5,0,16384,0,2,0,0
16,2,0,114688,0,17,0,0.0319999999999965
16,1,0,4096,0,1,0,0
16,7,0,73728,0,9,0,0
16,4,0,49152,0,6,0,0
16,6,0,28672,0,7,0,0
16,3,0,102400,0,10,0,0.0759999999999934
