moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,68997120,0,13,0,0.0119999999988067
1,3,0,339968,0,15,0,0.00799999999981083
1,1,0,204427264,0,1058,0,113.952000000002
1,5,0,69111808,0,28,0,0.0120000000006257
1,4,0,430080,0,15,0,0.0120000000006257
1,7,0,69193728,0,24,0,0.0159999999996217
1,6,0,303104,0,11,0,0.0120000000006257
2,2,0,16384,0,2,0,0
2,3,0,94208,0,4,0,0.00400000000000489
2,1,0,179359744,0,1533,0,161.555999999999
2,5,0,24576,0,2,0,0.00400000000000489
2,4,0,1032192,0,69,0,0
2,7,0,36864,0,3,0,0
2,6,0,102400,0,18,0,0.103999999999999
3,2,0,184324096,0,1565,0,156.856000000001
3,3,0,178675712,0,1476,0,148.407999999999
3,1,0,331776,0,10,0,0.0120000000006257
3,4,0,178647040,0,1475,0,169.023999999999
3,5,0,102400,0,10,0,0.0120000000006257
3,6,0,179306496,0,1523,0,160.567999999999
3,7,0,675840,0,47,0,0
4,2,0,348160,0,26,0,0.247999999999806
4,3,0,34582528,0,283,0,10.3680000000014
4,1,0,221184,0,8,0,0.0359999999998166
4,4,0,487424,0,27,0,0.228000000000634
4,5,0,5672960,0,94,0,0.755999999999403
4,6,0,368640,0,9,0,0.0160000000014406
4,7,0,360448,0,10,0,0.0200000000006213
5,2,0,71475200,0,548,0,33.9439999999995
5,3,0,37548032,0,292,0,10.0799999999999
5,4,0,71475200,0,548,0,39.8559999999998
5,1,0,71745536,0,553,0,38.7600000000002
5,5,0,107216896,0,823,0,71.8799999999992
5,6,0,71475200,0,548,0,26.2119999999995
5,7,0,71475200,0,548,0,37.152
6,2,0,274432,0,5,0,0.0280000000002474
6,4,0,303104,0,6,0,0.0119999999988067
6,3,0,573440,0,42,0,0.0119999999988067
6,1,0,102400,0,16,0,0.0840000000000032
6,5,0,425984,0,11,0,0.0160000000016254
6,6,0,286720,0,8,0,0.00799999999981083
6,7,0,241664,0,7,0,0.0119999999988067
7,2,0,110592,0,7,0,0.00400000000081491
7,4,0,122880,0,6,0,0.0160000000016254
7,3,0,86016,0,8,0,0.0280000000008158
7,1,0,147456,0,10,0,0.00799999999981083
7,5,0,98304,0,5,0,0.00399999999899592
7,6,0,86016,0,6,0,0.0319999999998117
7,7,0,147456,0,23,0,0.168000000001641
8,4,0,94277632,0,722,0,69.7119999999995
8,2,0,0,0,0,0,0
8,1,0,548864,0,38,0,0
8,3,0,32768,0,2,0,0
8,5,0,114688,0,20,0,0
8,6,0,4096,0,1,0,0
8,7,0,57344,0,3,0,0
9,4,0,58871808,0,491,0,48.2639999999992
9,2,0,222973952,0,1826,0,205.992
9,1,0,176492544,0,1441,0,161.648000000001
9,3,0,44367872,0,341,0,17.0079999999998
9,6,0,135385088,0,1047,0,107.080000000001
9,5,0,204800,0,9,0,0
9,7,0,155160576,0,1258,0,133.856
10,4,0,161513472,0,1363,0,160.04
10,2,0,765952,0,70,0,0.0199999999990013
10,1,0,2957312,0,76,0,8.97999999999875
10,5,0,178925568,0,1528,0,152.688
10,3,0,179363840,0,1513,0,160.811999999999
10,6,0,179335168,0,1546,0,152.104
10,7,0,23920640,0,277,0,31.4999999999999
11,4,0,221184,0,21,0,0.139999999999816
11,2,0,68341760,0,549,0,39.124000000001
11,1,0,53518336,0,415,0,25.1239999999998
11,5,0,102690816,0,815,0,71.3719999999994
11,3,4096,1332379648,1,10205,0.152,1527.036
11,6,0,68194304,0,522,0,36.9919999999984
11,7,0,28205056,0,222,0,7.79600000000028
