moment,node,buffer_cache,free,map,used
1,2,3936692,101439896,59760,2106824
1,3,3948056,101371016,59760,2164340
1,4,3995724,101382572,59808,2105116
1,5,3906364,101484868,59868,2092180
1,7,3993732,101295844,60216,2193836
1,6,4124904,101248932,59936,2109576
1,1,4072336,101198864,60248,2212212
2,2,4111188,101117324,72444,2254900
2,3,3948060,101371640,59928,2163712
2,4,3995732,101383188,59808,2104492
2,7,3993732,101295500,59892,2194180
2,5,3906372,101485300,59916,2091740
2,6,4300000,101088184,59936,2095228
2,1,4247928,101043856,60248,2191628
3,2,4111340,100512504,72708,2859568
3,3,4122372,101043928,72544,2317112
3,4,4170360,100437332,72408,2875720
3,7,4168512,100376840,72552,2938060
3,5,4080920,101139584,72768,2262908
3,6,4474772,100733660,72312,2274980
3,1,4422232,100660492,72936,2400688
4,7,4168548,100349716,72552,2965148
4,3,4122712,100412076,72616,2948624
4,2,4111468,100134412,72796,3237532
4,4,4236980,99752084,74488,3494348
4,5,4081112,100531880,72580,2870420
4,6,4474952,100104592,72640,2903868
4,1,4422468,100036148,72680,3024796
5,7,4301664,92044352,77056,11137396
5,2,4244576,93038632,77092,10200204
5,3,4257168,92420300,78916,10805944
5,4,4371756,90829748,77128,12281908
5,6,4608060,91492396,77144,11382956
5,5,4214232,92811112,77084,10458068
5,1,4556904,92455552,79168,10470956
6,7,4304856,92003240,79944,11175316
6,2,4247780,93027600,80252,10208032
6,3,4259044,92394248,79812,10830120
6,4,5332780,88582064,82364,13568568
6,6,4611268,91462024,80012,11410120
6,5,4217424,92793556,79644,10472432
6,1,4558776,92448996,80068,10475640
7,7,6220712,89916112,79948,11346588
7,2,6163284,91069752,80252,10250376
7,3,6174692,90264188,79812,11044532
7,4,5332796,88596816,82364,13553800
7,5,6133280,90755740,79644,10594392
7,6,6526796,89506388,80012,11450228
7,1,6474436,90375128,80068,10633848
8,7,7240328,88897700,79948,11345384
8,3,6578464,89875600,79812,11029348
8,2,6163428,91069240,80252,10250744
8,4,8202524,85660764,82364,13620124
8,5,7090964,89788332,79644,10604116
8,6,6526744,89505308,80012,11451360
8,1,8005408,88823308,80068,10654696
9,7,7945004,87356916,79944,12181492
9,4,8206280,83501540,82364,15775592
9,3,8090368,85955236,79812,13437808
9,2,6163436,91093464,80252,10226512
9,5,7091316,87194612,80136,13197484
9,6,6526936,88513468,80012,12443008
9,1,8006980,86072756,80068,13403676
10,7,7945008,86008648,79948,13529756
10,4,8206304,83187096,82364,16090012
10,3,8090368,85401820,79812,13991224
10,2,6163448,91091436,80252,10228528
10,5,7091324,86564640,79644,13827448
10,6,6526964,87598784,80252,13357664
10,1,8006996,85259128,80068,14217288
11,7,7945068,86009180,79948,13529164
11,4,8206304,83185968,82176,16091140
11,3,8090384,85401280,79608,13991748
11,2,6163468,91090972,80252,10228972
