moment,node,buffer_cache,free,map,used
1,2,10834896,94328796,59984,2319720
1,3,10616304,94473816,60080,2393292
1,4,10662284,94432240,60076,2388888
1,1,10680296,94453700,60084,2349416
1,5,10844464,94240868,60428,2398080
1,7,10898232,94228472,59960,2356708
1,6,11104792,93971208,60092,2407412
2,4,10968868,93879420,72232,2635124
2,2,10967004,94201088,59988,2315320
2,3,10659708,94428488,60080,2395216
2,1,10680304,94453292,60084,2349816
2,5,10887852,94204592,60128,2390968
2,7,10898232,94229360,59960,2355820
2,6,11104808,93970952,60092,2407652
3,4,10969048,93266348,72760,3248016
3,1,10854888,93785948,72652,2842576
3,2,11141572,93551292,72540,2790548
3,3,10834284,93758264,72708,2890864
3,5,11062324,93527228,72688,2893860
3,7,11073024,93095656,72668,3314732
3,6,11279504,93331728,72708,2872180
4,4,10969172,93000540,72644,3513700
4,1,10854968,93496948,72672,3131496
4,2,11141676,93282652,72568,3059084
4,3,10834308,93466740,72708,3182364
4,7,11139616,92481940,74920,3861856
4,5,11062476,93249600,72692,3171336
4,6,11279544,92997172,72680,3206696
5,4,11105476,89634816,80200,6743120
5,1,10991276,89188028,80092,7304108
5,3,10970348,89199508,79588,7313556
5,2,11277712,88918856,80100,7286844
5,5,11198780,88954948,79760,7329684
5,7,11874028,84364168,79728,11245216
5,6,11415864,88682000,79892,7385548
6,4,12512940,87572516,80200,7397956
6,3,12378072,87253700,80100,7851640
6,2,12685444,86795532,79928,8002436
6,1,12398100,87753132,80092,7332180
6,5,12605832,87524024,79760,7353556
6,7,14090564,82000944,82624,11391904
6,6,12823508,86957948,79892,7701956
7,4,13920396,85029536,80200,8533480
7,1,12398740,86720356,79952,8364316
7,3,13504028,85626140,80100,8353244
7,2,13952156,84858300,79928,8672956
7,5,12606244,87032908,79760,7844260
7,7,14092820,80620596,82624,12769996
7,6,13527436,85576252,79892,8379724
8,4,13920412,84213700,80064,9349300
8,2,13952172,84022952,79928,9508288
8,1,12398756,84737596,80092,10347060
8,3,13504044,85408592,80100,8570776
8,5,12606260,85914076,79760,8963076
8,7,14092828,77391464,82624,15999120
8,6,13527444,84657000,79880,9298968
9,4,13920448,84212200,80200,9350764
9,2,13952180,84021340,80112,9509892
9,1,12398756,84737920,80092,10346736
9,3,13504044,85409220,80100,8570148
9,5,12606260,85915692,79760,8961460
9,7,14092880,77292020,82624,16098512
9,6,13527504,84657056,79892,9298852
10,4,13920460,84211824,80200,9351128
10,1,12398764,84736580,80092,10348068
10,2,13952184,84020320,79728,9510908
10,3,13504060,85406960,80100,8572392
10,5,12606268,85913740,79760,8963404
10,7,14092896,77290968,82624,16099548
10,6,13527504,84656120,79892,9299788
11,4,13920476,84211948,80200,9350988
11,2,13952204,84020136,79928,9511072
11,1,12398772,84736596,80092,10348044
11,3,13504076,85406960,80100,8572376
11,5,12606304,85913496,79760,8963612
11,7,14092916,77290444,82624,16100052
11,6,13527512,84655512,79892,9300388
12,4,13920484,84211144,80200,9351784
12,2,13952220,84020092,79928,9511100
12,1,12398780,84735256,80092,10349376
12,3,13504088,85406464,80100,8572860
12,5,12606392,85912560,79760,8964460
12,7,14093012,77289608,82624,16100792
12,6,13527528,84654720,79892,9301164
13,4,13920656,84210820,80200,9351936
13,2,13952228,84020280,79928,9510904
13,1,12398920,84735184,80092,10349308
13,3,13504108,85406484,80100,8572820
13,5,12606484,85912336,79760,8964592
13,7,14093196,77289952,82624,16100264
13,6,13527668,84655020,79892,9300724
14,4,13920796,84210364,80036,9352252
14,2,13952228,84020748,79928,9510436
