moment,node,buffer_cache,free,map,used
1,4,11544076,93430604,60148,2508732
1,2,11583992,93469060,60024,2430360
1,3,11413496,93582096,60084,2487820
1,5,11739672,93233836,60212,2509904
1,1,11306668,93671360,60152,2505384
1,7,11854692,93114308,60064,2514412
1,6,11886352,93073768,60140,2523292
2,5,11914188,92821876,72792,2747348
2,4,11544076,93431600,60148,2507736
2,2,11583992,93469180,60024,2430240
2,3,11456764,93549252,60084,2477396
2,1,11438864,93545768,60152,2498780
2,7,11898020,93069872,60060,2515520
2,6,12018012,92953632,60140,2511768
3,5,11914424,92166084,72888,3402904
3,2,11758660,92784408,72596,2940344
3,4,11718704,92724968,72852,3039740
3,3,11631436,92833284,72752,3018692
3,7,12072656,92381044,72684,3029712
3,1,11613656,92392104,72748,3477652
3,6,12193092,92240596,72732,3049724
4,5,12046300,91798684,72884,3638428
4,4,11823620,90843132,75112,4816660
4,2,11890232,92400636,72596,3192544
4,3,11711736,92481688,72688,3289988
4,1,11737128,92062764,72780,3683520
4,7,12203880,91933688,72716,3345844
4,6,12323516,91848312,72772,3311584
5,5,12051460,87405848,80292,8026104
5,4,12567596,87037880,79964,7877936
5,2,12169760,87472396,79664,7841256
5,7,13184816,87045424,80044,7253172
5,1,11818124,85602916,82596,10062372
5,3,11771776,88540684,79780,7170952
5,6,12329416,87494184,79920,7659812
6,5,13473808,85417536,80284,8592068
6,7,14120616,85269852,80044,8092944
6,4,13677928,85205744,79956,8599740
6,2,13850476,85072928,79664,8560008
6,1,13284300,83434032,82596,10765080
6,3,12941032,87358492,79780,7183888
6,6,13174768,85708300,79920,8600344
7,5,13473816,85053896,80284,8955700
7,2,13850540,84866752,79664,8766120
7,7,14120628,84467164,80044,8895620
7,4,13677936,84781892,79956,9023584
7,1,13284316,82494928,82596,11704168
7,3,12941096,87369524,79780,7172792
7,6,13174784,85230340,79920,9078288
8,5,13473832,85053560,80284,8956020
8,2,13850540,84866264,79664,8766608
8,7,14120636,84466212,80044,8896564
8,4,13677948,84782084,79772,9023380
8,1,13284316,82494168,82596,11704928
8,3,12941104,87368552,79780,7173756
8,6,13174792,85222716,79920,9085904
9,5,13473840,85054428,80284,8955144
9,2,13850552,84866712,79664,8766148
9,7,14120656,84465408,80044,8897348
9,4,13677948,84782592,79956,9022872
9,1,13284324,82494364,82596,11704724
9,3,12941124,87367572,79780,7174716
9,6,13174800,85223216,79920,9085396
10,5,13473860,85054028,80284,8955524
10,2,13850552,84866280,79664,8766580
10,7,14120768,84465404,80044,8897240
10,4,13677968,84780456,79956,9024988
10,1,13284324,82494428,82596,11704660
10,3,12941136,87366860,79780,7175416
10,6,13174812,85221452,79920,9087148
11,5,13473876,85052820,80284,8956716
11,2,13850568,84865616,79664,8767228
11,7,14120888,84465384,80044,8897140
11,4,13678092,84780480,79956,9024840
11,1,13284344,82493252,82596,11705816
11,3,12941148,87367204,79780,7175060
11,6,13174820,85221648,79920,9086944
12,5,13473988,85052036,80284,8957388
12,2,13850716,84865540,79424,8767156
12,7,14120900,84464860,80044,8897652
12,4,13678192,84780312,79956,9024908
12,1,13284504,82493364,82596,11705544
12,3,12941212,87367408,79780,7174792
12,6,13174904,85221372,79920,9087136
13,5,13474048,85051820,80284,8957544
13,2,13850804,84865816,79664,8766792
13,7,14120900,84464892,80044,8897620
13,4,13678200,84780440,79956,9024772
13,1,13284520,82493460,82596,11705432
13,3,12941284,87367504,79780,7174624
13,6,13174956,85221940,79924,9086516
14,5,13474052,85051868,80284,8957492
14,2,13850804,84865748,79664,8766860
14,1,13284520,82493648,82596,11705244
14,7,14120908,84465020,80044,8897484
14,4,13678200,84780468,79752,9024744
14,3,12941300,87367304,79780,7174808
14,6,13174964,85221804,79924,9086644
15,5,13474060,85052820,80288,8956532
15,2,13850812,84866264,79664,8766336
15,1,13284528,82493488,82596,11705396
15,7,14120908,84465268,80044,8897236
15,4,13678208,84780996,79956,9024208
15,3,12941300,87367492,79780,7174620
15,6,13174964,85222208,79924,9086240
16,5,13474072,85053140,80284,8956200
16,2,13850812,84866112,79664,8766488
16,1,13284528,82493600,82764,11705284
16,7,14120916,84465908,80044,8896588
16,4,13678216,84780744,79956,9024452
16,6,13174964,85221724,79932,9086724
16,3,12941308,87367556,79884,7174548
