moment,node,buffer_cache,free,map,used
1,2,8997968,96369192,59916,2116252
1,3,8621652,96613744,60084,2248016
1,1,8864340,96481296,60036,2137776
1,5,8817312,96439180,60120,2226920
1,4,8683748,96577588,60056,2222076
1,7,8594452,96696136,59924,2192824
1,6,8790932,96487604,60056,2204876
2,2,9215620,95999160,72360,2268632
2,3,8664684,96568616,60112,2250112
2,1,8864360,96481572,60036,2137480
2,5,8817320,96439540,60120,2226552
2,4,8815600,96445236,59960,2222576
2,7,8594460,96697400,59924,2191552
2,6,8922632,96351752,60056,2209028
3,2,9215884,95414984,72484,2852544
3,3,8839628,96168300,72704,2475484
3,1,9038980,96071052,72592,2373380
3,4,8990368,96048448,72436,2444596
3,5,8991848,96008024,72556,2483540
3,6,9097628,95958392,72660,2427392
3,7,8768940,96303036,72516,2411436
4,2,9216028,95067648,72536,3199736
4,3,8906272,95255404,74976,3321736
4,1,9039124,95513736,72632,2930552
4,4,8990536,95472812,72592,3020064
4,5,8992204,95061392,72856,3429816
4,6,9097752,95351388,72692,3034272
4,7,8769132,95690368,72576,3023912
5,2,10290728,90822596,79884,6370088
5,3,10539780,90019796,80096,6923836
5,4,10190364,91280256,80044,6012792
5,1,10114428,90852156,79796,6516828
5,5,10135048,89502424,82828,7845940
5,6,10171664,91515052,80012,5796696
5,7,9531020,92584892,79856,5367500
6,2,10290744,90522832,79884,6669836
6,4,10190380,89815560,80044,7477472
6,3,10540484,89075696,80096,7867232
6,1,10114268,89927600,79796,7441544
6,5,10135064,88650668,82828,8697680
6,6,10172480,90898116,80012,6412816
6,7,9531036,92577740,79856,5374636
7,2,10290760,90523276,79884,6669376
7,4,10190388,89815644,80044,7477380
7,3,10540488,89074884,80096,7868040
7,1,10114276,89928232,79796,7440904
7,5,10135072,88651268,82828,8697072
7,6,10172488,90898244,80012,6412680
7,7,9531044,92576160,79856,5376208
8,4,10190396,89815032,80044,7477984
8,2,10290760,90523288,79884,6669364
8,1,10114284,89927948,79796,7441180
8,3,10540500,89074720,80292,7868192
8,5,10135080,88650392,83072,8697940
8,6,10172496,90899192,80012,6411724
8,7,9531052,92576404,79856,5375956
9,4,10190408,89815220,80044,7477784
9,2,10290772,90516660,79884,6675980
9,1,10114292,89926996,79796,7442124
9,3,10540500,89074552,80096,7868360
9,6,10172516,90898888,80012,6412008
9,5,10135088,88651140,82828,8697184
9,7,9531060,92575044,79856,5377308
10,4,10190424,89814880,80044,7478108
10,2,10290788,90515188,79884,6677436
10,1,10114304,89927068,79796,7442040
10,5,10135096,88649816,82828,8698500
10,3,10540532,89070924,80096,7871956
10,6,10172524,90898244,80012,6412644
10,7,9531084,92575768,79856,5376560
11,4,10190444,89815652,80044,7477316
11,2,10290812,90515656,79884,6676944
11,1,10114336,89925392,79796,7443684
11,5,10135128,88649996,82828,8698288
11,3,10540648,89068996,80096,7873768
11,6,10172552,90898696,80012,6412164
11,7,9531104,92575552,79856,5376756
