moment,node,recv_packets,send_bytes,send_packets
1,5,68,20272,65
1,3,302,11698612,299
1,4,62,16230,66
1,1,67,30916,66
1,7,70,29045,68
1,2,90,42315,87
1,6,50,32268,51
2,5,12092,180379613,10248
2,4,4961,200490,2943
2,3,2294,44637470,2623
2,1,14,4565,20
2,7,35,8620,39
2,2,6877,135852891,7447
2,6,21,4708,27
3,5,7889,495448445,10082
3,3,5248,89044062,4082
3,4,228,117336,261
3,1,4933,196401,2891
3,7,5677,213753,3022
3,2,3575,135644772,3633
3,6,4986,211509,2979
4,5,1132,167850,720
4,3,123,56836,123
4,4,100,39083,103
4,1,112,49640,120
4,7,83,45013,88
4,2,102,42974,107
4,6,46,14954,48
5,5,3571,5002196,1807
5,1,3304,202420,2166
5,4,3926,1263807,2769
5,3,4029,228265,2356
5,2,4309,233479,2339
5,6,3680,2160153,2412
5,7,8241,336738,3988
6,5,2486,214194,1200
6,1,421,33967,318
6,4,334,36569,332
6,3,360,44669,359
6,2,216,27409,219
6,6,353,42073,320
6,7,1862,95895,1180
7,5,272,34359,162
7,2,3431,377295,1605
7,1,79,46414,112
7,6,2352,115644,988
7,4,1333,93787,586
7,3,2000,113333,871
7,7,8209,360132,3404
8,5,15085,611733603,16010
8,6,15872,589571284,13775
8,1,13821,786412172,15732
8,2,33148,590238791,26480
8,4,23228,588987954,18078
8,3,8491,392508231,8857
8,7,21015,404247140,15746
9,5,45074,1944429145,47299
9,6,74030,1380010821,58426
9,1,38893,591154824,29009
9,4,32095,1375286452,30987
9,3,35652,1376065780,34355
9,2,46552,1574641342,45214
9,7,71829,2936731441,64215
10,6,35,61524,41
10,5,54,397461,70
10,1,2938,197263606,3098
10,4,27,6645,39
10,3,28,321304,40
10,2,2236,197384328,3233
10,7,5181,395248496,6335
11,5,19,5341,25
11,6,14,5539,21
11,1,21,6325,28
11,2,13,106272,20
11,4,20,72059,29
11,3,21,6157,27
11,7,29,6670,33
12,5,34,8893,36
12,6,20,6600,26
12,2,14,5056,20
12,1,20,6244,26
12,4,24,6606,30
12,3,29,297918,35
12,7,14,6137,22
13,5,19,6581,24
13,6,12,47749,18
13,2,18,6944,25
13,1,17,6114,24
13,4,19,6855,28
13,3,16,5668,23
13,7,28,8010,34
14,5,20,6200,26
14,6,25,7292,32
14,2,14,5490,21
14,1,15,5484,21
14,4,22,822626,43
14,3,21,5882,28
14,7,11,5133,18
15,5,14,5414,19
15,6,13,5428,20
15,2,20,6170,25
15,1,18,6180,25
15,4,20,6375,28
15,3,11,5722,17
15,7,23,8313,30
16,5,20,6639,27
16,6,25,6428,29
16,2,20,6358,27
16,1,19,6244,26
16,4,19,6636,27
16,3,22,6717,28
16,7,14,4952,21
17,6,13,5447,20
17,5,14,5161,21
17,2,15,5150,21
17,1,17,5616,23
17,4,21,6946,30
17,3,14,5440,21
17,7,20,7615,26
18,2,24,136796,30
18,6,20,7025,28
18,5,19,6453,24
18,1,19,6244,26
18,4,19,6649,28
18,7,15,5489,22
18,3,22,6360,27
19,6,14,4686,20
19,2,17,5676,25
19,5,13,5214,21
19,1,18,5396,25
19,4,27,7298,34
19,3,15,5668,23
19,7,21,7356,28
20,6,40,10532,43
20,2,43,7958,44
20,5,43,8757,46
20,1,37,9817,41
20,4,39,9148,47
20,3,41,10431,46
20,7,35,9444,39
21,6,19,6362,26
21,2,33,7876,42
21,5,14,5141,20
21,1,23,6528,29
21,4,35,1141260,59
21,3,16,5242,22
21,7,29,7728,34
22,6,17,5932,23
22,2,25,6474,32
22,5,43,10301,48
22,1,36,7183,40
22,4,28,7296,36
22,3,41,43740,52
22,7,38,7714,50
23,6,14,5332,21
23,2,15,5529,21
23,5,14,5371,21
23,1,16,5550,22
23,4,16,5448,25
23,3,18,5626,24
23,7,24,7056,30
24,6,20,6576,26
24,2,18,6176,25
24,5,20,6657,26
24,1,19,6544,27
24,4,24,7812,32
24,3,20,6294,26
24,7,16,5893,23
25,6,14,5114,21
25,2,18,6184,25
25,5,16,5661,24
25,1,18,5396,25
25,4,15,5991,23
25,3,16,4890,23
25,7,25,7632,32
26,6,30,7428,34
26,2,17,5616,23
26,5,25,6479,30
26,1,18,6464,24
26,4,24,7549,33
26,3,28,7754,33
26,7,15,5329,21
27,6,12,5407,19
27,2,17,6069,24
27,5,12,5338,18
27,1,18,5396,25
27,4,17,5801,25
27,3,22,5820,27
27,7,22,6623,29
28,6,19,6096,25
28,5,54,11008,57
28,2,21,6479,28
28,1,20,7093,27
28,4,23,7284,31
28,3,22,7127,30
28,7,12,6438,19
29,6,16,6645,25
29,5,15,5396,23
29,2,19,5746,26
29,1,18,5801,26
29,4,18,5578,29
29,3,19,5866,28
29,7,41,8364,47
30,6,19,6271,27
30,5,26,6692,30
30,2,18,5914,25
30,1,18,5394,25
30,4,28,7133,34
30,3,21,6360,27
30,7,16,5881,23
31,6,13,4999,19
31,5,13,5470,20
31,2,18,6180,25
31,1,19,6216,26
31,4,18,6975,26
31,3,17,5734,24
31,7,25,7632,32
32,6,19,6576,26
32,5,21,6670,27
32,2,17,5616,23
32,1,16,5441,21
32,4,27,7953,34
32,3,22,6396,29
32,7,14,5263,20
33,6,22,6230,28
33,5,12,4906,18
33,2,25,6516,31
33,1,17,6128,24
33,4,16,5737,24
33,3,15,5104,21
33,7,25,7632,32
34,6,23,6541,28
34,5,27,7413,34
34,2,28,7463,35
34,1,28,7419,36
34,4,29,7574,36
34,3,30,7605,37
34,7,22,6542,29
35,6,32,8180,39
35,5,29,7096,36
35,2,39,9254,44
35,1,31,7302,34
35,4,38,7507,46
35,3,31,7399,37
35,7,52,10820,54
