moment,node,recv_packets,send_bytes,send_packets
1,2,327,8804715,321
1,3,57,31359,61
1,4,57,30305,59
1,1,37,23644,41
1,5,39,12001,42
1,7,36,17603,42
1,6,38,11012,43
2,4,10408,135899937,8027
2,2,4589,359789,4813
2,3,1508,115586,1573
2,1,15,5072,22
2,5,3716,88847835,3391
2,7,16,5140,23
2,6,36,24200,41
3,4,4506,271110175,5726
3,1,4961,203971,2987
3,2,7633,406600163,8962
3,3,5258,88965000,4021
3,5,5213,89275139,4081
3,7,5686,226887,2986
3,6,4852,249175,2967
4,4,98,39001,101
4,1,87,25919,90
4,2,112,44921,115
4,3,115,42051,117
4,7,1951,147398,807
4,5,117,45150,116
4,6,195,62119,196
5,4,3853,1688235,2517
5,1,3483,240704,2570
5,3,3999,270215,2615
5,2,3453,250902,2341
5,5,4208,223654,2460
5,7,4523,3792423,2839
5,6,3689,370471,2357
6,4,3661,173801,1453
6,3,3585,175209,1551
6,2,4175,189327,1782
6,1,114,51625,131
6,5,61,48266,84
6,7,4419,274438,2025
6,6,1832,298922,750
7,4,18846,693230195,16513
7,1,10034,144620146,8307
7,3,14849,864274987,16979
7,2,11618,477623358,11506
7,5,14561,144856188,11993
7,7,30511,577965328,22404
7,6,8028,145476455,6337
8,4,37882,1762944665,39454
8,2,41657,1833960870,40442
8,1,47631,724678647,39466
8,3,39155,1445197892,35785
8,5,23404,1011847186,25168
8,7,59425,865704942,43095
8,6,41086,1731827064,37851
9,4,20,6628,29
9,2,25,6875,31
9,1,16,110939,24
9,3,16,6002,23
9,5,19,6493,26
9,7,3020,148253704,2329
9,6,27,55718,32
10,4,18,6750,25
10,1,17,5664,23
10,2,14,4899,19
10,3,16,5820,23
10,5,18,5418,25
10,7,20,7486,26
10,6,17,6057,24
11,4,16,6185,25
11,2,18,6481,26
11,1,21,115545,27
11,3,18,5706,23
11,5,23,6966,27
11,7,17,5947,25
11,6,23,6330,29
12,4,18,6680,27
12,2,15,6040,27
12,1,17,6328,25
12,3,22,6559,29
12,5,18,5370,25
12,7,21,6977,28
12,6,22,579852,34
13,4,19,6492,26
13,2,19,6019,25
13,1,16,5492,22
13,3,16,5967,23
13,5,19,6927,26
13,7,23,6234,28
13,6,17,5911,25
14,4,16,5971,24
14,2,14,5481,21
14,1,17,5977,23
14,3,17,5523,22
14,5,16,4741,22
14,7,20,6790,26
14,6,17,6059,24
15,4,23,134564,31
15,2,27,6877,31
15,1,17,6069,24
15,3,24,6758,31
15,5,20,6991,27
15,7,16,6222,22
15,6,19,6212,25
16,4,23,6700,31
16,2,12,4917,19
16,1,15,5495,22
16,3,17,615442,33
16,5,19,6180,26
16,7,20,6185,26
16,6,17,6364,24
17,4,19,6976,27
17,2,20,6627,27
17,1,17,6081,24
17,3,17,5481,22
17,5,18,5194,24
17,7,22,6986,29
17,6,19,6063,24
18,4,19,6708,28
18,2,16,5953,24
18,3,17,5557,24
18,1,18,6164,25
18,7,17,6102,23
18,5,21,6164,28
18,6,15,5028,20
19,4,23,6648,30
19,2,25,19455,30
19,3,23,9001,32
19,1,29,6425,32
19,7,28,62761,35
19,5,24,7137,30
19,6,21,6577,27
20,4,18,5816,25
20,2,15,5533,22
20,3,17,5818,23
20,1,17,6832,26
20,7,18,7072,27
20,5,17,5550,23
20,6,16,5692,23
21,4,19,6783,29
21,2,20,6627,27
21,3,18,6153,25
21,1,16,5533,23
21,7,22,6697,30
21,5,19,6182,26
21,6,19,105961,28
22,4,19,6545,27
22,1,15,5031,22
22,2,19,4749,23
22,3,18,6111,25
22,7,23,6016,26
22,5,17,5305,24
22,6,18,6609,26
23,4,18,6154,26
23,1,18,29200,25
23,2,19,6817,27
23,3,18,6357,34
23,7,21,7193,29
23,5,24,6169,29
23,6,20,6159,26
24,4,21,7134,32
24,1,16,6031,24
24,2,15,5481,21
24,3,17,6059,24
24,7,17,5824,23
24,5,20,19661,27
24,6,20,5582,28
25,4,89,14988,117
25,1,70,11845,69
25,2,72,126006,96
25,3,71,204382,80
25,7,122,26464,98
25,5,69,304059,77
25,6,82,332015,93
