moment,node,recv_packets,send_bytes,send_packets
1,4,57,27253,57
1,2,65,15876,65
1,3,56,28141,58
1,5,56,28008,58
1,1,214,5414713,207
1,7,68,31343,70
1,6,57,28484,64
2,5,4987,202228,2950
2,4,21,6508,28
2,2,15,4101,22
2,3,3078,44478480,2512
2,1,4849,438583,4933
2,7,2524,44564301,2620
2,6,11451,271376514,10269
3,5,233,107808,262
3,2,5056,215943,2893
3,4,5016,202050,2878
3,3,5246,88949144,3939
3,7,5605,88954707,4016
3,1,7600,406596277,8872
3,6,3460,135583024,3640
4,5,1774,120292,1284
4,4,2163,178367,1428
4,2,1817,117728,1280
4,3,1962,185320,1671
4,1,2558,337735,2042
4,7,3333,217600,1351
4,6,1822,139868,1317
5,5,2667,165666,1293
5,4,4928,2252014,2000
5,2,2912,1188625,1294
5,7,2704,673429,1316
5,1,2504,151055,1303
5,3,2700,222139,1041
5,6,2544,672338,1182
6,5,14943,425139145,13233
6,7,23765,501084826,16901
6,4,21430,553487194,16596
6,2,17116,600592511,15004
6,1,16812,428580146,15132
6,3,7006,505199843,8541
6,6,14061,664530,9291
7,5,25927,879296163,23590
7,2,24143,1104159466,23956
7,7,32579,904095099,27362
7,4,34636,953417633,30043
7,1,32202,676576718,28060
7,3,8819,697615937,11320
7,6,13768,201783313,10910
8,5,18,7794,27
8,2,42,70089,54
8,7,24,48953,31
8,4,19,5805,26
8,1,20,6390,27
8,3,16,4355,22
8,6,20,5682,24
9,5,19,6795,28
9,2,12,4862,18
9,7,20,6575,26
9,4,17,6076,24
9,1,15,5773,21
9,3,19,6651,27
9,6,13,5735,21
10,5,17,5971,24
10,2,20,6660,27
10,7,15,5124,21
10,4,16,4746,22
10,1,20,6751,26
10,3,23,5241,24
10,6,21,7134,28
11,5,24,34326,31
11,2,13,5430,20
11,7,21,6163,25
11,4,19,6976,26
11,1,17,6223,23
11,3,20,6797,28
11,6,12,4466,18
12,5,18,6711,27
12,2,26,6420,30
12,7,17,6362,24
12,4,19,6212,26
12,1,19,6478,26
12,3,17,7215,23
12,6,22,6728,28
13,5,16,5907,23
13,2,19,6209,26
13,7,16,5312,23
13,4,18,5644,24
13,1,18,6225,24
13,3,25,257172,35
13,6,41,8217,48
14,5,20,7165,28
14,2,22,6764,29
14,1,21,7295,28
14,7,19,6215,26
14,4,25,6342,31
14,3,14,4948,20
14,6,19,7010,25
15,5,30,6989,38
15,2,22,5821,25
15,1,28,6231,32
15,7,18,6324,24
15,4,25,7599,31
15,3,21,6797,28
15,6,16,4816,22
16,5,18,6372,26
16,2,20,6766,28
16,1,25,7131,31
16,7,21,5835,28
16,4,18,5646,24
16,6,20,6288,28
16,3,26,5882,31
