moment,node,recv_packets,send_bytes,send_packets
1,2,56,17589,60
1,3,57,26092,65
1,1,77,36403,76
1,5,58,14739,60
1,4,57,32198,59
1,7,38,9081,43
1,6,36,10198,37
2,2,6644,44581738,4629
2,3,1472,114191,1538
2,1,16,5027,22
2,5,54,138178,61
2,4,9038,135866176,7509
2,7,16,5092,23
2,6,6888,135840196,7283
3,2,1689,88895728,2130
3,3,5983,133423437,4985
3,1,4928,196139,2881
3,4,3456,135570999,3530
3,5,5061,342924,2988
3,6,7733,406593472,9018
3,7,5636,212309,2929
4,2,103,39784,107
4,3,1196,171792,814
4,1,196,95248,185
4,4,132,47811,138
4,5,165,88196,176
4,6,132,55091,138
4,7,108,27972,115
5,2,8111,192179887,6329
5,3,11501,66366046,6697
5,4,10074,128468027,6583
5,1,9837,44757651,5956
5,5,8974,65168475,6050
5,6,10164,191892604,7359
5,7,7659,192101141,5718
6,2,17436,642663266,17003
6,4,26984,643705321,23121
6,3,30666,1155826916,27079
6,1,24212,598189741,21283
6,5,17424,385927611,14708
6,6,16787,641648990,16311
6,7,5531,449236910,7324
7,2,79,141859,105
7,4,85,46298,108
7,3,47,8861,66
7,1,78,509712,113
7,5,110,464629,151
7,6,66,1238257,106
7,7,71,391005,108
8,4,20,5609,25
8,2,22,6812,30
8,1,22,6487,29
8,3,21,6494,27
8,5,21,6937,29
8,6,22,6199,28
8,7,24,6694,31
9,4,17,5907,24
9,2,14,5562,23
9,1,12,4830,19
9,3,22,6717,29
9,6,14,5010,21
9,5,20,5846,25
9,7,20,6199,27
10,4,14,4927,20
10,2,26,7594,31
10,1,20,6518,26
10,5,22,6281,30
10,3,17,5062,22
10,6,18,5279,24
10,7,19,5773,27
11,4,25,7296,31
11,2,15,5694,25
11,1,19,5783,26
11,5,17,6224,24
11,3,28,7438,33
11,6,22,6543,33
11,7,19,6132,26
