moment,node,load5,load10,load15,procs
1,2,8.3,9.16,8,500
1,3,4.85,5.02,3.65,496
1,4,5.5,5.47,4.19,505
1,5,5.81,5.41,4.59,497
1,7,5,4.92,3.58,495
1,6,5.8,5.4,4.09,497
1,1,5.17,5.32,4,498
2,2,7.71,9.03,7.96,541
2,3,4.46,4.93,3.63,496
2,4,5.06,5.38,4.17,505
2,7,4.6,4.84,3.56,496
2,5,5.34,5.32,4.56,497
2,6,5.33,5.31,4.07,498
2,1,4.76,5.23,3.98,499
3,2,7.33,8.93,7.93,668
3,3,4.1,4.85,3.62,558
3,4,4.65,5.29,4.15,658
3,7,4.31,4.77,3.54,634
3,5,4.91,5.24,4.54,561
3,6,4.9,5.22,4.04,564
3,1,4.37,5.14,3.95,564
4,7,3.97,4.69,3.52,616
4,3,3.77,4.77,3.6,614
4,2,6.75,8.78,7.89,696
4,4,4.52,5.25,4.14,686
4,5,4.6,5.16,4.52,617
4,6,4.99,5.24,4.05,615
4,1,4.02,5.06,3.93,616
5,7,3.97,4.68,3.53,639
5,2,6.29,8.65,7.85,720
5,3,4.67,4.94,3.66,658
5,4,4.48,5.23,4.14,731
5,6,4.59,5.15,4.03,644
5,5,4.39,5.11,4.5,644
5,1,4.42,5.12,3.96,659
6,7,6.85,5.27,3.72,670
6,2,8.99,9.17,8.02,750
6,3,7.58,5.54,3.86,673
6,4,6.92,5.73,4.31,764
6,6,6.39,5.51,4.16,674
6,5,7.4,5.72,4.71,673
6,1,7.35,5.72,4.16,674
7,7,7.67,5.46,3.8,669
7,2,8.27,9.02,7.98,750
7,3,8.17,5.7,3.92,672
7,4,11.17,6.63,4.61,764
7,5,10.33,6.36,4.92,673
7,6,9.08,6.09,4.35,674
7,1,9.81,6.25,4.34,673
8,7,10.18,6.02,3.98,670
8,3,10.72,6.27,4.11,673
8,2,7.6,8.87,7.94,748
8,4,15.16,7.53,4.91,765
8,5,12.31,6.84,5.08,673
8,6,8.35,5.98,4.33,672
8,1,10.86,6.53,4.44,674
9,7,9.44,5.93,3.97,682
9,4,14.11,7.44,4.89,778
9,3,10.51,6.3,4.13,684
9,2,7,8.72,7.89,754
9,5,11.48,6.76,5.06,684
9,6,8,5.95,4.32,677
9,1,10.15,6.46,4.43,686
10,7,8.69,5.84,3.95,680
10,4,12.98,7.32,4.87,776
10,3,9.66,6.19,4.11,682
10,2,6.43,8.58,7.85,754
10,5,10.64,6.66,5.04,685
10,6,8.4,6.07,4.37,678
10,1,9.34,6.35,4.41,684
11,7,7.99,5.74,3.93,680
11,4,11.94,7.2,4.84,776
11,3,8.89,6.09,4.09,682
11,2,6,8.45,7.82,754
11,5,9.79,6.55,5.01,685
11,6,7.73,5.97,4.35,678
