moment,node,load5,load10,load15,procs
1,2,4.68,4.39,3.75,517
1,3,5.22,4.51,3.5,513
1,4,4.9,4.71,3.88,511
1,1,4.81,5.08,5.39,510
1,5,4.31,4.19,3.71,508
1,7,6.89,6.99,5.33,510
1,6,5.27,4.64,4.61,497
2,4,4.59,4.65,3.86,551
2,2,4.3,4.32,3.73,516
2,3,4.81,4.43,3.48,513
2,1,4.42,4.99,5.36,510
2,5,3.96,4.12,3.69,509
2,7,6.34,6.88,5.3,510
2,6,4.84,4.57,4.59,497
3,4,4.38,4.6,3.85,702
3,1,4.15,4.93,5.33,613
3,2,4.12,4.28,3.72,623
3,3,4.42,4.36,3.46,619
3,5,3.72,4.07,3.68,615
3,7,6.07,6.81,5.29,685
3,6,4.62,4.52,4.57,594
4,4,4.03,4.53,3.83,711
4,1,3.82,4.85,5.3,628
4,2,3.79,4.21,3.7,634
4,3,4.15,4.31,3.45,631
4,7,5.58,6.7,5.26,695
4,5,3.42,4,3.66,626
4,6,4.25,4.45,4.55,617
5,4,5.07,4.73,3.9,772
5,1,4.95,5.06,5.37,684
5,3,3.81,4.23,3.43,688
5,2,4.69,4.39,3.76,692
5,5,3.39,3.98,3.66,680
5,7,5.45,6.66,5.26,738
5,6,5.59,4.72,4.64,675
6,4,7.95,5.34,4.1,772
6,3,5.35,4.55,3.53,688
6,2,4.63,4.38,3.76,692
6,1,5.28,5.13,5.39,684
6,5,3.12,3.92,3.64,680
6,7,5.9,6.73,5.29,772
6,6,7.3,5.09,4.76,674
7,4,7.47,5.28,4.09,778
7,1,5.58,5.19,5.41,686
7,3,7.97,5.1,3.72,695
7,2,4.26,4.31,3.74,699
7,5,3.03,3.88,3.63,683
7,7,6.63,6.87,5.34,786
7,6,6.72,5.01,4.73,680
8,4,6.87,5.19,4.07,778
8,2,3.92,4.24,3.72,699
8,1,5.13,5.11,5.38,693
8,3,7.81,5.12,3.73,696
8,5,2.79,3.82,3.61,688
8,7,6.1,6.75,5.31,789
8,6,6.18,4.93,4.71,680
9,4,6.32,5.11,4.04,777
9,2,3.61,4.17,3.7,699
9,1,4.72,5.02,5.35,693
9,3,7.18,5.03,3.71,696
9,5,2.56,3.76,3.59,688
9,7,5.61,6.64,5.28,789
9,6,5.68,4.84,4.68,680
10,4,5.81,5.02,4.02,777
10,1,4.34,4.94,5.32,693
10,2,3.32,4.1,3.68,699
10,3,6.61,4.95,3.69,696
10,5,2.36,3.69,3.57,688
10,7,5.24,6.54,5.26,789
10,6,5.23,4.76,4.66,680
11,4,5.35,4.94,4,777
11,2,3.05,4.03,3.66,699
11,1,3.99,4.86,5.3,693
11,3,6.08,4.86,3.67,696
11,5,2.17,3.63,3.55,688
11,7,4.82,6.44,5.23,789
11,6,4.81,4.68,4.63,680
12,4,4.92,4.86,3.98,776
12,2,2.89,3.98,3.64,696
12,1,3.67,4.78,5.27,693
12,3,5.75,4.82,3.66,695
12,5,2.07,3.59,3.53,688
12,7,4.51,6.35,5.21,788
12,6,4.42,4.61,4.6,680
13,4,4.61,4.79,3.96,776
13,2,2.65,3.91,3.62,697
13,1,3.38,4.7,5.24,694
13,3,5.37,4.75,3.65,695
13,5,1.91,3.53,3.52,689
13,7,4.23,6.26,5.18,789
13,6,4.15,4.55,4.59,679
14,4,4.24,4.71,3.94,775
14,2,2.44,3.85,3.6,697
14,1,3.11,4.62,5.21,694
14,3,4.94,4.67,3.63,696
