moment,node,load5,load10,load15,procs
1,4,3.11,2.66,4.79,514
1,2,3.49,2.66,4.5,515
1,3,2.78,4.69,7.42,515
1,5,2.54,2.17,4.77,514
1,1,4.18,3.17,5.01,517
1,7,1.79,2.15,3.59,512
1,6,2.31,2.54,4.65,499
2,5,2.33,2.13,4.75,553
2,4,2.86,2.62,4.76,514
2,2,3.21,2.62,4.47,515
2,3,2.56,4.61,7.38,515
2,1,3.85,3.12,4.98,517
2,7,1.65,2.11,3.57,513
2,6,2.12,2.5,4.62,500
3,5,2.47,2.16,4.74,699
3,2,2.95,2.57,4.45,621
3,4,2.63,2.57,4.73,617
3,3,2.35,4.54,7.34,623
3,7,1.52,2.08,3.55,604
3,1,3.54,3.06,4.96,693
3,6,1.95,2.46,4.6,604
4,5,2.35,2.14,4.72,728
4,4,2.58,2.56,4.72,653
4,2,2.8,2.55,4.43,653
4,3,2.16,4.46,7.3,653
4,1,3.33,3.03,4.93,720
4,7,1.47,2.06,3.54,648
4,6,1.95,2.45,4.58,635
5,5,2.88,2.26,4.75,768
5,4,3.81,2.82,4.79,689
5,2,3.61,2.72,4.47,696
5,7,1.52,2.06,3.53,686
5,1,6.51,3.69,5.14,777
5,3,2.15,4.42,7.27,691
5,6,3.32,2.72,4.66,675
6,5,5.61,2.84,4.92,777
6,7,1.88,2.12,3.54,697
6,4,6.55,3.4,4.97,697
6,2,6.61,3.36,4.67,700
6,1,10.8,4.63,5.43,787
6,3,1.98,4.35,7.23,697
6,6,3.21,2.71,4.65,684
7,5,5.24,2.8,4.9,776
7,2,6.16,3.32,4.65,702
7,7,1.73,2.09,3.52,698
7,4,6.67,3.48,4.99,698
7,1,10.17,4.6,5.42,788
7,3,1.82,4.27,7.19,696
7,6,3.12,2.7,4.63,683
8,5,5.06,2.81,4.89,776
8,2,5.66,3.26,4.63,700
8,7,1.59,2.05,3.5,697
8,4,6.13,3.42,4.96,698
8,1,9.36,4.52,5.39,788
8,3,1.67,4.2,7.15,696
8,6,2.87,2.66,4.61,683
9,5,4.66,2.76,4.86,776
9,2,5.21,3.21,4.6,699
9,7,1.46,2.02,3.48,697
9,4,5.64,3.37,4.93,698
9,1,8.69,4.47,5.37,788
9,3,1.54,4.13,7.11,696
9,6,2.64,2.61,4.58,683
10,5,4.29,2.72,4.84,776
10,2,4.79,3.16,4.58,699
10,7,1.34,1.99,3.46,697
10,4,5.19,3.31,4.9,698
10,1,7.99,4.39,5.34,788
10,3,1.42,4.06,7.07,696
10,6,2.42,2.57,4.56,683
11,5,3.94,2.67,4.81,776
11,2,4.41,3.1,4.55,699
11,7,1.32,1.97,3.45,698
11,4,4.77,3.25,4.88,698
11,1,7.35,4.32,5.31,788
11,3,1.3,4,7.04,695
11,6,2.23,2.52,4.53,683
12,5,3.79,2.66,4.79,775
12,2,4.06,3.05,4.53,699
12,7,1.21,1.94,3.43,696
12,4,4.39,3.2,4.85,696
12,1,6.76,4.25,5.28,786
12,3,1.28,3.95,7,694
12,6,2.05,2.48,4.51,681
13,5,3.56,2.63,4.77,775
13,2,3.73,3,4.5,699
13,7,1.11,1.9,3.41,696
13,4,4.04,3.15,4.83,696
13,1,6.22,4.18,5.25,786
13,3,1.17,3.88,6.97,694
13,6,1.89,2.44,4.48,681
14,5,3.36,2.6,4.75,774
14,2,3.43,2.95,4.48,699
14,1,5.72,4.11,5.22,786
14,7,1.02,1.87,3.39,696
14,4,3.72,3.09,4.8,696
14,3,1.08,3.81,6.93,694
14,6,1.74,2.4,4.46,681
15,5,3.09,2.56,4.73,755
15,2,3.16,2.9,4.45,698
15,1,5.26,4.04,5.2,784
15,7,0.94,1.84,3.38,695
15,4,3.42,3.04,4.77,695
15,3,1.07,3.77,6.9,693
15,6,1.6,2.36,4.43,680
16,5,2.92,2.53,4.71,752
16,2,2.9,2.85,4.43,695
16,1,4.84,3.97,5.17,782
16,7,0.87,1.81,3.36,692
16,4,3.14,2.99,4.75,692
16,6,1.47,2.32,4.41,677
16,3,0.99,3.7,6.86,690
