moment,node,load5,load10,load15,procs
1,2,0.52,1.47,1.88,510
1,3,2.5,4.15,3.39,511
1,1,1.45,3.01,2.98,508
1,5,0.87,1.81,2.1,510
1,4,1.81,1.5,1.66,511
1,7,2.01,2.17,2.09,506
1,6,0.79,1.81,2.07,494
2,2,0.48,1.45,1.87,552
2,3,2.29,4.08,3.37,511
2,1,1.33,2.96,2.96,508
2,5,0.8,1.78,2.09,511
2,4,1.67,1.47,1.65,511
2,7,1.85,2.13,2.08,506
2,6,0.72,1.78,2.06,495
3,2,0.44,1.42,1.86,696
3,3,2.11,4.01,3.35,593
3,1,1.23,2.91,2.94,585
3,4,1.53,1.45,1.64,588
3,5,0.74,1.75,2.08,624
3,6,0.66,1.75,2.04,573
3,7,1.7,2.1,2.07,583
4,2,0.49,1.41,1.86,709
4,3,2.18,4,3.35,636
4,1,1.21,2.88,2.93,629
4,4,1.57,1.46,1.65,629
4,5,0.92,1.77,2.09,686
4,6,0.77,1.76,2.04,612
4,7,1.56,2.06,2.06,624
5,2,0.61,1.42,1.86,770
5,3,3.45,4.23,3.43,694
5,4,1.6,1.47,1.65,694
5,1,1.67,2.95,2.96,690
5,5,1.17,1.81,2.1,777
5,6,1.27,1.85,2.07,674
5,7,2.16,2.18,2.1,684
6,2,0.56,1.4,1.85,774
6,4,1.47,1.44,1.64,699
6,3,3.17,4.16,3.41,700
6,1,1.86,2.97,2.96,699
6,5,1.23,1.81,2.1,784
6,6,1.17,1.81,2.06,675
6,7,1.99,2.14,2.08,685
7,2,0.51,1.38,1.84,772
7,4,1.36,1.42,1.63,697
7,3,2.92,4.09,3.39,699
7,1,1.71,2.92,2.95,697
7,5,1.13,1.78,2.08,781
7,6,1.08,1.78,2.05,673
7,7,1.83,2.11,2.07,683
8,4,1.25,1.39,1.62,697
8,2,0.55,1.37,1.83,772
8,1,1.57,2.87,2.93,697
8,3,2.68,4.02,3.37,699
8,5,1.04,1.75,2.07,781
8,6,0.99,1.75,2.04,673
8,7,1.68,2.07,2.06,683
9,4,1.15,1.37,1.61,697
9,2,0.59,1.36,1.83,772
9,1,1.45,2.82,2.91,697
9,3,2.47,3.96,3.35,700
9,6,0.91,1.73,2.03,673
9,5,0.96,1.72,2.06,781
9,7,1.55,2.04,2.05,683
10,4,1.06,1.35,1.6,698
10,2,0.54,1.34,1.82,772
10,1,1.33,2.77,2.9,697
10,5,0.88,1.69,2.05,781
10,3,2.27,3.89,3.34,700
10,6,0.84,1.7,2.02,673
10,7,1.42,2,2.04,683
11,4,1.05,1.34,1.6,698
11,2,0.5,1.32,1.81,772
11,1,1.22,2.73,2.88,697
11,5,0.81,1.67,2.04,781
11,3,2.17,3.84,3.32,700
11,6,0.77,1.67,2,673
11,7,1.31,1.97,2.03,683
