moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,352256,0,44,0,0
1,3,0,140820480,0,68,0,0.036000000020266
1,5,0,275849216,0,30,0,0.0239999999757856
1,4,0,141443072,0,38,0,0.0160000000032596
1,1,0,254988288,0,38,0,0.0200000000186265
1,7,0,140500992,0,28,0,0.040000000004909
1,6,0,140550144,0,40,0,0.0640000000032614
2,2,0,136294400,0,16,0,0.0119999999878928
2,3,0,44457984,0,9,0,0.0119999999878928
2,5,0,286720,0,8,0,0.0160000000032596
2,4,0,442368,0,53,0,0.00800000000162981
2,1,0,114688,0,6,0,0.0120000000000005
2,6,0,131072,0,6,0,0.00800000000162981
2,7,0,57344,0,5,0,0.00399999999999068
3,2,0,118784,0,6,0,0.0320000000016307
3,3,0,110592,0,9,0,0.00400000001536682
3,5,0,282624,0,8,0,0.0200000000186265
3,4,0,49152,0,2,0,0.0120000000000005
3,1,0,102400,0,5,0,0.00399999998626299
3,6,0,61440,0,5,0,0.0240000000000009
3,7,0,131072,0,11,0,0.00800000000162981
4,2,0,303104,0,7,0,0.0119999999878928
4,5,0,34185216,0,273,0,11.3199999999753
4,3,0,348160,0,15,0,0.00800000000162981
4,4,0,107008000,0,878,0,87.679999999993
4,1,0,315392,0,7,0,0.0120000000169966
4,6,0,303104,0,7,0,0.0119999999878928
4,7,0,516096,0,40,0,0.0120000000169966
5,2,0,68206592,0,522,0,27.7400000000198
5,5,0,68358144,0,526,0,36.6200000000244
5,4,0,140484608,0,1145,0,70.3760000000184
5,3,0,68210688,0,523,0,20.6879999999946
5,6,0,68206592,0,522,0,26.551999999996
5,1,0,68296704,0,538,0,21.8719999999995
5,7,0,68206592,0,522,0,26.6239999999816
6,2,0,274432,0,21,0,0.151999999987879
6,4,0,217088,0,26,0,0.195999999972543
6,5,0,606208,0,58,0,0.0119999999878928
6,3,0,155648,0,5,0,0.0119999999878928
6,6,0,241664,0,10,0,0.0200000000016303
6,1,0,192512,0,11,0,0.00800000000162981
6,7,0,151552,0,4,0,0.00800000000162981
7,2,0,36864,0,2,0,0
7,4,0,53248,0,6,0,0.00400000001536682
7,3,0,24576,0,4,0,0.0320000000000107
7,5,0,45056,0,6,0,0.00400000001536682
7,7,0,53248,0,5,0,0.039999999999992
7,1,0,380928,0,37,0,0
7,6,0,307200,0,29,0,0
8,2,0,294912,0,30,0,0
8,4,0,12288,0,2,0,0
8,3,0,24576,0,3,0,0
8,5,0,61440,0,6,0,0.0279999999862639
8,1,0,65536,0,4,0,0
8,7,0,77824,0,4,0,0.0160000000000196
8,6,0,8192,0,2,0,0
9,2,0,44498944,0,349,0,14.4439999999958
9,4,0,53248,0,5,0,0.00399999998626299
9,3,0,135630848,0,1067,0,111.368000000017
9,5,0,178868224,0,1493,0,158.579999999989
9,1,0,179703808,0,1377,0,162.559999999977
9,7,0,16384,0,2,0,0
9,6,0,143360,0,15,0,0.0999999999999943
10,2,0,178876416,0,1506,0,152.100000000006
10,4,0,401408,0,35,0,0.0319999999999823
10,3,0,178892800,0,1506,0,151.663999999985
10,5,0,1363968,0,65,0,0.048000000023535
10,7,0,178958336,0,1520,0,166.155999999996
10,1,0,178872320,0,1505,0,134.49200000001
10,6,0,178839552,0,1507,0,162.820000000007
11,2,0,68210688,0,524,0,36.1639999999898
11,4,0,69267456,0,539,0,41.9000000000233
11,3,0,68308992,0,534,0,34.69200000001
11,5,0,102273024,0,799,0,71.5080000000016
11,1,0,68190208,0,524,0,38.6160000000091
11,7,0,68382720,0,546,0,37.127999999997
11,6,0,68239360,0,525,0,37.7319999999891
12,2,0,24576,0,2,0,0.00400000001536682
12,3,0,32768,0,4,0,0.00399999998626299
12,4,0,12288,0,2,0,0.00399999998626299
12,5,0,24576,0,4,0,0.00399999998626299
12,7,0,24576,0,3,0,0.00400000001536682
12,1,0,57344,0,8,0,0.00399999998626299
12,6,0,40960,0,4,0,0.00400000001536682
13,2,0,0,0,0,0,0
13,4,0,86016,0,15,0,0.00400000001536682
13,3,0,0,0,0,0,0
13,5,0,204800,0,18,0,0
13,7,0,69632,0,4,0,0.0120000000000005
13,1,0,49152,0,2,0,0
13,6,0,0,0,0,0,0
14,2,0,77824,0,15,0,0.25200000000001
14,3,0,0,0,0,0,0
14,5,0,36864,0,3,0,0.0159999999862634
14,4,0,24576,0,4,0,0.00399999998626299
14,7,0,40960,0,3,0,0
14,1,0,49152,0,6,0,0.0360000000000014
14,6,0,0,0,0,0,0
15,2,0,73728,0,7,0,0.0279999999999916
15,3,0,49152,0,6,0,0.0600000000000023
15,5,0,131072,0,11,0,0.0400000000153682
15,7,0,16384,0,2,0,0
15,4,0,32768,0,4,0,0
15,1,0,45056,0,3,0,0
15,6,0,81920,0,14,0,0.304000000000002
16,2,0,151552,0,9,0,0
16,3,0,180224,0,12,0,0
16,5,0,45056,0,4,0,0
16,4,0,81920,0,6,0,0
16,7,0,69632,0,4,0,0.00800000000000978
16,1,0,155648,0,12,0,0
16,6,0,106496,0,5,0,0
17,2,0,16384,0,2,0,0
17,3,0,16384,0,3,0,0
17,5,0,1482752,0,19,0,0.0359999999927823
17,4,0,1355776,0,16,0,0.0239999999895417
17,7,0,155648,0,17,0,0.0319999999999823
17,1,0,12288,0,2,0,0
17,6,0,118784,0,10,0,0
18,2,0,0,0,0,0,0
18,3,0,77824,0,7,0,0
18,4,0,61440,0,10,0,0.00400000001536682
18,5,0,49152,0,7,0,0.00400000001536682
18,7,0,0,0,0,0,0
18,1,0,0,0,0,0,0
18,6,0,0,0,0,0,0
19,2,0,12288,0,2,0,0.0120000000000005
19,3,0,0,0,0,0,0
19,5,0,0,0,0,0,0
19,4,0,40960,0,6,0,0.0159999999862634
19,6,0,0,0,0,0,0
19,7,0,16384,0,2,0,0.0160000000000196
19,1,0,61440,0,12,0,0.140000000000015
20,2,0,0,0,0,0,0
20,3,0,0,0,0,0,0
20,4,0,634880,0,13,0,0.00400000001536682
20,5,0,36864,0,3,0,0.0199999999862541
20,6,0,12288,0,2,0,0.0480000000000018
20,1,0,53248,0,7,0,0
20,7,0,45056,0,6,0,0.0319999999999823
21,2,0,77824,0,8,0,0.0840000000000032
21,3,0,49152,0,6,0,0.108000000000004
21,4,0,81920,0,14,0,0.143999999999977
21,5,0,151552,0,15,0,0.108000000001624
21,6,0,49152,0,6,0,0
21,7,0,16384,0,2,0,0
21,1,0,45056,0,3,0,0
22,2,0,139264,0,13,0,0
22,3,0,69632,0,4,0,0
22,4,0,81920,0,6,0,0.00399999998626299
22,5,0,57344,0,7,0,0.00400000001536682
22,6,0,106496,0,13,0,0.0240000000000009
22,7,0,65536,0,4,0,0
22,1,0,36864,0,3,0,0
23,2,0,3334144,0,28,0,0.0599999999976717
23,3,0,3317760,0,28,0,0.0840000000162888
23,4,0,4083712,0,35,0,0.156000000017229
23,5,0,5959680,0,49,0,0.191999999980908
23,6,0,3325952,0,28,0,0.111999999993714
23,7,0,3268608,0,26,0,0.0599999999976717
23,1,0,3317760,0,28,0,0.111999999993714
24,2,0,802816,0,8,0,0.00800000000162981
24,3,0,835584,0,9,0,0.0120000000016205
24,4,0,876544,0,8,0,0.0119999999878928
24,5,0,14426112,0,117,0,1.83600000001024
24,7,0,835584,0,9,0,0.0120000000016489
24,6,0,823296,0,8,0,0.00800000000162981
24,1,0,794624,0,8,0,0.0280000000202563
25,2,0,892928,0,10,0,0.00800000000162981
25,3,0,954368,0,27,0,0.260000000001639
25,5,0,1368064,0,15,0,0.0439999999944121
25,4,0,991232,0,14,0,0.0200000000016303
25,6,0,888832,0,10,0,0.0119999999878928
25,1,0,925696,0,10,0,0.0119999999878928
25,7,0,909312,0,12,0,0.00800000000162981
26,2,0,962560,0,11,0,0.0119999999878928
26,3,0,860160,0,8,0,0.00800000000162981
26,5,0,1433600,0,15,0,0.0480000000097789
26,4,0,53362688,0,416,0,24.8759999999893
26,6,0,897024,0,8,0,0.0240000000048894
26,1,0,1003520,0,17,0,0.104000000008142
26,7,0,100065280,0,925,0,78.0560000000046
27,2,0,987136,0,15,0,0.0560000000016316
27,3,0,1028096,0,18,0,0.00799999997252598
27,5,0,1576960,0,22,0,0.0759999999911543
27,6,0,978944,0,13,0,0.0920000000016046
27,4,0,1163264,0,37,0,0.0200000000170064
27,1,0,999424,0,27,0,0.0680000000016321
27,7,0,103239680,0,977,0,82.6999999999825
28,2,0,1040384,0,12,0,0.00800000000162981
28,3,0,1048576,0,13,0,0.00800000000162981
28,5,0,1589248,0,34,0,0.0759999999911543
28,4,0,1126400,0,24,0,0.00800000000162981
28,6,0,1130496,0,24,0,0.0279999999862639
28,1,0,1007616,0,12,0,0.0119999999878928
28,7,0,1069056,0,13,0,0.0360000000218861
29,2,0,987136,0,18,0,0.112000000008152
29,3,0,974848,0,16,0,0.0440000000169789
29,5,0,2285568,0,79,0,0.0280000000202563
29,4,0,1069056,0,18,0,0.00800000000162981
29,6,0,999424,0,19,0,0.0400000000081491
29,1,0,962560,0,17,0,0.00800000000162981
29,7,0,942080,0,12,0,0.0359999999927823
30,2,0,222302208,0,2048,0,202.271999999997
30,3,0,217407488,0,1993,0,173.456000000006
30,5,0,429531136,0,3760,0,443.799999999988
30,4,0,218578944,0,1991,0,213.600000000006
30,1,0,211374080,0,1938,0,175.956000000006
30,6,0,238022656,0,2177,0,194.116000000009
30,7,0,1011712,0,13,0,0.0160000000016396
31,2,0,1077248,0,12,0,0.0359999999927823
31,3,0,1069056,0,12,0,0.0439999999944121
31,5,0,1617920,0,14,0,0.0320000000065193
31,4,0,1118208,0,12,0,0.0119999999878928
31,1,0,1052672,0,11,0,0.0119999999878928
31,6,0,1085440,0,10,0,0.0119999999878928
31,7,0,1085440,0,12,0,0.0160000000032596
32,2,0,1085440,0,10,0,0.0439999999944121
32,3,0,1081344,0,11,0,0.0119999999878928
32,5,12288,1695744,3,17,0,0.0320000000065193
32,4,0,81084416,0,623,0,53.9679999999935
32,1,0,1105920,0,16,0,0.0880000000016139
32,6,0,1110016,0,10,0,0.0120000000169966
32,7,0,1183744,0,31,0,0.156000000001626
33,2,0,1220608,0,17,0,0.0680000000186283
33,5,0,1818624,0,23,0,0.087999999977427
33,3,0,1269760,0,23,0,0.0800000000170087
33,4,0,1216512,0,14,0,0.0200000000032503
33,1,0,1163264,0,13,0,0.0200000000186265
33,6,0,1224704,0,17,0,0.0799999999944134
33,7,0,1105920,0,12,0,0.0119999999878928
34,2,0,1232896,0,14,0,0.0160000000032596
34,5,0,1748992,0,20,0,0.0720000000146683
34,3,0,1208320,0,12,0,0.0519999999960419
34,4,0,1503232,0,35,0,0.0639999999960423
34,1,0,1220608,0,20,0,0.0160000000032596
34,6,0,1331200,0,21,0,0.0720000000081598
34,7,0,2019328,0,56,0,0.0160000000032596
35,2,4096,1232896,1,12,0.00399999999999956,0.0160000000032596
35,5,16384,1617920,4,16,0,0.0279999999911524
35,3,0,1183744,0,12,0,0.0160000000032596
35,4,0,1167360,0,22,0,0.0120000000169966
35,1,0,1150976,0,12,0,0.0159999999741558
35,7,0,1118208,0,10,0,0.0119999999878928
35,6,0,1220608,0,13,0,0.0519999999960419
36,2,0,2457600,0,40,0,0.0359999999927823
36,5,0,15298560,0,134,0,2.20000000001164
36,3,0,1249280,0,11,0,0.0559999999823049
36,4,0,1253376,0,11,0,0.0599999999976717
36,1,4096,1236992,1,13,0,0.0200000000186265
36,7,0,110358528,0,866,0,85.5400000000081
36,6,0,2404352,0,52,0,0.0359999999927823
37,2,0,1056768,0,10,0,0.0119999999878928
37,5,0,1818624,0,19,0,0.0359999999927823
