moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,141344768,0,44,0,0.207999999996787
1,3,0,276865024,0,35,0,0.0199999999967986
1,5,0,255692800,0,104,0,0.0479999999976144
1,4,0,140550144,0,32,0,0.0520000000040852
1,1,0,140468224,0,28,0,0.0160000000032596
1,7,0,141520896,0,48,0,0.207999999996801
1,6,0,140718080,0,48,0,0.0839999999967915
2,2,0,49152,0,8,0,0
2,3,0,69632,0,8,0,0.039999999999992
2,5,0,81920,0,8,0,0
2,4,0,233472,0,23,0,0.0719999999999885
2,1,0,192512,0,18,0,0.0760000000000076
2,7,0,77824,0,8,0,0
2,6,0,179773440,0,17,0,0.0160000000032596
3,2,0,114688,0,9,0,0.0240000000000009
3,3,0,134619136,0,1064,0,106.843999999997
3,5,0,0,0,0,0,0
3,4,0,1536000,0,64,0,0.0239999999976135
3,1,0,134852608,0,1086,0,110.144
3,7,0,44634112,0,373,0,20.3919999999998
3,6,0,44953600,0,403,0,17.5719999999993
4,2,0,112361472,0,941,0,85.5840000000026
4,3,0,35463168,0,276,0,9.97200000000157
4,5,0,136224768,0,1120,0,93.224000000002
4,4,0,57135104,0,440,0,16.648000000001
4,1,0,19722240,0,161,0,3.94799999999668
4,6,0,15896576,0,126,0,2.97600000000156
4,7,0,23318528,0,184,0,5.40000000000146
5,2,0,135155712,0,1112,0,81.663999999997
5,4,0,45694976,0,354,0,22.3799999999974
5,3,0,34164736,0,262,0,9.89199999999983
5,5,0,111304704,0,931,0,65.9399999999974
5,1,0,50130944,0,386,0,26.0360000000001
5,7,0,45416448,0,350,0,28.8159999999989
5,6,0,52756480,0,406,0,32.2719999999964
6,2,0,258048,0,6,0,0.0120000000024447
6,4,0,143360,0,7,0,0.0120000000024447
6,3,0,217088,0,6,0,0.00800000000162981
6,5,0,319488,0,10,0,0.0200000000016303
6,1,0,221184,0,5,0,0.00800000000162981
6,6,0,278528,0,9,0,0.0160000000024496
6,7,0,159744,0,7,0,0.00800000000162981
7,4,0,20480,0,3,0,0.00800000000000978
7,3,0,282624,0,24,0,0.25200000000082
7,2,0,49152,0,4,0,0.00400000000081491
7,5,0,94208,0,8,0,0.00800000000162981
7,1,0,49152,0,4,0,0.00800000000162981
7,7,0,172032,0,10,0,0.0360000000016356
7,6,0,12288,0,3,0,0.00799999999999557
8,4,0,204800,0,23,0,0.0720000000008127
8,3,0,16384,0,2,0,0
8,5,0,192512,0,14,0,0.0840000000000032
8,2,0,188416,0,15,0,0.132000000000005
8,1,0,32768,0,4,0,0
8,7,0,221184,0,22,0,0.219999999999999
8,6,0,184320,0,12,0,0.00799999999999557
9,4,0,178823168,0,1492,0,170.379999999997
9,3,0,163840,0,14,0,0
9,5,0,16384,0,3,0,0
9,1,0,274432,0,27,0,0.0960000000000036
9,2,0,73728,0,8,0,0.0160000000000053
9,7,0,112287744,0,956,0,84.355999999998
9,6,0,299008,0,32,0,0
10,3,0,179159040,0,1527,0,161.203999999998
10,4,0,3432448,0,111,0,0.427999999999884
10,5,0,135168,0,11,0,0.0280000000000058
10,1,0,179195904,0,1549,0,168.252
10,2,0,176128,0,11,0,0
10,7,0,137281536,0,1135,0,111.147999999999
10,6,0,178892800,0,1511,0,159.775999999997
11,4,0,107196416,0,827,0,78.0999999999985
11,3,4096,71483392,1,550,0,36.8640000000014
11,5,0,71766016,0,581,0,36.5559999999969
11,1,0,71540736,0,551,0,39.148000000001
11,2,0,71720960,0,581,0,37.5040000000008
11,6,0,71553024,0,552,0,36.8680000000014
11,7,0,3379200,0,30,0,0.124000000002624
12,4,4096,987136,1,11,0,0.00800000000162981
12,3,0,720896,0,7,0,0.0319999999992433
12,5,0,872448,0,15,0,0.0279999999984284
12,1,4096,684032,1,8,0.004,0.0119999999951688
12,2,0,692224,0,9,0,0.0159999999959837
12,7,12288,786432,3,7,0,0.00799999999435386
12,6,0,892928,0,14,0,0.00800000000162981
13,4,0,1261568,0,13,0,0.0679999999993015
13,3,0,880640,0,12,0,0.00800000000162981
13,5,0,897024,0,11,0,0.00800000000162981
13,1,0,856064,0,8,0,0.0120000000024447
13,2,0,864256,0,8,0,0.0280000000057044
13,7,0,921600,0,15,0,0.0840000000032575
13,6,0,851968,0,8,0,0.0120000000024447
14,4,0,1245184,0,13,0,0.0200000000040745
14,1,0,860160,0,10,0,0.00800000000162981
14,3,0,856064,0,10,0,0.00800000000162981
14,5,0,835584,0,8,0,0.00800000000162981
14,2,0,847872,0,8,0,0.00799999999435386
14,7,0,864256,0,10,0,0.0120000000024447
14,6,0,856064,0,11,0,0.0199999999951643
15,4,0,1339392,0,30,0,0.159999999995975
15,1,4096,880640,1,16,0,0.0600000000024323
15,5,4096,872448,1,8,0,0.00800000000162981
15,3,0,987136,0,26,0,0.0879999999943522
15,2,8192,860160,2,14,0,0.100000000002439
15,7,0,52207616,0,414,0,24.7359999999971
15,6,4096,921600,1,18,0,0.148000000000053
16,4,4096,1339392,1,15,0,0.0240000000048894
16,1,0,999424,0,17,0,0.00799999999435386
16,5,4096,111493120,1,991,0,84.2919999999937
16,3,4096,913408,1,10,0,0.0120000000024447
16,2,0,1015808,0,26,0,0.0400000000016263
16,7,0,1019904,0,22,0,0.0120000000024447
16,6,0,958464,0,12,0,0.0120000000024447
17,4,0,85897216,0,659,0,57.6519999999946
17,1,0,1511424,0,65,0,0.0360000000000582
17,3,0,1056768,0,24,0,0.0360000000000582
17,5,0,111337472,0,15,0,0.0400000000008731
17,2,0,106893312,0,963,0,83.5559999999969
17,7,0,942080,0,12,0,0.0119999999951688
17,6,0,1073152,0,26,0,0.00800000000162981
18,4,8192,2387968,2,79,0,0.0280000000057044
18,3,0,106983424,0,963,0,79.9159999999974
18,1,0,970752,0,14,0,0.00800000000162981
18,7,0,1007616,0,9,0,0.0319999999992433
18,5,4096,1060864,1,18,0,0.00800000000162981
18,2,0,106872832,0,17,0,0.0200000000040745
18,6,4096,1073152,1,18,0,0.111999999994353
19,4,0,1495040,0,17,0,0.0919999999944707
19,7,0,983040,0,14,0,0.0480000000016219
19,3,0,106995712,0,15,0,0.0120000000024447
19,1,0,1089536,0,12,0,0.0120000000024447
19,5,0,970752,0,11,0,0.00800000000162981
19,2,0,1028096,0,10,0,0.0119999999951688
19,6,0,942080,0,11,0,0.0320000000065193
20,4,0,1503232,0,15,0,0.0319999999992433
20,7,0,123891712,0,1047,0,104.668000000004
20,3,0,1015808,0,11,0,0.0439999999984337
20,1,0,99880960,0,1014,0,80.2119999999987
20,2,0,1024000,0,9,0,0.0240000000048894
20,5,0,1036288,0,11,0,0.00800000000162981
20,6,0,1048576,0,11,0,0.0119999999951688
21,4,8192,1650688,2,19,0,0.0280000000057044
21,7,4096,42024960,1,18,0,0.0119999999951688
21,3,4096,1142784,1,16,0,0.0720000000016228
21,1,4096,100929536,1,36,0,0.0519999999960419
21,2,0,1126400,0,16,0,0.047999999995227
21,5,4096,1073152,1,10,0,0.0119999999951688
