moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,140451840,0,24,0,0.0200000000040745
1,2,0,1499136,0,78,0,0.200000000005005
1,3,0,140537856,0,27,0,0.0160000000032596
1,4,0,140566528,0,38,0,0.0640000000040715
1,7,0,140447744,0,22,0,0.0159999999959837
1,1,0,184836096,0,29,0,0.0200000000040745
1,6,0,724992,0,61,0,0
2,5,0,12288,0,2,0,0.0160000000000053
2,2,0,81920,0,4,0,0.00400000000081491
2,3,0,0,0,0,0,0
2,4,0,4096,0,1,0,0
2,1,0,122880,0,14,0,0.135999999999996
2,7,0,16384,0,2,0,0
2,6,0,73728,0,4,0,0.00800000000162981
3,2,0,134533120,0,1035,0,106.731999999996
3,5,0,12288,0,2,0,0
3,4,0,139264,0,4,0,0.00400000000081491
3,3,0,134787072,0,1077,0,107.516
3,7,0,111575040,0,942,0,87.6399999999994
3,1,0,49152,0,2,0,0.00400000000000489
3,6,0,44376064,0,347,0,17.3080000000013
4,2,0,322027520,0,2587,0,254.995999999998
4,4,0,169799680,0,1393,0,101.019999999995
4,5,0,180051968,0,1474,0,104.844000000005
4,3,0,33824768,0,263,0,9.53199999999924
4,1,0,154189824,0,1275,0,106.819999999992
4,7,4096,135958528,1,1096,0.024,71.3840000000022
4,6,0,68648960,0,535,0,20.2759999999939
5,2,0,4812800,0,42,0,4.74400000000198
5,3,0,35917824,0,280,0,27.3799999999974
5,4,0,78192640,0,688,0,57.3919999999998
5,5,0,67985408,0,600,0,44.5319999999912
5,7,0,503808,0,13,0,0.0120000000024447
5,1,0,93491200,0,792,0,68.0599999999977
5,6,0,397312,0,13,0,0.0160000000024354
6,2,0,217088,0,8,0,0.0120000000024447
6,3,0,360448,0,23,0,0.25200000000163
6,5,0,253952,0,18,0,0.0600000000000023
6,4,0,143360,0,11,0,0.0760000000008176
6,7,0,114688,0,8,0,0.00399999999353895
6,6,0,90112,0,11,0,0.00400000000081491
6,1,0,282624,0,9,0,0.0120000000016205
7,2,0,102400,0,7,0,0
7,3,0,73728,0,4,0,0
7,7,0,217088,0,19,0,0.12800000000162
7,5,0,4096,0,1,0,0
7,4,0,90112,0,5,0,0
7,6,0,20480,0,4,0,0.00800000000162981
7,1,0,53248,0,3,0,0
8,2,0,20480,0,2,0,0
8,3,0,16384,0,2,0,0
8,5,0,12288,0,2,0,0
8,7,0,28672,0,4,0,0.00800000000162981
8,4,0,225280,0,25,0,0
8,6,0,57344,0,4,0,0.00800000000162981
8,1,0,57344,0,5,0,0.0240000000000009
9,2,4096,5238784,1,61,0,0.319999999997208
9,5,0,3268608,0,26,0,0.0600000000122236
9,7,0,3682304,0,37,0,0.131999999997788
9,3,0,3334144,0,28,0,0.091999999996915
9,4,0,3268608,0,26,0,0.11200000000099
9,6,0,120365056,0,976,0,91.3600000000006
9,1,0,3469312,0,43,0,0.252000000004315
10,2,4096,1581056,1,91,0,0.0360000000000582
10,7,0,14446592,0,154,0,3.504
10,5,0,790528,0,25,0,0.199999999987895
10,3,0,179888128,0,1545,0,162.636
10,4,4096,946176,1,33,0,0.0319999999992433
10,6,4096,141807616,1,1195,0,114.183999999993
10,1,0,901120,0,21,0,0.00800000000162981
11,2,4096,103268352,1,793,0,74.3400000000038
11,5,0,69189632,0,555,0,39.4600000000064
11,7,0,68976640,0,538,0,40.9120000000039
11,3,0,68947968,0,531,0,37.7760000000053
11,4,0,68972544,0,533,0,39.7119999999995
11,6,0,778240,0,9,0,0.0400000000081491
11,1,0,69124096,0,559,0,38.7559999999939
12,2,0,1110016,0,13,0,0.00800000000162981
12,5,0,786432,0,9,0,0.00800000000162981
12,7,0,811008,0,10,0,0.00800000000162981
12,3,0,868352,0,26,0,0.0319999999992433
12,6,0,864256,0,24,0,0.00800000000162981
12,1,0,757760,0,7,0,0.00800000000162981
12,4,0,798720,0,10,0,0.0360000000000582
13,2,4096,1171456,1,17,0,0.0120000000024447
13,5,8192,872448,2,20,0,0.0319999999919673
13,7,0,901120,0,22,0,0.0119999999951688
13,3,0,872448,0,12,0,0.0360000000000582
13,6,4096,851968,1,11,0,0.00800000000162981
13,1,0,815104,0,8,0,0.0120000000024447
13,4,0,839680,0,12,0,0.0160000000024496
14,2,4096,1236992,1,13,0,0.0199999999895226
14,5,8192,851968,2,8,0,0.0120000000024447
14,7,0,876544,0,11,0,0.0120000000016347
14,3,0,880640,0,11,0,0.0360000000000582
14,4,4096,860160,1,8,0,0.0120000000024447
14,1,0,880640,0,14,0,0.0720000000016228
14,6,0,876544,0,10,0,0.0079999999870779
15,2,0,1286144,0,15,0,0.0240000000040794
15,5,0,856064,0,8,0,0.0120000000024447
15,7,0,966656,0,12,0,0.00800000000162981
15,4,0,925696,0,19,0,0.0119999999951688
15,3,0,933888,0,12,0,0.0239999999959934
15,1,0,868352,0,10,0,0.00800000000162981
15,6,0,856064,0,8,0,0.0360000000073342
16,2,4096,207081472,1,1053,0,82.1600000000056
16,5,0,204759040,0,1029,0,81.4760000000063
16,7,0,962560,0,19,0,0.00800000000162981
16,4,4096,99622912,1,1010,0,83.4120000000039
16,3,0,917504,0,10,0,0.0360000000000582
16,1,0,101351424,0,1022,0,83.3640000000014
16,6,0,98029568,0,761,0,68.8159999999938
17,2,0,1286144,0,11,0,0.0199999999895226
17,5,0,962560,0,12,0,0.0079999999870779
17,7,0,120078336,0,927,0,93.195999999997
17,4,0,99241984,0,16,0,0.0119999999951688
17,3,0,1105920,0,24,0,0.00800000000162981
17,1,0,101294080,0,15,0,0.0119999999878928
17,6,0,1052672,0,22,0,0.00800000000162981
18,2,0,1400832,0,14,0,0.0480000000097789
18,7,0,974848,0,9,0,0.0400000000008731
18,5,0,978944,0,9,0,0.0400000000081491
18,4,0,1003520,0,11,0,0.0120000000024447
18,3,0,209571840,0,1044,0,81.8000000000029
18,1,0,966656,0,10,0,0.0400000000081491
18,6,0,970752,0,11,0,0.00800000000162981
19,7,0,1024000,0,11,0,0.00800000000162981
19,2,0,1458176,0,18,0,0.0679999999960472
19,5,0,999424,0,9,0,0.00800000000162981
19,4,4096,1101824,1,16,0,0.0200000000024403
19,3,0,1060864,0,15,0,0.0239999999951692
19,1,4096,1032192,1,11,0,0.00800000000162981
19,6,0,1011712,0,16,0,0.0480000000016361
20,7,0,1056768,0,22,0,0.168000000000873
20,2,0,1445888,0,14,0,0.0200000000040745
20,5,0,1024000,0,11,0,0.0400000000024505
20,4,0,1024000,0,9,0,0.0119999999951688
20,3,0,1028096,0,11,0,0.00800000000162981
20,1,0,1024000,0,14,0,0.02800000000164
20,6,0,987136,0,12,0,0.0120000000024447
21,2,0,1482752,0,16,0,0.0239999999903375
21,7,4096,1073152,1,11,0,0.00799999999435386
21,5,0,1024000,0,9,0,0.00800000000162981
21,4,0,1032192,0,11,0,0.0120000000024447
21,3,0,1089536,0,13,0,0.0160000000016254
21,1,0,105984000,0,893,0,87.6919999999955
21,6,0,119087104,0,948,0,91.3319999999949
22,2,0,104407040,0,1037,0,81.5599999999977
22,7,0,1060864,0,11,0,0.0400000000008731
22,5,0,105054208,0,1027,0,84.5159999999887
22,4,4096,100573184,1,1003,0,81.872000000003
22,3,0,1069056,0,11,0,0.0319999999992433
22,1,0,33091584,0,13,0,0.0160000000032596
22,6,0,16613376,0,18,0,0.0400000000024505
23,2,0,104321024,0,20,0,0.0560000000114087
23,7,0,4075520,0,46,0,0.183999999998662
23,4,0,100159488,0,28,0,0.139999999995993
23,5,0,104964096,0,15,0,0.0160000000032596
23,3,0,1060864,0,11,0,0.00800000000162981
23,1,0,1024000,0,11,0,0.00800000000162981
23,6,0,1036288,0,11,0,0.0399999999935972
24,2,0,1482752,0,14,0,0.0319999999919673
24,7,0,1060864,0,13,0,0.0400000000008731
24,5,0,1085440,0,18,0,0.00800000000162981
24,4,0,1048576,0,11,0,0.00800000000162981
24,3,0,99012608,0,951,0,74.2079999999987
24,1,0,1085440,0,22,0,0.143999999987884
24,6,0,1028096,0,12,0,0.0120000000016205
25,2,0,1589248,0,20,0,0.0360000000056999
25,7,0,1097728,0,12,0,0.044000000001688
25,5,0,1101824,0,12,0,0.0120000000024447
25,4,8192,1187840,2,15,0,0.0200000000032503
25,3,0,99069952,0,17,0,0.0319999999992433
25,1,0,1056768,0,11,0,0.0200000000040745
25,6,0,1089536,0,11,0,0.0120000000024447
26,2,0,1265664,0,14,0,0.0200000000040745
26,7,0,104951808,0,1032,0,82.6600000000035
26,5,0,897024,0,8,0,0.00800000000162981
26,4,0,925696,0,10,0,0.00799999999435386
26,3,0,962560,0,21,0,0.108000000000061
26,1,0,860160,0,13,0,0.0600000000024465
26,6,0,774144,0,18,0,0.0240000000024452
27,2,0,516096,0,7,0,0.0279999999911524
27,7,0,370827264,0,3610,0,390.423999999999
27,4,0,380928,0,4,0,0.0120000000024447
27,5,0,360448,0,4,0,0.0120000000024447
27,3,0,409600,0,8,0,0.00800000000162981
27,1,0,62783488,0,484,0,33.9199999999983
27,6,0,62586880,0,521,0,36.2920000000013
28,2,0,101380096,0,990,0,80.6319999999978
28,5,0,101343232,0,1048,0,78.8679999999908
28,7,0,199626752,0,1967,0,251.036
28,4,0,94126080,0,896,0,49.9599999999991
28,3,0,430080,0,7,0,0.0239999999976135
28,1,0,1175552,0,50,0,0.0120000000024447
28,6,0,617205760,0,6096,0,697.540000000005
29,2,0,833880064,0,8269,0,962.740000000005
29,7,0,413696,0,10,0,0.0319999999943548
29,5,0,540151808,0,5404,0,587.144
29,4,0,631734272,0,6301,0,721.620000000001
29,3,0,397312,0,6,0,0.0120000000024447
29,1,0,339968,0,6,0,0.0200000000040745
29,6,0,364544,0,6,0,0.0119999999878928
