moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,352256,0,29,0,0
1,3,0,140595200,0,33,0,0.0120000000006257
1,4,0,1372160,0,58,0,0.0639999999984866
1,7,0,140578816,0,40,0,0.187999999999619
1,5,0,140619776,0,43,0,0.0280000000004321
1,1,0,140578816,0,37,0,0.0800000000004388
1,6,0,140554240,0,30,0,0.0159999999996217
2,7,0,28672,0,4,0,0
2,2,0,45056,0,2,0,0.0120000000006257
2,3,0,16384,0,2,0,0
2,4,0,73728,0,4,0,0.00800000000162981
2,5,0,56033280,0,481,0,26.0079999999998
2,1,0,512000,0,49,0,0
2,6,0,36864,0,7,0,0.0319999999999965
3,7,0,12288,0,2,0,0
3,5,0,79785984,0,613,0,49.1319999999996
3,2,0,149938176,0,1160,0,125.176
3,4,0,61440,0,4,0,0.00399999999899592
3,3,0,34459648,0,312,0,10.3119999999999
3,1,0,237568,0,5,0,0.0120000000006257
3,6,0,69632,0,4,0,0.00400000000081491
4,7,0,315392,0,7,0,0.0120000000006257
4,5,0,335872,0,7,0,0.00799999999981083
4,4,0,111607808,0,903,0,88.7839999999994
4,2,0,30060544,0,238,0,7.48799999999937
4,3,0,34430976,0,22,0,0.0760000000006187
4,1,0,184320,0,6,0,0.0199999999998113
4,6,0,151580672,0,1264,0,100.663999999999
5,7,0,68853760,0,572,0,36.4879999999994
5,5,0,68206592,0,522,0,20.0360000000001
5,3,0,68227072,0,524,0,30.8559999999998
5,4,0,214421504,0,1765,0,157.696000000001
5,2,0,68411392,0,529,0,20.9760000000006
5,1,0,68218880,0,524,0,28.848
5,6,0,96399360,0,819,0,68.8280000000013
6,5,0,3514368,0,38,0,0.119999999999735
6,7,0,3584000,0,34,0,0.0840000000001169
6,3,4096,3403776,1,28,0,0.195999999999913
6,2,0,3596288,0,32,0,0.0679999999993015
6,1,8192,3420160,2,30,0,0.131999999999607
6,4,0,5210112,0,44,0,0.195999999999913
6,6,0,3387392,0,34,0,0.135999999999171
7,5,12288,765952,3,9,0,0.0120000000006257
7,3,0,851968,0,15,0,0.0200000000006213
7,7,8192,868352,2,23,0.004,0.168000000000063
7,2,0,831488,0,16,0,0.0920000000010646
7,4,0,1142784,0,16,0,0.00799999999981083
7,1,4096,847872,1,16,0,0.0840000000006142
7,6,0,761856,0,9,0,0.0120000000006257
8,5,8192,757760,2,7,0,0.0319999999992433
8,3,0,778240,0,7,0,0.0119999999988067
8,7,4096,712704,1,10,0,0.0120000000006257
8,2,0,741376,0,7,0,0.0120000000006257
8,4,8192,1101824,2,12,0,0.0120000000006257
8,1,0,876544,0,25,0,0.0280000000006311
8,6,0,815104,0,10,0,0.00799999999981083
9,5,4096,860160,1,23,0,0.172000000000622
9,7,0,52908032,0,409,0,24.0280000000002
9,3,4096,782336,1,7,0,0.00799999999981083
9,4,4096,1064960,1,11,0,0.00799999999981083
9,2,4096,786432,1,7,0,0.0319999999992433
9,1,4096,179859456,1,1549,0,173.24
9,6,4096,999424,1,31,0,0.0959999999988099
10,7,0,179699712,0,1516,0,164.904
10,5,0,180166656,0,1570,0,161.76
10,3,0,179654656,0,1517,0,161.784000000001
10,4,0,65101824,0,511,0,35.152
10,2,4096,179994624,1,1560,0.028,166.356
10,1,4096,1097728,1,33,0,0.0439999999998122
10,6,0,1011712,0,18,0,0.00799999999981083
11,7,32768,69115904,8,549,0,40.503999999999
11,5,12288,69005312,3,528,0,37.735999999999
11,3,24576,70119424,6,591,0,37.2240000000002
11,4,12288,103833600,3,855,0,77.0920000000006
11,2,8192,69074944,2,537,0,37.5159999999996
11,1,20480,69001216,5,532,0,41.9279999999991
11,6,12288,35201024,3,303,0,12.5720000000001
