moment,node,buffer_cache,free,map,used
1,3,4485048,100780324,59948,2218040
1,5,4435720,100914236,59984,2133456
1,2,4543776,100798076,60236,2141560
1,7,4592028,100620340,59896,2271044
1,4,4525420,100820528,59508,2137464
1,1,4601668,100615152,60276,2266592
1,6,4653716,100645444,59924,2184252
2,3,4485132,100780684,59948,2217596
2,5,4478980,100872488,59984,2131944
2,2,4586832,100765064,60232,2131516
2,7,4766140,100436492,60564,2280780
2,4,4657000,100684748,59820,2141664
2,1,4733772,100488252,60276,2261388
2,6,4653720,100646000,59940,2183692
3,2,4761652,100570816,60904,2150944
3,3,4659204,100590548,60704,2233660
3,5,4653136,100672832,61616,2157444
3,7,4766584,99945912,72440,2770916
3,4,4831644,100484784,66464,2166984
3,1,4908112,100298888,67588,2276412
3,6,4827924,100451292,64904,2204196
4,2,4828280,99633584,74832,3021548
4,3,4659804,99815484,72656,3008124
4,5,4653752,99521096,72688,3308564
4,7,4766768,99325628,72548,3391016
4,4,4832252,99755036,72660,2896124
4,1,4908428,99495668,72912,3079316
4,6,4828420,99647208,72524,3007784
5,3,4792900,98698128,77176,3992384
5,7,4899880,98063776,77068,4519756
5,2,4894904,97887400,77352,4701108
5,5,4853404,97359288,79500,5270720
5,4,4965388,98623752,77016,3894272
5,1,5041548,98332356,77452,4109508
5,6,4961560,98554888,77072,3966964
6,3,4792912,97086704,77176,5603796
6,7,4899896,96362788,77068,6220728
6,5,4853420,95133148,79500,7496844
6,2,4894920,96082884,77352,6505608
6,4,4965460,96795564,77016,5722388
6,1,5041564,96873392,77452,5568456
6,6,4961628,96987184,77072,5534600
7,3,4792920,94941416,77176,7749076
7,2,4894928,93373980,77352,9214504
7,5,4853420,91148860,79500,11481132
7,7,4899904,94148780,77068,8434728
7,4,4965660,94205928,77016,8311824
7,1,5041564,94580220,77452,7861628
7,6,4961828,94748736,77072,7772848
8,3,4792920,92220564,77176,10469928
8,5,4853420,88625624,79500,14004368
8,2,4894936,91531824,77352,11056652
8,7,4899912,91566972,77068,11016528
8,4,4965864,91131568,77016,11385980
8,1,5041572,91506212,77452,10935628
8,6,4962032,91789300,77072,10732080
9,2,4894936,89907584,77352,12680892
9,5,4853428,86608240,79500,16021744
9,3,4792928,91104528,77176,11585956
9,7,4899924,89476452,77068,13107036
9,4,4966068,90221796,77016,12295548
9,1,5041580,90072484,77452,12369348
9,6,4962368,90612168,77072,11908876
