moment,node,buffer_cache,free,map,used
1,2,11175088,93948964,59976,2359360
1,3,10957108,94092312,60016,2433992
1,5,11213948,93812452,60108,2457012
1,4,11011308,94040340,60112,2431764
1,1,11021084,94090160,60160,2372168
1,7,11275820,93778108,59964,2429484
1,6,11445828,93574572,60120,2463012
2,2,11175096,93949632,59976,2358684
2,3,11089208,93969156,60016,2425048
2,5,11213952,93813184,60108,2456276
2,4,11185816,93589156,72632,2708440
2,1,11152744,93959604,60160,2371064
2,7,11319080,93734452,59964,2429880
2,6,11489168,93541640,60120,2452604
3,2,11349692,93211228,72524,2922492
3,3,11263868,93197384,72476,3022160
3,5,11388584,93044376,72684,3050452
3,4,11186196,92705828,72772,3591388
3,1,11327916,93183528,72748,2971968
3,7,11493780,92986876,72620,3002756
3,6,11663824,92772508,72684,3047080
4,2,11415328,92951052,72556,3117032
4,3,11357788,92877508,72628,3248116
4,5,11494144,92756936,72684,3232332
4,4,11351036,91919072,75108,4213304
4,1,11426844,92877424,72748,3179144
4,6,11784724,92437284,72736,3261404
4,7,11621572,92616808,72644,3245032
5,2,11477888,89130880,77084,6874644
5,4,11380092,86510176,79628,9593144
5,3,11392328,89153228,77156,6937856
5,5,11516736,89145660,77192,6821016
5,1,11456076,89032208,77288,6995128
5,7,11622144,89096508,77168,6764760
5,6,11791968,88764940,77240,6926504
6,2,11477896,84289780,77084,11715736
6,4,11380684,80713932,79628,15388796
6,3,11392344,83900760,77156,12190308
6,5,11516756,84737716,77192,11228940
6,1,11456096,84063400,77288,11963916
6,6,11791984,84498556,77240,11192872
6,7,11622736,84422944,77168,11437732
7,4,11381140,74075360,79628,22026912
7,3,11392364,78402096,77156,17688952
7,2,11477916,78213032,77084,17792464
7,5,11516776,79912232,77192,16054404
7,1,11456108,79085252,77288,16942052
7,7,11623204,80548276,77168,15311932
7,6,11791984,79611588,77240,16079840
8,4,11381728,68680672,79628,27421012
8,3,11392364,76670652,77156,19420396
8,5,11516780,76784016,77192,19182616
8,2,11477920,76930732,77084,19074760
8,1,11456116,76640272,77308,19387024
8,7,11623712,77677452,77168,18182248
8,6,11791992,77332044,77240,18359376
9,4,11382256,64722916,79628,31378240
9,3,11392372,74521208,77156,21569832
9,5,11516780,73439824,77192,22526808
9,1,11456124,73562832,77308,22464456
9,2,11477920,72145444,77084,23860048
9,7,11624236,74718848,77168,21140328
9,6,11791992,74635280,77240,21056140
10,3,11392392,72385548,77156,23705472
10,4,11382780,61202468,79628,34898164
10,5,11516788,72256028,77192,23710596
10,1,11456144,71952344,77308,24074924
10,2,11477928,71139376,77084,24866108
10,7,11624700,72812984,77168,23045728
10,6,11792016,72172636,77240,23518760
11,4,11607816,60943924,82144,34931672
11,3,11572160,70912760,79512,24998492
11,5,11700144,70607844,79568,25175424
11,1,11638972,71747140,79696,24097300
11,2,11665760,70914532,79324,24903120
11,6,11975432,71972016,79656,23535964
11,7,11788580,71109768,79172,24585064
12,4,11977568,59062164,82144,36443680
12,3,11874196,70479808,79512,25129408
12,5,12008516,70142424,79568,25332472
12,1,11936764,70346992,79696,25199656
12,2,11947704,68871568,79324,26664140
12,7,12095432,70625404,79448,24762576
12,6,12294008,68927088,79656,26262316
13,4,11632456,58451540,82144,37399416
13,3,11574368,69963936,79512,25945108
13,5,11702068,68844584,79568,26936760
13,1,11639040,69729208,79696,26115164
13,2,11666828,68677888,79324,27138696
13,7,11834216,69841000,79448,25808196
13,6,11977748,69228092,79656,26277572
14,4,11943472,57121416,82144,38418524
14,1,11821844,69510616,79696,26150952
14,3,11756816,68748420,79512,26978176
14,5,11886944,68659324,79568,26937144
14,2,11859648,68483996,79324,27139768
14,7,12027112,69638700,79448,25817600
14,6,12164964,68028404,79708,27290044
15,4,12213952,56020724,82144,39248736
15,1,11997780,68813544,79696,26672088
15,5,12067656,68090092,79568,27325664
15,3,11936160,68063012,79512,27484240
15,2,12045468,68294644,79324,27143300
15,7,12211668,69448664,79448,25823080
15,6,12345376,67851252,79656,27286784
16,4,11891372,56343452,82144,39248588
16,1,11805200,69046816,79696,26631396
16,5,11871664,68298004,79568,27313744
16,3,11735856,68272204,79512,27475352
16,2,11840604,68503796,79324,27139012
16,7,12030212,69596624,79448,25856576
16,6,12139412,68052940,79656,27291060
17,4,12219172,55992080,82144,39272160
17,1,11998404,68845460,79696,26639548
17,3,11930904,68080920,79512,27471588
17,5,12054288,68084332,79568,27344792
17,2,12039568,68296268,79324,27147576
17,7,12229944,69410588,79448,25842880
17,6,12320148,67841960,79656,27321304
18,4,12051332,56155060,82144,39277020
18,3,11802476,68204148,79512,27476788
18,1,11860348,68961900,79696,26661164
18,7,12121092,69505188,79448,25857132
18,5,11915972,68215012,79568,27352428
