moment,node,buffer_cache,free,map,used
1,5,11708408,93237624,60256,2537380
1,2,11594156,93441760,60024,2447496
1,3,11590424,93389124,60048,2503864
1,4,11589020,93371604,60168,2522788
1,7,11812444,93140640,60012,2530328
1,1,11307572,93674732,60192,2501108
1,6,11599824,93350440,60160,2533148
2,5,11708420,93237396,60552,2537596
2,2,11944108,92823404,72552,2715900
2,3,11722532,93261752,59864,2499128
2,4,11589104,93371756,60380,2522552
2,1,11307580,93675264,60012,2500568
2,7,11812452,93141744,60012,2529216
2,6,11643092,93305352,60160,2534968
3,2,11944456,92071856,72680,3467100
3,5,11883056,92500324,72964,3100032
3,4,11763748,92616180,72860,3103484
3,3,11897160,92486044,72616,3100208
3,7,11987144,92409624,72656,3086644
3,1,11482208,92925212,72776,3075992
3,6,11817784,92548540,72752,3117088
4,2,12141696,91405312,72712,3936404
4,4,11894916,92264188,72720,3324308
4,5,12016176,91851456,75244,3615780
4,3,12028764,92144008,72628,3310640
4,1,11614464,92556988,72596,3311960
4,7,12119056,91997428,72688,3366928
4,6,11950584,92187924,72780,3344904
5,2,12139184,86009888,79500,9334340
5,3,12025648,88381496,77144,7076268
5,4,11891612,88513508,77428,7078292
5,5,12010188,88180912,77496,7292312
5,7,12115912,88379124,77224,6988376
5,1,11610360,88776656,77332,7096396
5,6,11946152,88518276,77296,7018984
6,2,12139204,80181204,79500,15163004
6,3,12025664,83016840,77144,12440908
6,5,12010200,82432968,77496,13040244
6,4,11891628,83023300,77428,12568484
6,7,12116500,82792824,77224,12574088
6,6,11946740,83572944,77296,11963728
6,1,11610380,84069968,77140,11803064
7,2,12139212,74283164,79500,21061036
7,3,12025672,76799700,77144,18658040
7,7,12117016,78548704,77224,16817692
7,5,12010200,77412448,77496,18060764
7,4,11891636,78702156,77428,16889620
7,6,11947312,78085488,77296,17450612
7,1,11610388,79634476,77332,16238548
8,2,12139220,67531088,79500,27813104
8,3,12025676,75143232,77144,20314504
8,5,12010208,75304324,77496,20168880
8,7,12117548,76142000,77224,19223864
8,4,11891644,74973672,77428,20618096
8,6,11948032,76670348,77296,18865032
8,1,11610388,76445008,77352,19428016
9,2,12300384,65349656,82012,29833372
9,5,12129588,75163912,79840,20189912
9,7,12227080,74346124,79584,20910208
9,3,12144240,73252420,79136,22086752
9,4,12013256,73203944,79584,22266212
9,6,12064444,75284672,79696,20134296
9,1,11720340,75505920,79400,20257152
10,2,12298556,65174028,82012,30010828
10,7,12250156,72711728,79584,22521528
10,5,12129156,72737164,79840,22617092
10,3,12145808,71388972,79308,23948632
10,4,12013376,71589720,79584,23880316
10,6,12072216,74350592,79696,21060604
10,1,11721540,74049040,79560,21712832
11,2,12456532,62715204,82012,32311676
11,5,12221512,71815032,79840,23446868
11,7,12378444,72589976,79584,22514992
11,3,12262340,71283612,79308,23937460
11,4,12134516,71376636,79584,23972260
11,6,12189696,74233916,79696,21059800
11,1,11828384,72788964,79560,22866064
12,2,12226316,61657572,82012,33599524
12,5,12090280,71739484,79840,23653648
12,7,12220748,72279208,79584,22983456
12,3,12116964,71419264,79308,23947184
12,6,12061924,72499988,79696,22921500
12,1,11692472,72924732,79560,22866208
12,4,11986476,71150552,79584,24346384
13,2,12616756,60734056,82012,34132600
13,5,12368852,71445644,79840,23668916
13,7,12532368,71951688,79584,22999356
13,3,12393904,71022736,79308,24066772
13,6,12335500,72225468,79696,22922444
13,1,11948748,72645124,79560,22889540
13,4,12267188,70586436,79584,24629788
14,2,12306464,61010644,82012,34166304
14,5,12134972,71675856,79840,23672584
14,7,12311520,72150452,79584,23021440
14,3,12157796,71247536,79308,24078080
14,4,12038300,70802112,79584,24643000
14,1,11734288,72862048,79560,22887076
14,6,12139236,72415444,79696,22928732
15,2,12611348,60712708,82012,34159356
15,5,12354400,71465820,79840,23663192
15,7,12544260,71910924,79584,23028228
15,4,12233740,70642404,79584,24607268
15,3,12353356,71048600,79308,24081456
15,1,11945960,72648020,79560,22889432
15,6,12350616,72204060,79696,22928736
16,2,12304356,61011432,82012,34167624
16,5,12135268,71671648,79840,23676496
16,7,12348872,72106136,79584,23028404
16,4,12018436,70807640,79584,24657336
16,3,12162560,71219156,79308,24101696
16,1,11741704,72846976,79560,22894732
