moment,node,buffer_cache,free,map,used
1,2,9753928,95493256,59916,2236228
1,3,9321912,95795696,59980,2365804
1,4,9522984,95629564,60092,2330864
1,7,9118500,96083472,59936,2281440
1,5,9384740,95760916,60168,2337756
1,1,9389360,95852480,60208,2241572
1,6,9627972,95555848,60072,2299592
2,7,9118508,96084036,59936,2280868
2,2,9929292,95322288,59920,2231832
2,3,9321920,95796284,59980,2365208
2,4,9565708,95588204,59928,2329500
2,5,9516752,95646816,60172,2319844
2,1,9563888,95436004,72508,2483520
2,6,9628052,95558184,60072,2297176
3,7,9293116,95498128,72364,2692168
3,5,9691488,94959496,72880,2832428
3,2,10103932,94675512,72500,2703968
3,4,9741092,94768304,72804,2974016
3,3,9496612,95097860,72604,2888940
3,1,9564180,94792500,72680,3126732
3,6,9802660,94859328,72612,2821424
4,7,9293332,95094816,72616,3095264
4,5,9691524,94695716,72880,3096172
4,4,9741196,94263836,72840,3478380
4,2,10103976,94413632,72504,2965804
4,3,9496640,94821320,72680,3165452
4,1,9564200,94558256,72680,3360956
4,6,9869292,94267076,74936,3347044
5,7,9426728,92587396,77160,5469288
5,5,9824632,91660256,77420,5998524
5,3,9629780,91105196,77156,6748436
5,4,9941124,90111756,79640,7430532
5,2,10237092,91524428,77036,5721892
5,1,9697352,91468332,77208,6317728
5,6,9935872,90953176,77212,6594364
6,5,9880896,90700760,79616,6901756
6,7,9484188,91597916,79356,6401308
6,3,9695232,90504476,79428,7283704
6,2,10297188,90312936,79380,6873288
6,1,9759500,90557008,79568,7166904
6,4,10030276,88185692,82016,9267444
6,6,10006956,89556556,79572,7919900
7,5,9883364,89693556,79616,7906492
7,3,9698392,89296708,79428,8488312
7,7,9503860,90968996,79356,7010556
7,2,10296568,89358016,79380,7828828
7,4,10052768,87101284,82016,10329360
7,1,9756052,89008668,79568,8718692
7,6,10009172,88102316,79572,9371924
8,5,9885696,89190592,79616,8407124
8,3,9704164,88908908,79428,8870340
8,7,9522464,89986704,79356,7974244
8,2,10300508,88928304,79380,8254600
8,4,10071460,85661412,82016,11750540
8,1,9763832,88510932,79568,9208648
8,6,10011500,88065852,79572,9406060
9,5,9855748,88430544,79616,9197120
9,7,9514848,89239760,79356,8728804
9,3,9664892,88598836,79428,9219684
9,4,10041264,85102908,82016,12339240
9,2,10265840,88267868,79380,8949704
9,1,9731736,88019756,79568,9731920
9,6,9976564,87512700,79572,9994148
10,7,9589976,89076140,79356,8817296
10,5,9920416,88311860,79616,9251136
10,3,9741544,88015728,79428,9726140
10,4,10162276,84747900,82016,12573236
10,2,10334392,88073236,79380,9075784
10,1,9801884,87514200,79568,10167328
10,6,10058560,86844884,79572,10579968
11,7,9605164,87903188,79716,9975060
11,5,9934644,86961508,79996,10587260
11,3,9755320,87015060,79804,10713032
11,4,10184436,83123184,82468,14175792
11,2,10347236,86535460,79700,10600716
11,1,9815436,86432132,79924,11235844
11,6,10074264,85731144,79876,11678004
