moment,node,recv_packets,send_bytes,send_packets
1,2,77,23318,77
1,3,57,27953,59
1,5,62,12878,60
1,4,335,8274978,304
1,1,79,46651,82
1,7,37,24713,40
1,6,43,24179,47
2,2,2225,44536116,2448
2,3,9214,135829335,7468
2,5,4915,209150,2821
2,4,23,4892,29
2,1,9739,180349562,10063
2,6,40,6817,43
2,7,17,4871,24
3,2,5737,133279070,4779
3,3,7455,406425219,8832
3,5,263,151285,298
3,4,4903,210913,2876
3,1,2961,180152182,3757
3,6,4974,199688,2885
3,7,5396,186938,2720
4,2,134,46920,126
4,5,17853,1151833,16044
4,3,137,235324,129
4,4,176,32649,158
4,1,138,135395,134
4,6,112,26819,106
4,7,128,42030,121
5,2,40122,2331148,33588
5,5,107996,5915479,84827
5,4,78640,4619807,67731
5,3,86260,4977626,73409
5,6,68209,3818531,56020
5,1,41692,2374117,34069
5,7,38639,1925843,27979
6,2,192205,10848901,162057
6,4,144968,7883714,117909
6,5,176715,9561521,139834
6,3,137895,7742234,115517
6,6,133423,7003324,104430
6,1,156280,8715855,130240
6,7,202508,10629563,159263
7,2,159261,8901819,133401
7,4,119133,6292476,94066
7,3,184140,10143962,152097
7,5,156154,8350230,121412
7,7,170172,9149657,137334
7,1,126707,6614144,98791
7,6,178998,9765947,146091
8,2,135776,7742028,115635
8,4,158365,8602080,128453
8,3,143129,7935430,118454
8,5,180635,9708122,141820
8,1,117668,6660176,99473
8,7,189920,10064250,150918
8,6,160537,9003178,134717
9,2,190433,10584307,158407
9,4,153238,8431566,126119
9,3,157125,8854182,132352
9,5,189991,9995051,145328
9,1,161870,8930213,133529
9,7,222341,12204574,183054
9,6,133094,7392041,110436
10,2,176193,9918352,148138
10,4,148717,7929829,118490
10,3,134762,7354306,110115
10,5,226738,12079150,176950
10,7,156347,8068622,120960
10,1,122474,6499504,96982
10,6,162563,8440203,126020
11,2,90543,4910256,73582
11,4,180322,10024297,149689
11,3,174373,9887792,147793
11,5,160394,8646900,126233
11,1,142920,8035123,120412
11,7,209256,11033374,165587
11,6,174988,9363066,140113
12,2,213310,12122067,181401
12,3,136337,7687990,115029
12,4,113907,5992767,89493
12,5,181202,9139877,133052
12,7,173169,8804129,131853
12,1,146868,7994918,119293
12,6,164056,9217670,137850
13,2,129545,7413032,110890
13,4,124456,6827702,102146
13,3,113807,6386371,95730
13,5,186441,9421652,136919
13,7,205649,10686960,160344
13,1,149665,8077536,120781
13,6,168309,9018213,134581
14,2,140615,7903973,118344
14,3,160676,8680029,129440
14,5,171683,9343532,136518
14,4,167839,9105401,135961
14,7,197257,10676033,160046
14,1,145203,8021708,119833
14,6,149304,8181878,122170
15,2,144410,8084805,121023
15,3,133205,7466544,111800
15,5,202524,10913081,158735
15,7,188451,10196874,153150
15,4,166685,8990831,134189
15,1,140273,7840009,117445
15,6,152858,8138769,121649
16,2,125381,6702589,100042
16,3,155700,8665851,129322
16,5,213706,11611649,170602
16,4,137395,7550390,113050
16,7,198903,10582194,158726
16,1,167680,9216686,137540
16,6,113282,6121367,91257
17,2,157424,8676289,129974
17,3,177056,9917298,148660
17,5,171555,9356206,136906
17,4,141788,7784921,116133
17,7,132107,6878753,103164
17,1,106872,5731229,85634
17,6,181949,9648215,143930
18,2,179520,10195816,152416
18,3,123285,6810557,101371
18,4,155888,8306615,124388
18,5,221297,11590858,169952
18,7,241531,13008217,194795
18,1,147165,7848420,117087
18,6,138303,7305490,109132
19,2,165316,9436999,141382
19,3,180969,9802515,146633
19,5,203271,10992661,161126
19,4,106638,5838519,87302
19,6,176455,9272977,138362
19,7,162827,8809466,132417
19,1,167981,9229249,138389
20,2,140380,7822450,116937
20,3,119984,6771874,101210
20,4,148406,8121784,121213
20,5,185301,10317581,151456
20,6,159168,8758560,130898
20,1,154715,8120776,120754
