moment,node,recv_packets,send_bytes,send_packets
1,2,55,15858,55
1,3,58,26819,60
1,5,60,33708,61
1,4,58,28883,60
1,1,36,8929,40
1,7,75,39906,74
1,6,57,25949,61
2,2,23,6319,29
2,3,6664,135665036,7036
2,5,22,5590,29
2,4,4859,209186,2897
2,1,8678,135839228,7105
2,7,1929,128108,1759
2,6,3831,88928742,3400
3,2,4993,211857,2888
3,3,7536,406727417,8796
3,5,4958,206698,2943
3,4,297,144016,328
3,1,3503,135733878,3536
3,7,6793,177622382,5529
3,6,3821,368407,2270
4,2,1828,138385,1358
4,3,1798,141630,1242
4,5,1828,141910,1467
4,4,17361,1146246,15259
4,1,1780,134069,1440
4,6,1790,133567,1317
4,7,3035,187513,1276
5,2,172304,8926602,131872
5,4,220892,11787344,168804
5,3,163334,8769973,128387
5,5,186820,9943455,147577
5,1,132100,6708028,97770
5,7,222828,11905603,177874
5,6,145283,7536234,111136
6,2,288061,14995073,222797
6,4,266502,13588918,190215
6,3,271931,13284611,196730
6,5,281015,14138403,209866
6,1,244738,11856520,174952
6,6,235987,12411488,183751
6,7,374339,19922190,297248
7,4,250449,12686616,177987
7,3,270132,13388407,198809
7,2,274368,14344535,213350
7,5,261502,13675041,202911
7,1,237759,11408357,168846
7,7,436063,24235280,363067
7,6,249363,12824404,189736
8,4,228027,11543902,162316
8,3,294799,14632105,217582
8,5,264964,13201792,196300
8,2,304918,15943451,236624
8,1,208899,10430996,154195
8,7,356571,19303063,288352
8,6,222696,11300079,167480
9,4,234774,12081716,167161
9,3,281164,14328789,212911
9,5,284890,14493454,215106
9,1,213492,10473787,154372
9,2,276623,14222801,212132
9,7,435645,23883967,357469
9,6,275202,13654670,202643
10,3,213203,10936456,161948
10,4,214435,10864602,152323
10,5,287680,14954097,222739
10,1,239789,11492134,170147
10,2,286539,15599544,231665
10,7,324975,17252026,258255
10,6,247243,12071537,178634
11,4,71284,12285373,57563
11,3,84911,5518718,62769
11,5,83222,6096085,70981
11,1,76226,5379619,60355
11,2,95354,6696151,79420
11,6,96203,6115821,71002
11,7,107322,7302317,90970
12,4,40000,696237188,45620
12,3,25879,502746968,32647
12,5,29178,507110595,33258
12,1,27732,499214937,32785
12,2,29273,513996872,33864
12,7,29096,481365027,30081
12,6,25274,513220477,27557
13,4,38409,684673643,46418
13,3,24836,511093976,30109
13,5,27528,507675154,32039
13,1,27403,486727804,32218
13,2,27630,512539521,31983
13,7,27497,491226165,29448
13,6,26686,500020693,30733
14,4,50487,847198794,59821
14,1,33852,676495595,41236
14,3,33792,676500246,38302
14,5,34812,674011601,41400
14,2,33044,694943896,37891
14,7,37169,649717834,37883
14,6,35003,689498769,39675
15,4,52695,869490598,61534
15,1,36025,660503693,41897
15,5,34176,687850138,41174
15,3,31525,666221193,37825
15,2,35380,686325927,40268
15,7,38208,657402246,39565
15,6,36961,696031910,43069
16,4,50654,908055705,59586
16,1,35876,655457737,42282
16,5,34799,669699529,39801
16,3,35394,640964152,42579
16,2,34213,676967625,39775
16,7,38538,616302468,40368
16,6,34213,665174700,39607
17,4,58168,1039339970,68329
17,1,39909,752947727,46745
17,3,38859,748402964,46832
17,5,39062,762166821,45514
17,2,39901,779060468,46393
17,7,40691,744465446,43266
17,6,41294,769001443,46547
18,4,50538,872970945,60057
18,3,34929,651251793,41638
18,1,33909,605131665,39968
18,7,38142,601384037,40339
18,5,33237,659585486,38671
18,2,34703,649545899,41534
18,6,32262,636013676,37234
19,4,42295,705627927,52485
19,7,32271,527561311,34637
19,3,28058,529362907,34870
19,1,30952,540122390,37111
19,5,29621,527564838,34848
19,2,31145,543245792,36523
19,6,29800,525149781,35068
20,4,40946,736646515,49912
20,7,26608,413504066,28631
20,3,25524,431251951,31423
20,1,24200,429532804,29548
20,2,25957,480715499,31586
20,5,25973,468597063,31465
20,6,29804,482264325,34419
21,4,43492,729347360,53332
21,7,29281,508375907,31058
21,3,29995,538585067,35858
21,1,28889,514463405,34023
21,2,29335,547385538,34339
21,5,30735,518783746,36483
21,6,30968,519704371,36528
22,4,41143,665526623,51580
22,7,32194,485709718,34036
22,2,30135,555671803,35975
22,3,27811,536467190,34722
22,1,27575,509657183,33078
22,5,29697,539285237,35782
22,6,30786,522954051,36053
23,4,44018,735330379,53620
23,7,30606,498930920,31784
23,2,32100,577133995,37526
23,3,29920,539821674,37151
23,5,30412,556172275,37108
23,1,30404,536542118,36783
