moment,node,recv_packets,send_bytes,send_packets
1,5,38,11036,44
1,2,56,25752,57
1,3,65,36631,64
1,4,87,31094,87
1,7,65,16541,66
1,1,59,27477,62
1,6,232,8045712,225
2,5,16,5178,23
2,2,10405,135974142,9007
2,3,4532,324296,4503
2,4,49,82886,56
2,1,15,5090,22
2,7,15,5112,22
2,6,3101,44490473,2520
3,2,10135,675423711,13332
3,5,4861,191495,2560
3,4,4959,302744,2752
3,3,3351,135585527,3489
3,7,5465,201466,2752
3,1,4928,195931,2849
3,6,5219,88969918,3984
4,2,2651,204680,1989
4,4,1930,193677,1701
4,5,17013,1078356,15238
4,3,1770,117195,1407
4,1,1781,144100,1430
4,7,3049,160020,1673
4,6,1853,190548,1372
5,2,174303,8535877,124744
5,3,155474,7742034,114293
5,4,167513,8398217,123161
5,5,206662,10530313,153944
5,7,261496,13932145,207552
5,1,139479,6776881,99455
5,6,112267,5937375,80920
6,2,294596,14279383,209695
6,3,288446,14399501,213355
6,5,262463,13198340,195154
6,4,254458,12503575,184469
6,7,440362,23880097,357322
6,6,228225,12187323,171712
6,1,230260,11195079,165197
7,2,284082,13716567,200928
7,3,269189,13536429,200426
7,7,432735,23290320,348640
7,5,289880,14710136,218647
7,4,239911,12031511,177628
7,6,233213,12266417,172531
7,1,213742,10777833,158488
8,2,247235,11968084,175950
8,3,284230,14187866,210042
8,5,245839,12393706,183371
8,7,454996,24882628,372210
8,4,232464,11606731,171441
8,6,180320,9699828,132746
8,1,178139,8523840,125377
9,2,99670,6606929,78322
9,5,71500,4762480,56233
9,7,121595,7913184,104723
9,3,89204,5487732,67051
9,4,70898,4680078,53985
9,6,41784,8111123,31018
9,1,89865,5829775,73358
10,2,31549,528819241,34694
10,7,25152,427218284,27062
10,5,24850,399538933,26371
10,3,22829,430944748,25530
10,4,23902,414878063,26960
10,6,21751,389682332,24903
10,1,23050,413523897,26464
11,2,23457,419588828,29300
11,5,19422,303079436,22438
11,7,19544,333510716,22430
11,3,17820,344101280,22297
11,4,18527,322924978,23191
11,6,18925,319765376,22696
11,1,18550,319757959,22225
12,2,37596,677100071,44820
12,5,29166,514357157,33860
12,7,27783,547616265,31555
12,3,28341,538298694,33333
12,6,29824,513856449,34566
12,1,28196,493552378,32880
12,4,29147,523580741,33171
13,2,44352,831833982,51759
13,5,35554,589785984,40121
13,7,36103,657438811,39911
13,3,33181,659652341,38131
13,6,35006,621099313,40976
13,1,31050,603505220,36676
13,4,35215,626938283,40407
14,2,43779,751156374,50772
14,5,34039,557540330,38205
14,7,35455,599679756,38298
14,3,31605,621267519,36716
14,4,32253,599018065,37228
14,1,29910,588864364,35261
14,6,34684,600143957,40336
15,2,37851,627229700,44143
15,5,28893,493994507,32914
15,7,32076,489844770,34684
15,4,29958,488187266,34839
15,3,28355,510143449,33081
15,1,26499,516905792,31253
15,6,29650,491797599,35076
16,2,39274,586599710,46021
16,5,26750,472313369,31332
16,7,32190,469606536,35662
16,4,26068,491189224,31154
16,3,27919,497415472,32760
16,1,26535,434081021,31636
16,6,27616,462380721,33087
17,2,38817,609882275,45803
17,5,27403,458926247,32365
17,7,30428,490875248,33881
17,4,26863,485362654,32281
17,3,28047,479549145,32601
17,1,24304,472994023,29004
17,6,28345,465024688,33632
18,2,37185,638703433,45015
18,7,29823,503047860,33186
18,5,28329,477069430,32802
18,4,30552,509419148,36348
18,3,28659,503832428,32172
18,1,28956,488719409,32893
18,6,28571,472227911,33861
19,7,31389,499602313,34229
19,2,38355,611643269,45961
19,5,30571,484019941,35226
19,4,30639,505425216,35582
19,3,28617,546527732,33162
19,1,28761,526258445,32947
19,6,31304,633018259,38226
20,7,35036,554158741,37632
20,2,40980,703672643,48262
20,5,31884,525867288,37092
20,4,33335,566673839,39115
20,3,31401,578928801,36367
20,1,31535,546286670,36671
20,6,29479,525374877,35063
21,2,41368,701966884,49486
21,7,33713,569999597,36059
21,5,32693,545004849,37156
21,4,33508,556076369,40475
21,3,30316,586564587,34698
21,1,32952,571164949,38201
21,6,32277,555310063,38142
22,2,38742,634008628,46432
22,7,31553,504824160,34199
22,5,29252,479833476,33066
22,4,28339,477759240,33158
22,3,26372,509763658,31586
22,1,27824,500523188,33434
22,6,25448,465586054,30603
23,2,44468,712295673,53013
23,7,35725,578126049,39391
23,4,34430,585753405,41953
23,5,31756,545085074,36303
23,3,32162,601822812,37371
23,1,29638,583869160,34291
23,6,29542,545755988,35215
24,2,38853,612193494,45511
24,7,29224,499037730,32262
24,5,30891,469759427,35127
24,4,31482,514060192,38418
24,3,28485,549262563,33833
24,1,28502,518012905,34082
24,6,28866,478500666,34490
25,2,43243,758327378,50327
25,7,37019,720444300,40559
25,5,32857,545179604,38377
25,4,34260,599073375,40111
25,3,32472,573005812,37273
25,1,29224,540850007,34189
25,6,30001,689040793,37047
26,2,203278,231914797,160955
26,7,267379,187360213,219923
26,5,201243,173041246,151408
26,4,174495,177517538,127262
26,3,202432,176407947,156276
26,1,140691,155256320,109231
26,6,148344,163132094,115518
27,2,299679,14856325,218235
27,7,470646,26255989,393253
27,4,265641,14212466,198073
27,5,306094,15067600,223797
27,3,261773,13682108,202863
27,1,237028,11446899,168640
27,6,268990,12898368,190591
28,2,293878,14244529,209373
28,5,283890,14180686,210291
28,7,431578,23765001,355927
28,4,274593,14721456,206960
28,3,297400,14988201,222636
28,1,237568,11976582,176977
28,6,258320,13119161,193688
29,2,302398,14792401,218509
29,7,450469,24567315,368357
29,5,311914,15612373,232751
29,4,234060,12814032,178650
29,3,260318,13280293,197124
29,1,232766,11530049,170939
29,6,250727,12935721,192385
