moment,node,recv_packets,send_bytes,send_packets
1,2,86,34906,86
1,3,68,31575,66
1,4,65,17095,67
1,7,38,10173,42
1,5,66,27951,73
1,1,70,18330,71
1,6,56,25301,57
2,7,23,5953,32
2,2,6249,44850472,7584
2,3,21,4761,28
2,4,3147,44560916,2471
2,5,11528,271372676,10150
2,1,4620,200685,2737
2,6,43,81028,53
3,7,5505,250572,2827
3,5,5521,271082328,6183
3,2,5515,359757875,7187
3,4,5061,89036820,3936
3,3,4917,191314,2798
3,1,231,105876,264
3,6,4928,341595,2876
4,7,225,70751,227
4,5,144,57298,147
4,4,248,126539,228
4,2,140,53176,137
4,3,124,41353,128
4,1,111,34305,115
4,6,9709,592779,8150
5,7,114746,5824594,79112
5,5,107740,5586944,80491
5,3,119299,5913312,85886
5,4,101729,4976813,70300
5,2,92117,4831050,69032
5,1,76487,3735044,53104
5,6,127338,6566169,93997
6,5,31777,69991113,25543
6,7,62067,67068722,46044
6,3,37349,74692277,31576
6,2,39310,71300173,33442
6,1,32592,70408178,26780
6,4,45389,83617957,36624
6,6,35010,82699632,29218
7,5,20722,241593590,22759
7,3,21568,266446516,24112
7,7,24551,235864009,26688
7,2,21197,248564974,23539
7,4,31278,297581242,33986
7,1,20745,238975058,23258
7,6,21106,304203107,23659
8,5,15533,188806813,17421
8,3,18390,215925040,19885
8,7,21156,174454766,22348
8,2,18283,188754419,19878
8,4,24779,245531992,26962
8,1,17578,188548170,19764
8,6,20331,222366461,22233
9,5,17464,214786422,19463
9,7,22014,204142131,22838
9,3,19747,233800931,21475
9,4,27803,271113547,30346
9,2,19819,209782027,21578
9,1,19149,211633423,21515
9,6,20074,261500601,22562
10,7,20786,200132034,22029
10,5,17071,209831213,19352
10,3,18505,235689347,20584
10,4,27534,274245616,30419
10,2,18796,213527884,20767
10,1,18857,207912646,21161
10,6,19961,253223392,22310
11,7,176111,19481103,123877
11,5,142983,18235590,109739
11,3,119199,17261776,91729
11,4,166638,22281642,124837
11,2,160668,17844742,121742
11,1,133271,15091911,100413
11,6,135752,21267541,101917
