moment,node,load5,load10,load15,procs
1,3,22.03,30.45,25.9,495
1,5,25.47,32.45,26.73,496
1,2,24.48,31.35,27.42,498
1,7,22.89,30.52,25.27,496
1,4,34.58,45.87,38.45,507
1,1,24.04,32.44,27.1,499
1,6,19.6,31.25,26.83,497
2,3,20.27,29.95,25.76,496
2,5,23.43,31.91,26.58,497
2,2,22.52,30.83,27.27,498
2,7,21.06,30.02,25.13,504
2,4,31.81,45.11,38.24,507
2,1,22.2,31.92,26.96,500
2,6,18.03,30.73,26.68,497
3,2,20.72,30.32,27.12,527
3,3,18.64,29.45,25.62,523
3,5,21.55,31.38,26.44,540
3,7,19.53,29.55,25.01,609
3,4,29.26,44.36,38.04,551
3,1,20.42,31.39,26.81,542
3,6,16.66,30.23,26.54,539
4,2,19.14,29.83,26.98,619
4,3,17.63,29.06,25.52,614
4,5,20.15,30.92,26.32,675
4,7,18.05,29.08,24.88,698
4,4,27.16,43.68,37.85,628
4,1,18.78,30.86,26.67,616
4,6,15.33,29.73,26.4,618
5,3,16.22,28.58,25.38,632
5,7,16.6,28.59,24.74,717
5,2,17.85,29.38,26.85,638
5,5,18.53,30.41,26.18,710
5,4,24.98,42.95,37.64,647
5,1,17.44,30.39,26.53,636
5,6,14.58,29.34,26.29,636
6,3,15.32,28.19,25.27,631
6,7,15.99,28.27,24.66,717
6,5,17.77,30.05,26.09,709
6,2,17.22,29.06,26.76,637
6,4,23.3,42.3,37.46,646
6,1,16.84,30.05,26.44,635
6,6,14.21,29.02,26.2,635
7,3,14.89,27.88,25.19,631
7,2,16.48,28.71,26.66,636
7,5,17.71,29.84,26.04,709
7,7,15.35,27.93,24.57,717
7,4,21.92,41.7,37.29,646
7,1,16.21,29.7,26.35,634
7,6,13.8,28.68,26.11,635
8,3,14.1,27.5,25.08,630
8,5,17.57,29.61,25.98,707
8,2,15.8,28.37,26.56,636
8,7,14.76,27.6,24.48,716
8,4,20.88,41.16,37.14,646
8,1,15.4,29.3,26.24,635
8,6,13.17,28.31,26,634
9,2,15.17,28.03,26.46,635
9,5,17.93,29.48,25.96,708
9,3,13.69,27.2,24.99,631
9,7,14.14,27.26,24.38,717
9,4,19.53,40.54,36.96,645
9,1,15.52,29.1,26.19,635
9,6,12.76,27.97,25.91,635
10,3,13.32,26.89,24.91,630
10,5,17.53,29.21,25.89,710
10,2,14.36,27.65,26.35,635
10,7,13.49,26.91,24.29,717
10,4,18.53,39.98,36.8,646
10,1,15.16,28.8,26.11,635
10,6,12.3,27.62,25.8,635
11,5,17.33,28.97,25.83,710
11,3,12.73,26.55,24.81,631
11,2,14.41,27.44,26.29,636
11,7,13.05,26.59,24.2,717
11,4,17.52,39.42,36.64,646
11,6,11.95,27.29,25.71,635
11,1,15.23,28.58,26.06,634
12,3,12.27,26.22,24.71,631
12,5,17.06,28.72,25.77,710
12,7,12.73,26.3,24.12,716
12,2,14.06,27.15,26.2,636
12,4,16.84,38.91,36.49,640
12,6,11.56,26.96,25.61,633
12,1,14.57,28.23,25.95,634
13,5,17.46,28.61,25.75,710
13,3,12.09,25.95,24.63,631
13,7,12.27,25.98,24.02,716
13,2,13.41,26.8,26.09,635
13,4,16.13,38.4,36.33,641
13,1,13.88,27.86,25.85,634
13,6,11.19,26.63,25.51,634
14,3,11.84,25.67,24.55,631
14,5,17.1,28.35,25.68,710
14,2,13.06,26.5,26,635
14,7,12.17,25.73,23.95,717
14,4,15.56,37.91,36.19,641
14,1,13.25,27.49,25.74,634
14,6,11.01,26.33,25.42,633
15,3,11.53,25.38,24.46,631
15,5,16.77,28.1,25.61,709
15,2,12.73,26.21,25.91,635
15,7,11.91,25.45,23.87,707
15,4,15.04,37.43,36.04,641
15,1,12.99,27.2,25.65,634
15,6,10.85,26.04,25.33,634
16,5,17.43,28.04,25.61,706
16,3,11.25,25.09,24.37,629
16,2,12.27,25.89,25.8,631
16,7,11.52,25.14,23.78,692
16,4,14.31,36.91,35.88,639
16,1,12.43,26.85,25.55,631
16,6,10.62,25.75,25.24,632
17,3,10.99,24.8,24.28,625
17,5,17.32,27.84,25.56,704
17,2,11.85,25.58,25.7,631
17,7,11.08,24.83,23.69,691
17,4,13.73,36.41,35.72,636
17,1,11.92,26.51,25.44,630
17,6,10.25,25.42,25.13,630
18,3,10.83,24.54,24.2,627
18,5,16.81,27.56,25.48,704
18,2,11.46,25.27,25.6,631
18,7,10.83,24.55,23.6,690
18,4,13.19,35.92,35.57,636
18,1,11.36,26.15,25.33,630
18,6,9.99,25.11,25.04,630
19,3,10.36,24.22,24.09,627
19,5,16.35,27.29,25.4,705
19,2,11.11,24.96,25.5,630
19,7,10.68,24.29,23.52,691
19,4,12.61,35.43,35.41,637
19,1,11.09,25.85,25.24,630
19,6,9.91,24.84,24.95,630
20,3,10.17,23.95,24.01,627
20,5,15.92,27.02,25.32,704
20,2,10.78,24.67,25.4,631
20,7,10.47,24.02,23.44,690
20,4,12.24,34.97,35.26,637
20,1,11.49,25.68,25.19,630
20,6,9.44,24.5,24.84,630
21,3,10.08,23.7,23.93,627
21,2,10.39,24.36,25.3,631
21,5,15.76,26.8,25.26,705
21,7,10.27,23.75,23.36,691
21,4,12.46,34.64,35.15,637
21,1,11.37,25.42,25.11,629
21,6,9.88,24.34,24.78,629
22,3,9.83,23.42,23.84,632
22,2,10.12,24.07,25.2,636
22,5,15.54,26.57,25.19,713
22,7,9.93,23.46,23.26,696
22,4,12.19,34.21,35.01,642
22,1,11.18,25.15,25.02,636
22,6,9.49,24.02,24.68,636
23,3,9.37,23.1,23.73,634
23,2,9.39,23.68,25.07,637
23,5,14.78,26.23,25.09,715
23,7,9.13,23.07,23.14,696
23,4,11.37,33.68,34.83,644
23,1,10.36,24.75,24.89,635
23,6,9.93,23.87,24.62,636
24,3,9.26,22.85,23.64,678
24,2,9.52,23.47,24.99,682
24,5,13.83,25.85,24.97,775
24,7,9.12,22.83,23.06,742
24,4,10.62,33.15,34.66,686
24,1,9.53,24.34,24.76,680
24,6,9.14,23.47,24.49,681
25,3,8.59,22.48,23.52,679
25,2,9.4,23.22,24.9,682
25,5,13.93,25.66,24.92,776
25,7,8.39,22.45,22.94,743
25,4,11.29,32.92,34.57,688
25,1,8.77,23.93,24.62,682
25,6,8.49,23.1,24.37,683
26,3,8.71,22.28,23.45,682
26,2,9.05,22.91,24.79,684
26,5,14.25,25.54,24.88,779
26,7,8.2,22.18,22.85,743
26,4,10.95,32.49,34.43,690
26,1,8.87,23.7,24.54,684
26,6,8.69,22.9,24.29,686
27,3,8.33,21.97,23.34,682
27,2,9.12,22.7,24.72,684
27,5,13.19,25.13,24.75,782
27,7,7.94,21.9,22.75,744
27,4,10.23,31.98,34.25,691
27,1,8.32,23.34,24.42,685
27,6,8.95,22.72,24.23,687
28,3,7.74,21.62,23.22,683
28,5,12.62,24.81,24.65,783
28,2,9.19,22.49,24.64,687
28,7,7.39,21.55,22.63,745
28,4,9.49,31.47,34.07,692
28,6,9.04,22.5,24.15,687
28,1,7.89,23,24.31,687
29,3,7.6,21.37,23.13,683
29,5,11.61,24.4,24.52,783
29,7,6.95,21.22,22.52,745
29,2,8.7,22.16,24.52,687
29,4,8.73,30.94,33.89,693
29,6,9.12,22.3,24.07,687
29,1,7.26,22.62,24.18,687
30,3,7.07,21.03,23.01,683
30,5,12.28,24.33,24.49,783
30,7,7.2,21.04,22.45,745
30,2,8,21.79,24.39,687
30,4,8.75,30.58,33.76,693
30,6,8.63,21.98,23.96,687
30,1,7.64,22.44,24.11,687
31,3,7.39,20.86,22.95,685
31,5,12.58,24.19,24.45,785
31,7,6.7,20.7,22.34,748
31,2,8.32,21.63,24.32,690
31,4,8.93,30.25,33.63,692
31,6,8.74,21.78,23.89,690
31,1,7.19,22.1,23.99,689
32,3,6.8,20.51,22.82,685
32,5,12.85,24.05,24.4,785
32,7,6.65,20.46,22.25,748
32,2,7.73,21.29,24.2,691
32,4,8.94,29.9,33.5,693
32,1,7.41,21.9,23.92,689
32,6,8.12,21.43,23.76,690
33,3,6.57,20.24,22.72,685
33,5,12.86,23.87,24.34,785
33,7,6.11,20.12,22.13,748
33,2,7.19,20.95,24.07,690
33,4,8.7,29.5,33.35,692
33,1,7.7,21.72,23.85,689
33,6,7.71,21.12,23.65,690
34,3,6.85,20.07,22.65,685
34,5,11.91,23.49,24.22,785
34,7,5.62,19.79,22.01,748
34,2,6.94,20.67,23.96,690
34,4,8.01,29.01,33.17,693
34,1,7.88,21.53,23.77,689
34,6,7.33,20.82,23.54,690
