moment,node,load5,load10,load15,procs
1,2,22.97,23.62,14.05,513
1,3,21.53,23.31,13.9,513
1,5,35.74,35.51,19.86,513
1,4,26,26.41,15.36,510
1,1,25.27,24.99,15.13,510
1,7,20.47,23.17,14.94,509
1,6,24.85,24.44,14.75,496
2,2,21.13,23.23,13.97,513
2,3,19.89,22.94,13.83,514
2,5,32.88,34.92,19.75,513
2,4,23.92,25.97,15.28,550
2,1,23.25,24.58,15.05,510
2,7,18.91,22.8,14.87,509
2,6,22.86,24.04,14.67,497
3,2,19.44,22.85,13.89,618
3,3,18.29,22.56,13.76,622
3,5,30.24,34.34,19.64,618
3,4,22.08,25.55,15.2,741
3,1,21.39,24.17,14.97,618
3,7,17.4,22.42,14.79,619
3,6,21.03,23.64,14.6,602
4,2,17.96,22.48,13.83,643
4,3,16.83,22.19,13.69,643
4,5,27.9,33.78,19.54,643
4,4,20.55,25.18,15.14,794
4,1,19.83,23.8,14.9,640
4,6,19.59,23.3,14.53,626
4,7,16.01,22.05,14.71,642
5,2,17.32,22.28,13.8,651
5,4,20.59,25.11,15.17,806
5,3,16.2,21.97,13.66,652
5,5,25.75,33.24,19.44,651
5,1,19.05,23.57,14.87,649
5,7,14.96,21.73,14.65,647
5,6,18.82,23.08,14.51,634
6,2,16.5,22.02,13.77,651
6,4,19.58,24.82,15.13,806
6,3,15.38,21.7,13.62,652
6,5,24.97,32.95,19.42,651
6,1,17.92,23.26,14.82,649
6,6,17.55,22.74,14.45,634
6,7,14.57,21.53,14.62,647
7,4,18.89,24.59,15.11,806
7,3,14.55,21.43,13.57,652
7,2,15.66,21.76,13.73,651
7,5,23.45,32.5,19.35,651
7,1,16.89,22.96,14.77,649
7,7,14.12,21.33,14.59,647
7,6,16.39,22.41,14.38,634
8,4,18.18,24.35,15.08,806
8,3,14.59,21.32,13.58,652
8,5,21.97,32.05,19.28,651
8,2,14.8,21.48,13.68,651
8,1,15.93,22.66,14.72,649
8,7,13.79,21.14,14.57,647
8,6,15.47,22.12,14.33,634
9,4,17.45,24.1,15.05,806
9,3,13.58,21,13.52,652
9,5,20.69,31.61,19.2,651
9,1,15.14,22.39,14.67,649
9,2,14.02,21.2,13.63,651
9,7,13.09,20.87,14.51,647
9,6,14.71,21.86,14.29,634
10,3,13.77,20.91,13.53,652
10,4,16.93,23.88,15.03,806
10,5,19.35,31.16,19.12,652
10,1,14.49,22.13,14.63,649
10,2,13.21,20.92,13.58,651
10,7,12.68,20.66,14.48,647
10,6,13.86,21.56,14.23,634
11,4,15.81,23.53,14.96,864
11,3,12.67,20.57,13.46,690
11,5,17.96,30.67,19.03,690
11,1,13.65,21.83,14.57,690
11,2,12.4,20.62,13.52,689
11,6,13.23,21.3,14.19,673
11,7,12.78,20.54,14.48,685
12,4,14.55,23.14,14.88,880
12,3,11.9,20.28,13.4,702
12,5,16.52,30.16,18.93,701
12,1,12.55,21.47,14.49,698
12,2,11.4,20.28,13.45,701
12,7,12.64,20.39,14.46,697
12,6,12.57,21.03,14.14,685
13,4,13.94,22.87,14.84,884
13,3,11.74,20.1,13.38,703
13,5,15.52,29.73,18.85,701
13,1,13.07,21.42,14.52,700
13,2,10.81,20.01,13.4,703
13,7,11.63,20.05,14.38,699
13,6,11.56,20.68,14.06,686
14,4,14.59,22.86,14.88,883
14,1,12.9,21.25,14.5,700
14,3,11.92,20,13.39,703
14,5,15.24,29.43,18.81,701
14,2,10.91,19.87,13.39,703
14,7,10.7,19.71,14.3,699
14,6,11.12,20.44,14.02,686
15,4,14.7,22.74,14.88,863
15,1,12.83,21.1,14.48,701
15,5,14.82,29.11,18.76,702
15,3,12.09,19.9,13.39,704
15,2,10.83,19.71,13.37,704
15,7,9.84,19.39,14.22,700
15,6,10.22,20.1,13.94,687
16,4,14.89,22.65,14.89,858
16,1,11.8,20.75,14.4,698
16,5,13.63,28.63,18.66,699
16,3,11.28,19.61,13.33,701
16,2,9.97,19.38,13.3,701
16,7,9.69,19.2,14.19,697
16,6,10.21,19.93,13.92,684
17,4,15.14,22.57,14.91,858
17,1,11.5,20.54,14.37,698
17,3,10.38,19.28,13.26,701
17,5,12.94,28.23,18.59,699
17,2,9.97,19.23,13.28,702
17,7,9,18.89,14.12,697
17,6,9.71,19.66,13.87,684
18,4,13.92,22.2,14.83,858
18,3,10.35,19.13,13.24,701
18,1,10.58,20.19,14.29,698
18,7,8.68,18.66,14.07,697
18,5,11.9,27.77,18.49,699
18,2,9.17,18.91,13.21,702
18,6,9.17,19.39,13.81,684
19,4,14.09,22.09,14.84,859
19,7,8.62,18.49,14.04,697
19,3,9.52,18.81,13.17,703
19,1,10.05,19.92,14.24,700
19,5,11.27,27.37,18.41,703
19,2,8.6,18.63,13.15,703
19,6,8.76,19.13,13.76,688
20,4,14.32,22.01,14.85,860
20,7,9.05,18.41,14.04,697
20,3,8.84,18.51,13.1,703
20,1,9.65,19.68,14.19,700
20,2,7.91,18.32,13.08,703
20,5,10.53,26.95,18.32,703
20,6,8.7,18.95,13.73,689
21,4,14.62,21.94,14.87,859
21,7,9.13,18.27,14.02,697
21,3,8.53,18.29,13.06,703
21,1,9.59,19.5,14.16,700
21,2,7.75,18.11,13.04,703
21,5,9.93,26.55,18.24,703
21,6,8.8,18.8,13.71,688
22,4,14.97,21.89,14.89,859
22,7,9.2,18.13,13.99,697
22,2,7.77,17.94,13.01,703
22,3,7.85,17.98,12.99,703
22,1,9.71,19.36,14.14,700
22,5,9.77,26.24,18.18,702
22,6,8.9,18.65,13.69,688
23,4,14.25,21.63,14.84,859
23,7,9.26,18,13.97,697
23,2,7.15,17.65,12.94,703
23,3,7.38,17.72,12.93,703
23,5,8.99,25.81,18.08,702
23,1,9.17,19.09,14.08,700
23,6,8.91,18.49,13.66,687
24,4,13.99,21.45,14.82,861
24,7,9.24,17.85,13.94,697
24,2,6.66,17.37,12.88,703
24,3,7.11,17.49,12.88,702
24,1,8.44,18.77,14.01,700
24,5,8.27,25.38,17.99,702
24,6,9.07,18.37,13.65,687
25,4,13.99,21.33,14.81,861
25,7,9.38,17.74,13.93,697
25,2,7.01,17.26,12.87,703
25,3,6.78,17.25,12.83,702
25,5,8.33,25.11,17.94,702
25,1,8.24,18.56,13.96,700
25,6,9.15,18.23,13.63,687
26,4,14.23,21.25,14.83,862
26,7,9.43,17.61,13.91,697
26,2,7.65,17.23,12.88,703
26,5,8.62,24.89,17.91,703
26,1,8.46,18.43,13.95,700
26,3,6.4,17,12.77,705
26,6,9.06,18.06,13.6,685
27,4,14.37,21.17,14.83,861
27,7,8.68,17.31,13.83,697
27,2,7.91,17.12,12.87,703
27,5,8.73,24.64,17.86,702
27,3,6.76,16.9,12.76,704
27,1,7.78,18.12,13.87,700
27,6,8.33,17.76,13.52,685
28,4,13.22,20.82,14.75,862
28,7,9.1,17.26,13.83,697
28,5,8.11,24.25,17.77,703
28,2,7.28,16.84,12.8,704
28,1,7.16,17.82,13.8,700
28,3,6.94,16.76,12.74,704
28,6,8.06,17.54,13.48,685
29,4,12.4,20.52,14.69,866
29,7,8.37,16.97,13.76,699
29,5,7.54,23.86,17.68,704
29,2,6.94,16.61,12.75,705
29,1,6.83,17.58,13.74,701
29,3,7.19,16.65,12.72,705
29,6,7.42,17.25,13.4,687
30,4,11.57,20.21,14.62,867
30,7,8.18,16.79,13.72,699
30,6,7.14,17.03,13.35,687
30,5,7.1,23.5,17.6,704
30,2,6.7,16.4,12.7,705
30,1,6.28,17.29,13.66,701
30,3,6.69,16.39,12.66,705
31,4,11.52,20.06,14.6,866
31,6,7.29,16.9,13.33,689
31,7,8.33,16.68,13.7,701
31,5,6.69,23.14,17.51,707
31,2,6.16,16.13,12.63,705
31,1,5.78,17,13.59,704
31,3,6.56,16.2,12.62,708
32,4,11.8,19.97,14.6,866
32,7,8.46,16.57,13.68,701
32,6,7.51,16.78,13.31,689
32,2,5.83,15.89,12.58,705
32,5,6.71,22.87,17.46,707
32,3,6.11,15.95,12.56,708
32,1,5.71,16.8,13.54,704
33,4,12.06,19.89,14.61,869
33,7,8.51,16.44,13.65,705
33,2,6.08,15.78,12.56,707
33,6,6.91,16.51,13.24,691
33,5,6.98,22.66,17.42,707
33,3,5.62,15.68,12.49,710
33,1,6.06,16.69,13.52,706
34,4,11.89,19.73,14.58,869
34,7,8.39,16.28,13.62,705
34,6,6.67,16.3,13.19,691
34,2,5.92,15.58,12.51,707
34,5,6.74,22.35,17.35,707
34,3,5.41,15.47,12.44,710
34,1,6.13,16.52,13.49,706
35,4,11.58,19.53,14.55,868
35,7,8.35,16.15,13.58,706
35,6,6.62,16.13,13.15,691
35,2,5.92,15.42,12.47,707
35,5,6.44,22.03,17.27,708
35,1,6.28,16.38,13.46,706
35,3,5.38,15.3,12.4,710
36,4,11.37,19.36,14.52,868
36,7,8.09,15.96,13.54,705
36,6,6.65,15.97,13.12,691
36,2,5.85,15.25,12.43,707
36,5,6.24,21.73,17.2,707
36,1,6.26,16.21,13.42,706
36,3,5.27,15.11,12.35,710
37,4,11.26,19.2,14.49,866
37,7,8.24,15.86,13.52,705
37,6,6.76,15.84,13.09,691
37,2,6.02,15.13,12.41,707
37,1,6.32,16.06,13.38,705
37,5,6.22,21.47,17.14,707
37,3,5.01,14.89,12.3,709
38,4,12.04,19.23,14.53,868
38,7,7.98,15.68,13.47,705
38,6,6.78,15.69,13.06,692
38,2,5.7,14.91,12.35,707
38,5,5.89,21.15,17.05,707
38,1,6.29,15.89,13.34,706
38,3,4.85,14.7,12.25,710
