moment,node,load5,load10,load15,procs
1,5,18.33,12.32,8.04,513
1,2,16.01,11.48,7.5,514
1,3,18.75,12.58,9.56,514
1,4,17.29,12.47,8.1,512
1,7,18.44,12.37,7.24,510
1,1,16.46,12.3,8.21,512
1,6,33.88,21.68,11.63,501
2,5,16.86,12.12,7.99,513
2,2,14.97,11.34,7.47,555
2,3,17.25,12.37,9.51,514
2,4,15.91,12.27,8.06,512
2,1,15.14,12.1,8.17,512
2,7,16.96,12.17,7.2,510
2,6,31.57,21.4,11.6,500
3,2,13.93,11.19,7.44,746
3,5,15.67,11.95,7.96,617
3,4,14.71,12.08,8.02,620
3,3,15.87,12.17,9.46,619
3,7,15.76,12,7.17,615
3,1,14.09,11.93,8.14,615
3,6,29.28,21.1,11.55,610
4,2,12.81,11,7.4,792
4,4,13.62,11.9,7.98,644
4,5,14.5,11.77,7.92,650
4,3,14.76,12,9.42,644
4,1,12.96,11.73,8.09,642
4,7,14.5,11.8,7.13,642
4,6,27.49,20.86,11.53,635
5,2,12.91,11.05,7.44,806
5,3,13.74,11.83,9.38,650
5,4,13.17,11.83,7.98,652
5,5,13.82,11.67,7.91,654
5,7,14.22,11.79,7.15,649
5,1,12.24,11.6,8.07,647
5,6,25.45,20.55,11.48,643
6,2,12.52,11,7.44,806
6,3,13.28,11.77,9.37,650
6,5,13.11,11.56,7.9,654
6,4,12.59,11.73,7.97,652
6,7,13.56,11.69,7.15,649
6,6,23.65,20.26,11.43,643
6,1,11.98,11.56,8.08,647
7,2,11.99,10.92,7.43,806
7,3,12.61,11.66,9.34,650
7,7,12.79,11.56,7.13,649
7,5,12.3,11.42,7.87,654
7,4,12.46,11.72,7.99,652
7,6,22.24,20.02,11.4,643
7,1,12.62,11.7,8.14,647
8,2,11.67,10.87,7.44,806
8,3,12.73,11.7,9.37,650
8,5,11.8,11.33,7.86,653
8,7,12.17,11.45,7.12,649
8,4,11.95,11.63,7.98,652
8,6,20.86,19.77,11.37,643
8,1,12.09,11.6,8.13,647
9,2,12.58,11.07,7.52,862
9,5,12.13,11.41,7.9,691
9,7,12.32,11.5,7.16,688
9,3,11.79,11.52,9.32,689
9,4,11.63,11.57,7.98,690
9,6,20.23,19.66,11.37,679
9,1,12.17,11.63,8.16,685
10,2,11.57,10.89,7.48,883
10,7,12.13,11.47,7.17,702
10,5,12.2,11.43,7.93,703
10,3,10.84,11.33,9.27,704
10,4,10.78,11.39,7.94,704
10,6,19.17,19.45,11.35,694
