moment,node,load5,load10,load15,procs
1,2,17.11,7.8,4.1,513
1,3,17.12,8.73,5.15,512
1,4,7.53,4.06,2.57,510
1,7,14.8,6.68,3.7,506
1,5,7.63,4.31,2.95,506
1,1,6.44,4.49,3.51,506
1,6,6.58,3.72,2.7,494
2,7,13.62,6.57,3.68,506
2,2,15.74,7.67,4.08,514
2,3,15.75,8.58,5.12,512
2,4,6.92,4,2.55,511
2,5,7.02,4.24,2.94,507
2,1,5.92,4.41,3.49,546
2,6,6.05,3.65,2.68,494
3,7,12.77,6.51,3.68,600
3,5,6.46,4.17,2.92,612
3,2,14.48,7.54,4.06,620
3,4,6.37,3.93,2.54,658
3,3,14.49,8.44,5.09,615
3,1,5.45,4.34,3.47,696
3,6,5.65,3.61,2.67,600
4,7,11.74,6.4,3.66,636
4,5,5.94,4.1,2.91,634
4,4,5.86,3.86,2.52,706
4,2,13.32,7.42,4.03,641
4,3,13.33,8.3,5.06,640
4,1,5.01,4.27,3.45,717
4,6,5.2,3.55,2.66,626
5,7,11.44,6.43,3.68,645
5,5,5.79,4.1,2.91,645
5,3,12.98,8.31,5.08,648
5,4,6.19,3.97,2.56,721
5,2,12.97,7.44,4.06,652
5,1,5.09,4.3,3.46,728
5,6,5.58,3.66,2.7,633
6,5,5.32,4.03,2.9,694
6,7,11.41,6.5,3.72,696
6,3,13.38,8.47,5.15,701
6,2,12.09,7.35,4.05,701
6,1,4.68,4.22,3.45,779
6,4,5.7,3.9,2.55,797
6,6,5.21,3.61,2.69,683
7,5,5.22,4.03,2.9,696
7,3,12.71,8.41,5.15,703
7,7,11.22,6.55,3.75,696
7,2,11.6,7.33,4.06,703
7,4,5.64,3.92,2.56,800
7,1,4.63,4.22,3.45,782
7,6,5.68,3.73,2.73,684
8,5,4.8,3.96,2.89,697
8,3,12.81,8.51,5.2,703
8,7,10.32,6.44,3.73,698
8,2,10.67,7.21,4.04,703
8,4,5.19,3.85,2.55,801
8,1,4.42,4.18,3.44,782
8,6,5.86,3.81,2.76,686
9,5,4.49,3.91,2.88,700
9,7,9.57,6.35,3.72,706
9,3,11.79,8.37,5.17,707
9,4,5.17,3.87,2.56,806
9,2,10.46,7.22,4.06,707
9,1,4.22,4.15,3.43,785
9,6,5.39,3.74,2.75,689
10,7,8.96,6.27,3.71,706
10,5,4.45,3.91,2.88,700
10,3,11.72,8.41,5.2,707
10,4,6.04,4.07,2.63,807
10,2,9.94,7.17,4.06,708
10,1,4.13,4.13,3.43,785
10,6,5.04,3.7,2.74,689
11,7,8.97,6.32,3.74,708
11,5,4.58,3.95,2.9,702
11,3,11.59,8.44,5.23,709
11,4,6.2,4.14,2.66,810
11,2,9.79,7.18,4.08,710
11,1,4.2,4.14,3.44,787
11,6,5.36,3.79,2.77,691
