exp,algo,scale,hostname,recv_drop,recv_errs,recv_packets,send_bytes,send_drop,send_errs,send_packets,timestamp
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,69,19645,0,0,67,1.513125392468797E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,49,13234,0,0,49,1.513125392468867E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,67,31850,0,0,66,1.513125392468902E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,67,31912,0,0,66,1.513125392469059E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,48,32890,0,0,47,1.513125392469199E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,68,31059,0,0,65,1.513125392471025E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,69,39734,0,0,66,1.513125392473664E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,2264,44499567,0,0,2515,1.513125397474493E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,3063,44474558,0,0,2439,1.513125397474619E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,42,77957,0,0,50,1.513125397474708E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,14,4491,0,0,20,1.513125397474882E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4716,342197,0,0,4783,1.513125397475205E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,16,5842,0,0,23,1.513125397475266E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,10463,135918519,0,0,8303,1.513125397479381E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4522,44535374,0,0,3164,1.513125402480155E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,6121,133287511,0,0,5025,1.513125402480229E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5073,445227,0,0,3034,1.51312540248027E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4990,210020,0,0,3094,1.513125402480679E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5093,211978,0,0,3018,1.513125402480853E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,8002,406605518,0,0,8917,1.513125402480995E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4606,271322610,0,0,5789,1.513125402484824E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,13359,649262,0,0,7686,1.513125407482378E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,11128,524472,0,0,6301,1.513125407483172E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,11548,599208,0,0,6327,1.513125407483984E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,17259,772553,0,0,9613,1.513125407485721E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,12810,578267,0,0,6815,1.513125407485761E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,9653,496211,0,0,5422,1.513125407486344E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,13789,782440,0,0,8023,1.513125407490273E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,24605,1060835,0,0,12050,1.513125412486443E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,22752,1034738,0,0,11674,1.513125412487173E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,32925,1479663,0,0,17071,1.513125412487833E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,26184,1211108,0,0,13644,1.51312541248959E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,26593,1214832,0,0,13314,1.513125412491267E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,19783,838312,0,0,8974,1.513125412491977E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,26531,2054895,0,0,13490,1.513125412494671E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,10394,66048625,0,0,10684,1.513125417492143E9
