exp,algo,scale,hostname,load5,load10,load15,procs,timestamp
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,6.09,5.97,6.5,502,1.513125392468797E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.83,6.2,6.85,497,1.513125392468867E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.73,5.79,6.33,496,1.513125392468902E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.3,5.93,6.69,497,1.513125392469059E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,10.18,10.64,11.25,498,1.513125392469199E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.76,5.86,6.53,497,1.513125392471025E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.15,5.96,6.61,497,1.513125392473664E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.37,6.1,6.81,498,1.513125397474493E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.27,5.7,6.3,496,1.513125397474619E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,5.61,5.87,6.47,502,1.513125397474708E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,9.36,10.47,11.19,498,1.513125397474882E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.3,5.76,6.5,497,1.513125397475205E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.87,5.83,6.65,497,1.513125397475266E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.82,5.88,6.58,537,1.513125397479381E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.1,6.03,6.78,633,1.513125402480155E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.85,5.6,6.26,671,1.513125402480229E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,5.16,5.77,6.43,640,1.51312540248027E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,8.61,10.29,11.13,592,1.513125402480679E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.48,5.73,6.62,631,1.513125402480853E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,4.87,5.67,6.46,607,1.513125402480995E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.59,5.81,6.55,686,1.513125402484824E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,7.92,10.12,11.07,637,1.513125407482378E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.25,6.04,6.79,636,1.513125407483172E9
